"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"TSPAN6",7.7603,15.8416,20.2314,12.3006,19.2332,14.759,24.4986,17.7701,26.6143,19.5986,26.2827,6.0622,11.7722,9.6579,10.644,13.971,14.1183,23.5982,14.6526,14.373,10.6021,18.1964,14.9216,36.7426,25.4492,13.6543,12.2589
"TNMD",0.3434,2.3521,5.6737,0.2216,2.1347,0.5516,2.8245,0.4799,1.2028,0.6495,0.931,0.0377,0.203,0.262,0.217,0.8364,0.5817,0.3111,0.2804,0.2129,0.7996,0.8379,0.5525,1.4499,29.6789,0.6714,0.1179
"DPM1",30.3305,36.4783,54.2337,28.2625,50.1202,49.1354,82.9513,40.9576,63.0292,74.5194,70.5827,18.5856,35.2039,35.5262,28.193,33.5358,59.816,70.3169,34.6302,33.5804,51.8824,38.3982,34.1968,57.6581,98.3659,38.6908,39.7976
"SCYL3",4.4677,8.4223,11.4976,5.988,12.6343,10.6908,12.3817,7.3073,12.3233,12.1687,14.2786,3.3319,5.1633,3.4885,4.0598,7.5494,13.213,13.9126,7.3113,7.1364,10.384,10.4502,6.3339,17.2122,13.0839,8.7285,5.8979
"C1orf112",0.9151,1.9568,4.0914,1.4011,3.4129,4.0177,3.9838,2.1443,5.4299,5.5914,4.8115,0.6154,1.556,0.9456,1.0327,2.6695,4.3508,4.911,2.9392,2.2631,3.966,3.4673,2.0174,5.549,5.0388,2.5314,1.8512
"FGR",3.0809,13.9638,16.4253,7.033,18.2186,16.4804,14.0444,3.7852,19.8698,26.9302,11.1247,2.1397,1.9315,3.2698,1.7283,5.0994,27.314,19.2967,4.4052,14.0903,13.4565,18.4579,1.8733,25.1335,16.2326,10.7866,0.8877
"CFH",9.5916,88.9216,97.1156,45.1078,54.1714,119.9304,268.0358,41.5005,111.9944,235.4849,86.2923,5.5106,17.3184,13.8382,13.124,33.6409,108.4786,56.4906,21.8437,49.0984,124.8277,38.2486,18.8187,86.3944,174.2617,73.322,22.2187
"FUCA2",16.5452,20.2301,32.5936,18.215,29.327,25.2766,32.8637,20.5841,31.595,41.1999,29.9571,12.9003,15.0358,14.551,16.2293,19.222,31.7454,34.8399,19.0939,21.4884,37.1674,23.8046,16.9381,34.5193,33.1781,27.3686,16.0042
"GCLC",6.8556,9.5978,10.2761,5.5308,13.2918,7.9499,12.9342,8.7307,22.9807,22.1076,13.211,5.2189,14.861,7.4164,8.1295,7.5098,10.7273,14.6887,9.3354,8.3125,9.9967,14.5324,7.6573,17.1638,15.282,8.7176,8.795
"NFYA",9.7096,17.0479,20.1431,11.6978,25.4275,17.1723,24.5862,9.0418,25.5352,28.3354,26.5611,6.8649,12.3447,8.7457,10.3893,14.6165,23.3193,25.5232,15.9197,14.4141,23.3801,20.3428,12.6248,20.5972,18.9686,17.1783,11.634
"STPG1",1.1713,2.3114,2.7797,1.6197,2.7806,1.9941,2.4411,1.6528,2.3254,2.0481,2.3448,1.4389,1.9083,3.3936,1.2512,1.6571,2.4885,2.8128,1.6533,1.8212,2.5913,2.6539,1.7541,2.7759,2.3968,2.1177,1.6104
"NIPAL3",8.278,13.1195,14.0524,10.7276,16.3046,11.8973,14.5836,11.8044,13.842,13.2923,14.2202,8.1636,13.2478,11.1643,7.5245,11.0884,14.7814,17.9679,11.5398,12.0661,12.5916,15.0264,13.626,16.5444,12.1758,11.4037,9.5394
"LAS1L",3.5798,4.7139,6.6202,3.99,6.7982,6.6392,6.5485,3.5547,5.8552,7.1224,5.6286,4.2164,4.1052,2.6578,2.6562,4.106,7.8023,6.06,3.705,4.6214,7.8959,6.4083,3.5674,6.1567,7.9591,5.2884,3.8468
"ENPP4",7.3373,12.6017,23.3675,9.68,22.133,14.7799,35.6136,16.6486,20.9407,23.3279,34.4212,4.1353,9.9627,9.0253,8.9051,9.3364,25.0685,31.1139,13.9732,12.1782,19.2341,14.8717,12.1432,32.1279,31.5777,8.0688,13.07
"SEMA3F",1.7622,4.1335,5.7698,2.1012,6.3257,5.7876,6.7125,2.3591,4.0602,5.6166,3.7285,1.5341,2.1608,1.4021,1.5347,2.6434,7.2651,4.716,3.0871,3.8738,7.6419,4.505,1.1048,3.8313,11.4146,5.2105,1.5688
"CFTR",122.4264,324.2869,468.8042,338.9018,471.2553,163.9529,129.8528,217.4428,522.5718,172.3131,614.3769,132.0729,235.6489,157.9914,168.9108,259.4133,46.7238,552.2045,285.1896,384.0777,4.2585,506.076,272.0585,685.4853,23.6666,256.4533,237.6713
"ANKIB1",14.7264,20.9414,37.486,16.228,33.6016,33.1647,47.2638,24.0637,46.5317,61.7369,43.2587,12.7842,18.9469,13.2967,16.1621,21.1884,39.113,38.8352,26.4249,21.9699,38.522,27.5826,17.8194,37.674,56.6266,27.2002,17.6598
"CYP51A1",3.176,5.2779,5.715,2.5424,6.1704,3.354,2.8081,2.4088,2.4036,2.9143,3.0593,2.713,2.0888,2.1584,2.11,2.7668,5.4745,7.6202,2.5565,3.6207,5.5179,3.0619,1.7775,3.2261,3.1433,4.6685,1.8124
"KRIT1",2.1515,2.4959,4.252,2.109,3.3858,3.9166,7.8764,3.2216,6.3591,8.3307,6.3387,1.8842,3.2651,2.3247,2.6264,2.5266,4.821,6.1001,3.4287,2.49,4.1017,3.326,3.4378,7.2852,7.9549,2.6256,4.0046
"RAD52",6.1287,10.3774,10.895,8.0114,13.3878,12.2943,13.1738,7.1129,12.7768,13.026,9.7648,6.4899,7.2402,3.9155,5.0765,7.9257,11.5522,10.6621,8.0325,10.0709,13.1205,12.1716,7.6896,14.2383,12.6508,10.2745,7.131
"BAD",3.2645,6.8721,10.419,7.0314,9.6336,11.7331,8.923,4.5919,5.8901,5.46,6.9723,3.3568,3.5439,2.4223,3.4924,6.4613,11.6883,7.1042,5.8637,7.7875,14.9851,8.6893,4.2235,9.5223,9.9068,10.1897,1.9106
"LAP3",10.0144,33.8058,64.5874,23.4822,65.2448,73.3803,74.3194,26.9508,74.8907,84.9684,54.0057,6.8827,19.9664,11.6559,10.7886,22.1495,122.9555,88.6018,25.8915,33.9932,74.9485,44.955,15.7609,51.9936,86.7524,67.8596,11.9324
"HS3ST1",1.7044,3.5354,4.2895,1.7221,6.206,4.4811,2.9415,2.2799,3.1395,4.2904,2.5346,0.1572,0.4433,2.2102,0.8777,2.4202,7.2276,3.7492,3.6514,2.3736,3.3532,2.1187,0.5231,1.8191,2.7689,3.9819,0.6086
"AOC1",2.9455,4.4539,3.2626,1.0491,21.5268,3.2586,2.3647,5.1054,1.511,2.187,1.1234,0.147,0.7123,3.9728,0.4124,9.6242,7.6543,3.9672,4.8971,2.3514,11.7673,3.3871,1.4912,1.2661,0.7201,4.9568,0.9539
"WNT16",0.2588,0.4727,0.5987,0.1575,0.236,1.2471,3.8108,0.4806,0.7655,0.534,0.2606,0.0171,0.3489,0.2369,0.1349,0.298,2.3018,0.422,0.6086,0.1444,2.1016,0.6182,0.2114,0.6294,1.4688,0.74,0.1866
"HECW1",0.0889,0.2847,1.1669,0.2582,0.1558,0.6157,4.6249,0.4539,2.0243,3.1397,0.4649,0.0559,0.0344,0.086,0.1006,0.2819,0.9294,0.5413,0.4455,0.5787,1.0904,0.4298,0.0675,0.6634,2.6714,0.5956,0.1405
"MAD1L1",0.5219,0.5945,0.7625,0.5106,0.6973,0.7882,0.4915,0.231,1.0004,0.7715,0.4887,0.5466,0.5056,0.4653,0.3821,0.6054,1.1084,0.5987,0.8243,0.5505,1.2854,1.0534,0.4338,0.6275,0.6631,0.7282,0.4634
"LASP1",18.0506,26.1909,31.8839,17.7561,37.3836,34.7496,31.7178,26.4284,38.0587,47.9166,34.0461,13.9299,16.2962,14.4838,12.825,22.8561,38.5891,41.8746,25.2611,23.3316,39.4444,34.22,15.6267,37.3995,55.6492,33.639,16.0091
"SNX11",4.5379,7.4398,11.2794,4.9183,11.8079,12.6069,11.2775,5.2644,10.9138,12.5683,8.0267,3.2997,4.2487,4.1351,3.0222,6.2365,15.5815,10.2359,6.1081,7.2094,14.2951,9.8121,4.2497,9.7965,13.3057,11.3292,3.811
"TMEM176A",2.3973,20.1119,30.9093,9.8379,27.1854,50.5039,26.9479,14.2034,21.3125,29.1272,17.0874,2.7856,11.5139,2.213,1.7501,20.4104,64.166,8.9791,9.7362,15.0608,57.4252,17.729,2.1469,14.993,33.7951,30.4247,3.8292
"M6PR",11.6256,33.4015,61.5526,25.5352,60.3107,54.0135,55.7228,27.8897,65.0194,72.01,56.8908,10.31,19.4922,11.8747,14.0706,36.7944,70.3763,67.5286,24.4961,37.5986,58.5346,48.3526,19.2648,57.9267,49.6637,49.7389,14.8798
"KLHL13",2.0728,2.5489,3.7377,3.2188,4.7126,5.372,4.3454,2.6811,3.2486,5.0424,6.5967,2.5588,3.7763,2.1096,4.1565,3.1822,3.5967,4.0576,2.821,3.0596,4.0667,2.7126,3.0632,4.4621,8.1445,2.6786,3.3211
"CYP26B1",0.1685,0.3626,1.155,0.0932,0.8935,0.512,1.2401,0.1413,0.4064,0.7821,0.6393,0.1776,0.0837,0.1773,0.1197,0.2984,1.1985,0.327,0.1815,0.3341,1.0001,0.3375,0.1626,0.1366,1.762,0.6669,0.2082
"ICA1",22.088,17.8644,22.0094,16.0679,27.746,11.8505,19.3566,25.0563,17.1688,15.6891,35.5772,23.7911,28.597,17.3017,17.332,20.3484,20.9841,36.9116,26.392,18.5314,26.6157,24.3018,22.995,25.3839,17.5573,21.0555,20.2004
"DBNDD1",1.9944,3.1369,2.8622,2.1365,4.0328,2.0632,1.2253,2.3247,3.3304,1.3087,4.018,2.7196,2.3774,1.7938,1.6958,2.4817,1.6678,4.4246,3.3019,2.6758,2.5788,4.0993,2.2353,3.7793,0.9691,3.9144,1.4432
"ALS2",5.2124,11.3347,15.8922,7.754,14.7642,12.5935,18.3657,8.0083,17.4682,21.2254,16.8879,3.717,6.5569,4.9934,5.0244,9.8453,18.5843,18.3107,10.5385,9.9535,17.7651,11.774,7.3077,21.3141,21.6504,11.9742,6.7946
"CASP10",4.7399,10.4018,14.6551,7.3476,13.1335,16.2822,16.5155,8.1429,20.2264,20.1881,13.2919,2.9664,5.771,4.6821,3.9237,9.6868,16.7157,18.1169,7.6426,8.075,11.7533,11.5573,4.9068,13.1207,18.0668,12.0016,5.6074
"CFLAR",13.169,25.4262,29.3378,17.4538,31.1791,30.0382,34.9786,15.023,35.5574,42.9014,28.1769,11.0319,11.8694,13.7675,12.1782,17.8921,31.1057,35.6468,18.0606,21.7721,28.1139,32.6641,15.2922,34.1961,42.6845,22.4721,15.6088
"TFPI",5.9668,16.0227,20.1842,11.7363,18.6191,20.5509,40.1574,12.0603,20.9148,41.4352,26.2591,3.0175,6.211,5.5486,5.2632,13.921,28.0559,33.0074,16.7037,10.805,28.266,14.0312,6.8759,26.161,61.2466,13.5462,8.5394
"NDUFAF7",6.6179,9.2824,15.1195,8.0251,15.2079,14.7344,24.7839,9.5489,18.9641,21.795,18.7104,4.7264,7.7643,6.4601,5.9103,8.976,16.2079,18.6833,9.0455,10.2983,16.4449,11.5353,8.6422,19.0849,20.9071,10.0597,9.4744
"RBM5",21.8173,27.4597,36.7363,22.8483,38.5749,35.0285,44.3829,21.4329,46.6055,50.7687,39.3594,18.1929,22.5848,16.9416,18.0824,23.612,40.3056,40.9608,25.5174,29.5581,41.4841,32.6631,22.9608,44.1764,47.4334,25.3916,21.4045
"MTMR7",0.8455,2.3703,8.8644,1.1534,5.2857,3.5254,5.3368,1.5849,3.8248,5.7618,6.564,0.6347,1.5657,1.1664,1.0401,1.6577,14.5731,3.5408,1.816,1.9804,17.9395,3.3731,1.8471,5.1276,6.4859,1.6003,1.9092
"SLC7A2",38.4026,52.7215,91.6101,30.9227,87.9625,24.9473,64.1238,35.3653,33.6958,53.4512,110.8092,40.7854,66.1098,53.8579,42.1916,37.7981,168.6065,139.4176,47.0337,53.4329,148.098,59.5188,63.3319,76.0064,79.3063,30.8779,42.2446
"ARF5",20.4609,36.3244,57.4737,27.9867,50.451,42.5168,41.4176,27.6149,43.0187,40.4022,47.6493,23.7908,24.3665,19.1739,20.6642,32.8594,57.5568,49.2009,25.942,37.302,61.5944,42.2662,23.5104,49.4373,42.8558,50.7027,16.5936
"SARM1",1.3085,2.3719,3.3495,1.78,2.9381,2.7859,2.0924,2.3375,2.4691,2.5821,2.9461,1.5589,2.72,1.3649,1.6079,2.1425,3.2024,2.9827,2.9217,2.188,3.5933,3.6401,2.8695,3.5844,2.2517,3.1735,1.916
"POLDIP2",28.7092,37.5419,40.905,31.2407,47.4913,36.9655,31.5862,31.6105,39.7473,37.9308,45.5823,36.7761,37.0809,23.3731,28.5487,32.296,40.4132,49.3516,33.4178,35.3228,43.8415,44.1759,32.6566,47.9299,43.6927,41.0819,25.0308
"PLXND1",4.8973,17.7362,26.6894,10.0579,25.349,33.4589,24.2207,6.1204,23.3441,48.6986,16.5892,5.6031,6.528,4.5313,7.0961,13.8492,37.5851,18.0702,11.0163,16.9915,36.5673,27.0741,6.4586,23.5744,41.0366,26.9014,7.767
"AK2",10.3339,18.3952,33.1714,14.4001,31.6661,25.8766,30.1987,16.7386,27.9681,30.5793,27.961,8.8485,15.5665,10.2157,9.6165,17.4632,40.9177,31.9462,18.3426,18.4384,35.3204,23.312,14.6313,30.4249,32.5329,23.0627,14.0409
"CD38",0.1643,1.8886,4.8241,1.4448,3.3492,11.3981,10.1263,1.3504,12.6865,12.6851,4.3514,0.1461,0.7691,0.4342,0.3211,3.3826,7.4403,5.4235,1.1347,1.2066,4.4641,2.658,0.4117,3.0835,5.6208,2.6736,0.4061
"FKBP4",14.5413,16.3726,23.5056,14.4634,27.7602,17.0422,19.8026,15.6807,27.8651,17.995,22.9135,15.9242,23.2388,11.2634,12.1816,17.4696,23.0059,19.4748,19.8948,17.6684,23.9008,18.9998,14.5796,26.2456,16.5141,22.9726,11.2421
"KDM1A",17.7661,25.9118,42.6546,20.5302,41.5729,39.1525,45.7168,26.0904,44.758,55.1934,44.7203,16.3719,22.2538,15.7221,16.8747,27.92,44.6028,45.4905,29.9583,29.8315,46.1134,35.6698,22.7277,48.0402,52.1518,32.3001,21.7233
"RBM6",27.0689,35.0761,53.9631,30.3914,53.3645,61.9564,64.6069,31.8613,75.1399,73.4718,53.5187,29.0486,33.0158,24.2249,26.6291,35.6879,62.035,54.4465,36.8318,46.0026,57.6819,53.7051,33.9384,58.4627,61.034,42.8266,27.0339
"CAMKK1",3.5764,4.7596,7.22,3.5332,5.2186,4.2295,5.3788,3.3697,6.0773,5.9918,5.229,4.673,5.265,2.9183,4.2011,4.3435,6.2284,4.9415,4.8328,5.5516,8.9111,6.3754,3.5867,5.6891,6.6649,5.5162,3.5825
"RECQL",5.3505,19.9045,36.3985,10.8694,32.035,36.2098,60.0238,15.5052,41.5502,58.5806,33.8158,4.1244,9.1982,6.8757,6.939,15.9579,43.9472,35.2679,13.8205,19.2892,36.9287,25.1314,8.2499,32.777,54.1291,24.404,8.6468
"VPS50",6.5342,7.598,13.185,6.0227,12.9868,10.7117,21.7347,8.57,17.3755,18.5727,16.9075,4.5829,7.2915,5.2665,6.0602,7.5924,18.332,15.6923,9.9663,7.7079,14.6686,10.0579,8.3932,17.9547,19.7863,8.1575,9.4495
"HSPB6",0.7514,5.9133,2.7121,2.6292,2.6805,4.6497,4.321,0.3522,0.7628,4.7521,0.9868,2.131,1.0081,0.6953,1.3701,1.1284,9.4215,0.6087,0.9602,1.6706,9.4553,2.3032,0.6549,1.0924,8.3426,2.8741,0.7824
"ARHGAP33",2.1736,2.0534,2.3351,1.5991,1.9435,2.1193,1.1174,0.7407,1.1376,2.0381,1.2066,3.1536,1.5268,1.4922,1.8723,1.5789,2.503,1.2719,1.4477,1.9314,3.4776,2.4379,0.9302,1.4321,2.1625,1.778,1.6461
"NDUFAB1",17.1002,27.1256,45.5778,22.5499,43.4669,38.7567,48.3433,26.2477,32.5792,38.9049,41.7619,13.5925,24.8551,15.5861,16.0602,26.9217,54.3588,37.9638,21.9222,25.9464,53.128,28.1736,19.4913,44.1275,47.0023,36.0893,19.1132
"PDK4",550.4232,241.7416,84.9145,105.0393,82.2212,91.182,426.3305,25.0882,281.8669,455.0369,369.8296,1420.6444,138.5376,534.1107,299.2604,31.82,97.3946,32.044,108.3619,205.8582,216.2309,326.2701,88.1572,412.5936,384.7689,61.2545,74.0752
"SLC22A16",0.0144,0.268,0.4644,0.1914,0.3405,0.8976,1.0146,0.0907,0.2861,0.8923,0.1172,0,0.0614,0,0.0205,0.0575,0.6044,0.4701,0.1483,0.2815,0.6985,0.0666,0.0161,1.205,0.4572,0.1585,0.0223
"ZMYND10",0.3509,0.9919,0.8696,0.5176,0.5817,1.2356,0.9226,0.648,0.9332,0.8749,0.4077,0.3661,0.4979,0.2008,0.1801,0.5698,0.3715,0.613,0.6589,0.7975,0.9447,1.059,0.304,1.0074,0.7809,1.0505,0.256
"ABCB5",0.1339,0.1845,0.7539,0.1918,0.4765,0.7239,0.6571,0.0437,0.4333,0.9603,1.1451,0.018,0.1036,0.0418,0.0476,0.2021,0.2319,0.1205,0.1431,0.4695,1.2669,0.436,0.0136,0.037,2.2341,0.4483,0.1457
"ARX",0.1085,0.8494,2.9582,0.1351,2.2934,2.0714,0.9876,0.2762,0.1478,0.7557,2.9627,0.0358,0.1347,0.0373,0.1157,1.0211,7.1692,0.3159,0.2126,0.3531,9.0956,0.4808,0.6245,0.8247,0.6339,0.6166,0.2375
"SLC25A13",12.7368,17.1406,30.8115,12.8224,27.1955,22.0287,28.7556,17.6212,28.5343,34.3221,29.2595,8.0571,10.6777,11.6935,12.6577,15.0144,31.1288,29.4356,19.0303,20.1984,29.7425,22.3178,14.4057,35.5554,31.3433,18.3137,15.903
"ST7",5.4975,5.4295,7.5283,5.2272,7.3923,5.9113,8.0952,7.8001,7.1637,9.6424,9.9262,4.606,8.5865,5.0598,5.8278,5.979,9.2978,9.2263,7.724,6.0744,10.0818,7.3512,7.7762,8.9851,9.6511,6.055,6.4006
"CDC27",11.0183,15.1734,32.0095,12.3056,28.7088,30.7622,50.6362,18.1073,36.2393,54.8045,36.2737,7.8227,14.3504,10.641,10.8651,14.1987,40.6842,34.3517,19.5401,17.2201,37.8202,20.585,15.2686,36.2272,63.6431,17.3628,16.7373
"SLC4A1",0,0.0753,0.0953,0.0091,0.5601,0.0855,0.2534,0.0987,0.0513,0.3911,0.0766,0.0543,0.0117,0.0302,0.0859,0.0292,0.1117,0.0384,0.0323,0.0511,0.1871,0.1397,0.0612,0.0668,0.5686,0.145,0.1613
"CALCR",0.0267,0.2741,0.3141,0.1439,0.1824,0.4895,0.4209,0.2037,0.8566,0.6399,0.31,0,0.0284,0.0733,0.0853,0.1684,0.3559,0.2486,0.0784,0.2481,0.2446,0.2158,0.1783,0.4055,0.423,0.3374,0.0412
"HCCS",4.399,7.4791,13.5225,5.2653,14.7028,11.4667,15.3429,5.3342,12.5725,14.3958,11.6176,2.257,5.1413,4.9838,3.1952,7.201,16.5829,12.6532,6.5707,6.705,15.6145,8.168,4.5782,12.3852,14.7246,9.3842,4.7355
"DVL2",4.5726,8.9478,13.6662,5.8226,12.435,13.5585,11.7009,4.6311,13.8772,14.5451,9.0875,4.6971,5.0797,3.9603,4.4691,7.3541,12.6541,11.5869,5.9421,8.9852,17.5909,10.9488,4.5505,13.272,17.066,11.186,4.6201
"PRSS22",5.2447,11.0488,12.0312,6.1156,16.3589,5.9631,3.6121,6.24,5.9023,3.3268,7.3008,3.5491,4.3993,3.0329,2.5021,19.113,9.9047,16.2322,6.666,10.1921,5.5382,10.676,3.7101,10.3051,2.011,9.5346,2.8107
"UPF1",22.3236,19.7462,22.4428,17.1319,27.1886,21.82,18.3991,10.6594,21.6288,21.9186,18.6536,24.3747,17.7423,15.2398,14.4343,16.1283,23.4284,22.9138,18.6335,20.872,26.4478,26.9091,17.2535,22.2364,24.0795,19.882,10.7952
"SKAP2",4.9692,15.0998,27.3628,8.7341,21.7719,30.2673,54.7788,13.5819,42.339,68.5412,26.0095,2.98,5.6678,5.467,5.1676,16.4127,40.7221,33.7795,15.2539,13.9292,42.17,17.351,6.5876,27.2242,76.5047,21.9277,8.9115
"SLC25A5",150.8184,148.6255,188.4468,152.6007,221.9847,134.2323,149.6071,199.0141,148.3354,162.0932,253.3147,169.4992,218.3337,134.2479,169.2761,196.8179,158.1548,244.3463,184.4884,145.5481,149.5591,190.8853,160.1905,204.5057,112.745,151.3151,168.6419
"MCUB",1.711,6.5569,16.5682,4.6401,13.9444,20.2939,29.8363,5.5368,17.9965,29.9101,14.8167,0.7516,2.2084,1.936,1.6329,6.7349,27.2931,15.1473,4.9126,8.9119,23.7359,9.8693,2.5409,15.0734,25.7554,10.2443,2.5458
"HOXA11",0,0,0.0523,0,0,0,0.0256,0.3412,0.0739,0,0.0245,0,0,0,0,0.2383,0,0,0.2481,0,0.0553,0,0,0,0,0,0
"POLR2J",8.3131,17.8534,25.1851,11.6911,23.3564,24.3108,20.3768,9.5224,17.7606,18.7819,18.0604,9.7361,9.9074,8.3038,6.9136,14.191,24.8194,17.7164,10.3844,15.0336,26.6188,17.1021,8.1478,16.1093,22.131,26.2371,8.7021
"DHX33",5.5942,6.254,8.3903,5.7878,11.3087,7.9513,9.1966,4.178,8.5869,11.4572,8.918,5.077,6.2426,5.5036,4.2807,5.1763,8.5163,8.5088,6.5055,6.8115,9.1356,9.2091,6.1873,8.8277,9.9379,6.9222,5.6446
"MEOX1",0.1685,5.7084,23.8538,2.6388,7.6983,18.6425,11.7057,6.7554,8.1392,11.8642,10.5955,0.5204,1.3223,0.2314,0.7486,4.1971,16.7245,10.2529,2.9096,6.3646,17.9572,4.6009,2.2051,15.9741,49.0764,12.3918,1.0251
"THSD7A",0.9077,4.1325,9.2721,2.7299,5.2637,12.8852,15.7888,3.5213,8.2906,13.7825,18.8491,0.6218,2.003,1.2604,1.0374,4.854,14.2505,11.8074,3.1604,5.3992,11.0494,5.7697,2.0276,7.9401,20.9941,5.4161,1.8486
"LIG3",4.5097,7.1375,9.0391,5.35,9.0744,8.6358,6.5583,4.2124,8.8225,9.0392,8.044,5.1863,6.3132,4.2829,4.2327,5.8808,8.5636,9.858,7.0445,6.4296,9.6566,9.8844,7.5755,9.8068,8.1974,7.3405,5.0084
"RPAP3",5.2005,6.8908,12.0399,5.7561,12.0273,9.8562,19.9791,7.1785,14.7115,18.6856,16.0952,4.1618,6.2619,6.0058,5.1109,7.6708,16.8118,15.0794,8.4162,6.5091,13.1802,10.2081,6.5895,16.7201,17.7994,6.9345,8.328
"ACSM3",12.8767,40.2542,39.01,14.6847,61.552,19.5048,11.1023,18.3735,64.4572,23.4311,81.3856,11.4442,15.8246,10.1735,9.6167,34.2818,4.2399,66.4451,25.3819,33.0096,3.6241,53.4963,17.3152,54.9736,2.8289,31.7927,14.4726
"REXO5",1.5481,6.1392,4.1081,1.7846,7.9198,5.1185,3.3249,2.2894,8.1252,6.2966,10.298,1.1239,1.4141,1.1475,0.9836,3.6855,3.3244,4.8183,3.1207,3.9615,4.1446,5.4311,2.0447,6.5799,3.8187,4.565,1.4077
"CIAPIN1",6.6094,13.1615,23.2279,10.5256,23.0977,20.1409,18.9493,10.8139,19.3003,21.7439,17.833,5.5286,7.8833,6.2519,5.8696,12.0646,23.8795,19.8726,10.9854,13.5134,22.9368,15.6817,7.2872,21.4824,19.34,18.3263,6.778
"SPPL2B",6.5287,8.4526,8.9268,7.5584,10.9476,11.4885,4.6981,5.3062,6.5496,6.05,6.5794,10.0089,6.4867,5.2221,4.2792,6.9536,10.4645,6.7985,8.0996,9.2959,12.8252,12.029,6.5189,8.6997,6.1707,6.904,4.6449
"FAM214B",1.6521,4.4949,8.9656,3.4818,10.2802,7.741,7.1184,4.5401,6.7455,8.2986,5.8915,1.3185,2.2656,2.0258,1.3062,4.6887,7.2845,7.7987,3.0381,5.1175,11.4892,5.524,2.273,6.8481,9.5848,6.8785,1.8633
"COPZ2",8.2701,14.9724,28.1616,11.094,16.0222,33.6621,47.503,10.223,42.1792,53.8536,14.4471,6.4136,5.9417,4.9523,5.5996,10.3449,26.6506,12.5484,8.4721,19.3357,32.7294,16.0118,6.925,22.1571,81.9139,28.8437,5.946
"PRKAR2B",7.995,9.1282,18.0444,11.7208,13.0769,10.0507,20.0603,8.6193,13.3758,17.6889,22.3226,4.6365,10.1244,7.3938,9.9005,6.4427,10.6441,11.6497,9.1082,7.9864,8.7051,10.2329,10.6854,18.4979,90.5196,7.7602,12.8531
"MSL3",2.3554,5.3302,8.3059,3.9419,8.7271,10.9563,13.4869,4.2942,11.1941,14.6597,9.6142,2.0433,3.2172,2.1547,2.1122,5.447,14.1718,10.1737,4.5109,5.3062,9.1332,7.2814,3.0082,9.1465,11.8419,6.8332,3.2121
"CREBBP",14.1795,14.1084,13.557,12.0425,19.446,16.3209,17.1001,8.1429,17.3186,28.7723,15.1291,16.2869,14.3023,11.2682,11.8817,13.0823,19.9698,19.0467,15.3786,14.4186,17.6739,21.4301,14.585,19.2061,22.7557,12.7481,14.3414
"TSPOAP1",3.6496,7.2722,7.5614,5.5761,8.0106,7.1319,4.3986,3.3854,5.7965,3.0764,4.2228,6.7009,4.0098,3.5444,4.0143,4.9633,8.1298,5.9087,4.4913,6.3038,10.3881,8.9904,4.197,10.1392,4.1683,5.1228,4.0382
"MPO",0.016,0.1719,0.3759,0.3577,0.1787,0.4084,0.0775,0.1578,0.3729,0.9143,0.167,0.1105,0.034,0.011,0.0795,0.1591,0.9332,0.2418,0.0235,0.3118,0.3346,0.2953,0.0178,0.1699,0.5597,0.3688,0.037
"PON1",0.6995,2.1569,2.075,1.108,1.6865,0.9428,0.7202,0.5332,1.1136,1.1481,2.8074,0.6076,1.3082,1.0769,0.7383,0.9293,1.2657,2.197,1.1215,0.8081,2.0265,1.8619,1.2985,4.1882,1.0968,1.1655,1.3756
"GCFC2",7.3521,7.1732,13.8628,6.8957,10.9474,10.4796,21.8717,9.0416,14.8071,19.2598,20.1018,5.9924,8.1525,7.5533,8.3484,8.0615,14.8951,16.1031,11.138,8.1493,14.1389,9.7247,11.542,20.7028,23.6302,5.9192,11.3755
"WDR54",1.5009,6.1443,8.0015,3.7194,6.334,5.9508,6.0627,2.9806,5.5793,4.8284,5.4374,2.0689,2.4166,1.9251,1.4739,4.2762,9.2328,5.7034,3.7148,5.9858,9.8019,6.3907,2.6174,6.0929,7.4492,4.8211,2.4715
"CROT",3.0219,6.6303,10.3807,5.8377,8.4946,11.1209,16.104,5.4702,13.1638,17.0648,12.2612,1.6827,4.3913,3.0267,4.1918,5.9991,13.1648,8.5351,6.7608,6.1854,13.1571,7.5454,4.1568,14.1554,14.717,7.1422,5.993
"ABCB4",0.0729,0.7915,1.6797,0.5986,1.0872,4.6759,3.5993,0.6417,1.991,1.9624,3.3698,0.0936,0.3412,0.1501,0.1399,0.7649,5.2869,1.0185,0.4927,0.7928,2.1952,1.3308,0.276,1.44,2.1531,1.1381,0.4054
"KMT2E",20.5665,22.8309,30.5199,17.3975,35.0404,28.9869,51.9252,17.8413,37.4466,58.8953,43.2293,15.4869,19.9629,18.231,18.3129,20.76,44.6052,42.6736,26.8716,21.4539,33.6289,28.9974,24.1924,36.8077,55.5297,21.3779,28.4312
