"","C3L-07034","C3N-01011","C3L-00819","C3L-02610","C3L-00102","C3N-01998","C3L-03513","C3N-03780","C3N-02768","C3L-02899","C3N-02589","C3L-07036","C3N-03069","C3L-07035","C3L-07032","C3N-00517","C3L-00640","C3L-04072","C3N-03440","C3L-02606","C3N-00518","C3L-01637","C3L-03123","C3N-02010","C3L-02809","C3N-00436","C3L-07033"
"SYT10",0.0332,0.1952,0.1923,0.1195,0.0551,0.1109,0.3765,0.0597,0.0259,0.5145,0.2961,0.0438,0.0825,0.0685,0.0551,0.0589,0.2253,0.0258,0.0814,0.1546,0.4499,0.0897,0.0864,0.1179,0.8694,0.0609,0.0599
"BCL7A",3.6204,5.9093,6.3143,4.5484,7.519,5.7427,4.7783,3.1909,5.719,4.766,5.6512,3.8071,3.9619,2.9272,2.9332,5.14,5.6349,7.2932,5.0053,5.9346,4.6739,6.5639,4.9782,8.6709,4.4819,4.6605,3.7115
"RSRC2",12.43,21.3113,27.9466,14.0056,29.7444,26.6902,49.6257,17.1905,36.151,45.3869,33.8574,11.0247,15.9199,11.7832,11.3899,15.7084,31.8699,37.4335,17.7086,19.3357,29.7232,23.0526,16.0749,34.9548,40.3322,19.9017,17.2201
"CYP27B1",1.938,1.527,1.2538,1.9637,1.6204,0.8772,0.5411,2.1263,1.0412,0.9554,1.7534,2.3561,2.6827,1.7543,1.7067,1.8341,2.1571,2.4766,2.3692,1.3873,0.831,1.9821,1.5854,1.3554,0.5153,1.9803,1.2057
"MYF6",0,0.0415,0.105,0,0,0.1414,0,0.1142,0.1484,0.0656,0,0,0,0,0,0,0,0.0494,0,0,0,0,0,0.0644,0.0707,0.1398,0
"MYF5",0,0,0,0,0,0,0,0,0.0427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1221,0,0
"LIN7A",0.489,1.8247,2.8243,1.2516,2.1639,3.0322,7.0405,1.2287,3.7739,8.7733,3.1777,0.3523,0.6615,0.5235,0.5774,0.9745,5.2336,2.4711,1.279,1.4874,2.3447,1.7627,0.4523,3.8045,6.516,0.9844,0.8324
"KRT18",67.3508,179.5374,232.9865,99.1087,221.5509,163.3082,107.1796,119.2692,154.902,105.4732,225.0379,57.6596,124.1776,61.0158,60.7882,175.653,103.8919,215.5533,110.9528,123.9968,99.4519,165.2685,90.3222,189.3311,38.5942,188.9564,66.0101
"ACSS3",1.3665,3.3216,4.1725,2.9812,2.7719,4.3989,7.6023,1.8278,4.9141,8.3734,4.1248,0.6391,3.1613,1.0742,1.3095,2.334,2.9528,6.3582,2.1023,2.144,3.7149,3.0317,1.3928,5.1272,11.0779,2.7907,2.1231
"TNS2",10.5726,25.0203,26.6301,11.4595,19.3594,27.153,27.2204,7.8085,22.3085,30.544,14.9532,12.686,9.8204,8.7391,7.9023,11.6401,24.5192,15.2608,11.1205,15.9585,44.8356,23.8829,9.5543,21.7656,65.5694,19.7925,8.8125
