"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"TSPAN6",39.6099,35.8062,47.4163,43.8962,29.8287,48.1533,28.8811,35.5183,27.2941,38.4309,27.0626,44.0276,18.8008,56.2274
"TNMD",3.1768,4.573,5.0269,1.3031,2.7717,1.962,1.8839,1.6753,5.0939,1.3159,1.552,2.0531,0.7827,6.9302
"DPM1",106.7428,86.9414,86.2891,83.4691,115.9013,100.5517,71.8098,93.6097,95.7214,88.3724,77.8809,84.0658,110.9422,92.1819
"SCYL3",15.6683,16.8242,18.6716,14.9964,11.8583,13.9991,11.1382,15.6554,18.5334,20.012,11.9931,18.2071,8.4533,16.88
"C1orf112",8.5681,7.773,7.2269,6.29,5.8665,7.0116,4.7241,8.284,8.0182,7.7541,4.909,7.3028,5.2249,7.9042
"FGR",9.7996,7.8585,7.9088,8.2597,14.8993,5.6047,14.3527,8.2677,9.8558,5.9585,10.207,6.1854,14.875,7.0192
"CFH",42.5864,26.2078,49.8299,13.4513,22.8446,47.3858,22.4795,24.2415,32.0812,16.6525,18.6496,18.6686,17.0436,25.3341
"FUCA2",28.1332,32.7384,42.8794,35.8305,25.069,31.7811,29.7848,27.2312,32.9038,35.4175,26.4245,36.6833,21.474,32.4856
"GCLC",18.301,30.0928,20.2697,55.1677,14.8433,11.8019,12.4173,15.075,11.0362,17.974,10.2385,28.2324,9.6763,23.1674
"NFYA",39.4835,35.7548,30.4297,41.985,25.7634,32.6291,28.4134,37.9579,40.8383,31.7476,28.8116,39.1165,37.8378,30.4361
"STPG1",3.293,3.6803,4.1652,2.0984,1.9813,2.5674,1.9882,3.1624,5.1679,3.3661,3.0164,3.3767,1.4314,3.4808
"NIPAL3",10.1848,18.4643,21.8767,12.5549,11.6284,10.0588,10.8226,12.2983,17.5508,11.6365,8.9452,14.3154,8.6627,13.5773
"LAS1L",14.9388,12.298,14.7015,13.3498,12.6604,11.5609,10.3712,15.3625,16.9276,11.6351,11.7657,12.6288,13.652,13.5737
"ENPP4",11.6112,20.5753,24.8729,17.9075,8.6803,9.8451,12.2315,17.2847,15.4074,22.3237,6.1405,21.3861,10.9684,11.1585
"SEMA3F",9.4289,16.1061,20.1956,11.0263,12.6329,6.7099,14.2395,7.0355,11.3989,8.5022,12.4236,12.7407,14.6243,12.5773
"CFTR",0.8039,9.664,7.6381,5.859,1.5054,5.5255,3.5959,6.0936,2.2309,10.6392,3.3212,3.8149,2.8839,8.4347
"ANKIB1",50.4635,51.1699,54.2245,49.3454,45.6705,56.4966,39.8999,49.1817,60.3061,51.3683,37.6419,53.4208,39.4573,58.482
"CYP51A1",2.5064,3.1977,5.425,4.2304,2.9123,3.929,2.4763,2.8028,3.7639,4.6324,3.4919,5.7339,7.9461,4.84
"KRIT1",8.6229,9.1288,7.6925,7.2633,7.0123,7.9919,5.2502,7.2817,8.665,6.8746,4.7875,7.0431,5.6034,7.1394
"RAD52",23.6183,21.3601,23.3327,19.3224,17.5497,24.3603,18.7718,23.6975,30.5274,18.2959,22.7876,18.9514,15.8832,23.1229
"BAD",14.4126,12.4114,16.1429,15.4435,13.6702,13.2558,12.14,11.1366,12.9859,14.0253,15.216,13.8502,9.285,16.7235
"LAP3",53.8603,42.7714,54.5253,58.6795,48.1638,42.0346,51.9908,46.4604,56.2156,85.0992,45.4134,56.1207,55.6065,64.7067
"HS3ST1",6.6362,8.2699,7.1335,6.11,5.4487,4.0957,3.0239,5.283,7.0281,5.9976,5.2273,8.3093,2.6698,5.6199
"AOC1",0.1689,7.9113,0.992,0.7015,0.6062,1.8543,10.6598,1.1053,1.0922,12.9325,1.7735,2.427,0.5271,1.9371
"WNT16",2.3507,1.034,0.6174,0.449,0.9477,0.6184,0.7545,0.2914,0.4991,0.2975,0.7744,0.4792,0.7079,1.0052
"HECW1",0.1759,0.3784,0.3221,0.5455,0.2578,0.4219,1.5906,0.6825,0.054,0.4995,0.4081,0.8979,0.1281,0.6994
"MAD1L1",0.6633,0.8315,0.7095,0.8614,0.9109,1.056,0.9999,0.8813,0.8146,0.7612,1.3002,0.7842,1.2057,0.6674
"LASP1",30.9541,30.515,22.6766,23.5424,19.162,23.3277,28.1056,20.1636,28.874,20.986,35.6204,26.4006,18.8751,26.718
"SNX11",15.2385,12.7845,12.0348,9.0635,9.9226,9.6185,9.3227,10.8154,12.0065,11.181,12.0793,8.8221,13.0615,11.3707
"TMEM176A",3.7085,4.9442,4.9792,5.3999,4.936,4.6187,8.2941,8.0692,6.5232,13.6163,7.5654,4.189,11.0855,3.9133
"M6PR",68.0418,50.9824,78.6215,63.8181,62.1787,59.336,58.7471,67.7819,68.6495,71.4259,52.7505,68.0044,68.9915,65.7863
"KLHL13",71.741,59.2952,45.6106,51.3357,66.0015,49.3507,51.435,44.4004,52.9018,47.6098,43.9481,49.9893,43.0148,84.2831
"CYP26B1",1.2325,0.5258,1.4247,0.6757,0.199,0.525,0.4119,0.4362,2.7985,1.3071,0.7718,0.2339,1.1099,0.5965
"ICA1",10.0826,20.0002,28.8705,25.2276,11.1776,8.5725,17.0506,15.2701,10.7782,36.2303,10.4505,30.4089,7.0332,13.0629
"DBNDD1",0.3821,1.8909,2.4225,0.8211,0.5367,0.649,1.371,1.1723,1.011,2.8476,1.1861,3.0233,0.612,1.795
"ALS2",27.2694,24.4921,22.3782,21.015,21.9962,21.3041,17.1174,24.6195,27.1077,20.6938,20.8722,23.291,16.0084,25.8952
"CASP10",8.6029,11.2686,12.3126,12.8303,10.5559,6.876,9.966,8.6814,11.9177,13.5684,10.3262,11.0634,6.4004,10.5779
"CFLAR",36.7215,38.8054,36.9356,28.59,34.6364,25.1801,33.5041,37.0502,41.0843,32.2149,28.0812,31.3754,35.77,34.9353
"TFPI",37.663,29.6391,24.3353,21.9393,32.8884,28.8648,30.0648,24.82,41.0568,20.2981,21.6467,16.3978,48.8636,20.0264
"NDUFAF7",28.7796,27.038,25.9927,26.3401,27.8217,27.1126,24.545,28.8108,30.375,24.2058,18.8667,23.4007,26.8388,27.6467
"RBM5",73.9285,67.5237,69.9593,72.5403,64.414,63.3616,59.2251,78.5961,80.8822,65.6221,49.9268,73.5813,72.0686,69.5722
"MTMR7",5.0607,3.5622,4.231,2.3664,2.29,4.3447,2.4999,2.4436,8.6096,2.7452,2.6339,3.1465,3.6534,2.4515
"SLC7A2",31.4643,22.3739,27.6021,45.4292,24.3741,51.4655,129.554,43.8057,70.4145,186.2665,24.4525,66.6525,128.5546,27.137
"ARF5",58.5092,46.1737,60.8335,67.0477,54.3464,50.0567,55.9379,49.6119,51.1539,58.979,64.4933,64.1152,53.1744,60.3318
"SARM1",4.3759,3.9128,3.9924,2.8206,2.453,3.153,2.275,3.2031,4.9763,2.9224,4.2395,3.7939,1.9861,4.006
"POLDIP2",51.5269,46.6498,62.6802,61.6764,46.5271,44.0092,53.2311,41.213,50.7341,52.6801,48.7866,61.7637,37.4865,55.8033
"PLXND1",28.8466,44.7045,29.9907,27.2647,31.207,30.0721,36.8837,27.7847,46.3372,18.071,42.1128,23.5867,20.3193,30.8874
"AK2",34.7433,39.3592,42.9219,39.3759,31.5774,35.1843,27.8408,36.8175,40.4377,41.024,33.7395,40.5839,38.3329,39.4519
"CD38",1.0257,1.7534,1.0286,2.2573,1.0186,2.47,3.3252,1.3731,2.0468,5.618,0.9562,1.3258,0.5054,1.2947
"FKBP4",36.7398,40.8748,67.7032,51.4264,27.5204,37.8523,25.743,29.5102,36.2605,36.7107,38.8924,45.5158,35.0898,47.8851
"KDM1A",85.5076,69.5414,81.4142,83.0525,71.6625,76.3505,62.9426,78.8128,85.5747,84.1283,66.4475,86.3244,77.1279,82.2727
"RBM6",110.1578,101.0008,85.176,103.5969,79.5486,82.1408,123.4504,96.7356,95.1284,86.4958,69.5022,88.0566,76.7077,92.9957
"CAMKK1",9.4337,11.6207,5.4963,6.9619,13.961,6.765,10.3354,10.9143,15.493,6.9791,7.9918,9.2847,21.7031,13.7096
"RECQL",35.9263,39.2112,35.9958,34.6334,41.0319,34.2523,36.6216,30.8298,41.4163,36.8778,36.9361,33.6017,27.5139,50.5095
"VPS50",24.4927,25.3762,23.5927,20.8682,22.0877,21.2251,15.741,23.62,27.6864,23.6634,15.3045,19.9923,15.7774,24.7128
"HSPB6",12.4245,12.235,3.8256,2.9219,6.7138,20.2591,9.9076,7.7233,13.3741,4.1779,19.7942,3.232,14.1942,6.2691
"ARHGAP33",3.4239,2.0051,2.7864,2.7511,1.7262,2.9864,2.6582,3.8694,5.5984,2.431,3.9347,2.546,3.1348,3.4123
"NDUFAB1",53.2831,48.7131,64.2039,56.8582,52.8555,60.7146,44.7006,48.4136,54.56,57.7696,55.4179,54.5597,51.9699,57.8496
"PDK4",94.2304,122.3624,213.4009,106.3022,123.9137,58.6518,147.578,150.2998,122.0006,66.0582,69.8668,77.4881,141.6131,52.3695
"SLC22A16",0.0818,3.9141,1.1957,0.9377,1.5068,0.0449,0.2643,0.2921,0.3849,1.3464,0.465,1.201,0.3763,1.8524
"ZMYND10",2.3608,5.1473,2.917,4.7871,0.8635,3.9488,1.6774,1.2181,1.5181,4.3981,1.0117,14.2789,1.745,1.7703
"ABCB5",1.5196,0.957,0.5541,0.465,1.1749,0.948,0.4806,0.5753,1.0423,0.3584,0.3157,0.3907,1.7018,0.271
"ARX",0.0684,0,0,0.0294,0.032,0.0564,0,0,0.0402,0.026,0,0,0,0
"SLC25A13",25.0474,32.2651,42.1219,40.9309,22.9147,20.3186,29.5938,30.1214,24.6567,39.3742,25.6782,53.2766,20.8635,32.3832
"ST7",13.0636,11.8944,11.8748,10.189,9.816,9.8164,8.765,11.3091,13.3259,11.3842,8.7394,9.1372,10.2032,11.5338
"CDC27",65.8699,50.3991,46.378,44.6399,49.4226,62.0359,45.427,47.0656,64.9136,52.1584,44.949,46.3123,54.9597,59.6615
"SLC4A1",0.2703,0.1646,0.143,0.2859,0.1363,0.2055,0.062,0.0186,0.7091,0.0316,0.5395,0.2861,0.123,0.2448
"CALCR",0.3534,0.2498,0.1736,0.4122,0.3309,0.3118,0.2634,0.383,0.0594,0.115,0.1123,0.3936,0.0498,0.3428
"HCCS",14.9638,14.1341,16.6548,14.4634,15.1183,14.1952,12.3762,14.8566,13.1033,16.7524,13.1824,15.2283,16.4508,15.0741
"DVL2",28.4991,19.8206,21.691,23.3403,20.9088,21.3245,22.2613,24.2727,26.8,19.24,24.6586,22.2658,19.2444,25.8975
"PRSS22",1.6986,6.8128,6.1862,4.8022,0.5023,2.724,5.9317,3.7899,0.5782,8.9281,1.2591,7.4217,3.7006,3.7644
"UPF1",25.8802,30.6075,32.0119,28.7062,22.1257,25.4167,28.2918,23.6186,24.3954,21.0231,24.2058,26.2369,32.0846,24.3584
"SKAP2",17.7312,11.9414,13.8914,10.0968,13.8848,13.7174,11.4996,11.212,21.1538,19.5192,9.7692,15.0613,13.1257,11.4121
"SLC25A5",123.2193,154.9768,159.8756,196.1346,165.4888,127.9369,140.5485,118.7154,102.3431,177.1087,145.7951,213.6104,163.245,195.5427
"MCUB",30.0064,30.2899,16.0528,13.062,31.2675,16.465,15.0174,27.9836,36.8351,22.4691,16.532,13.0062,25.8796,19.7613
"HOXA11",20.8421,71.3246,54.8442,73.6756,28.7866,37.0553,39.4099,42.2618,46.6215,52.6089,64.9351,48.3454,7.3191,104.815
"POLR2J",32.6383,29.4214,37.7223,32.9177,31.3702,31.9935,31.133,31.8661,33.4776,34.7013,35.5617,34.0512,26.5082,33.116
"DHX33",12.8675,15.9592,12.5005,14.9668,11.7724,10.0353,12.2962,13.5538,11.4075,14.637,11.2848,18.9461,16.1829,16.6694
"MEOX1",16.5787,8.6376,6.0291,3.4594,14.2171,4.1679,3.8326,6.9712,35.5216,1.5435,10.7235,2.3396,16.9282,9.7077
"THSD7A",45.5695,21.9314,15.3494,28.0694,26.7977,50.9771,36.0015,23.7658,23.0287,28.9008,25.808,27.8015,18.3393,15.5074
"LIG3",20.1469,16.4317,21.2442,20.517,16.5747,14.3867,15.4936,17.3759,19.5624,18.5497,21.0449,22.1935,19.5951,19.4255
"RPAP3",22.1897,22.9659,18.0806,18.8313,17.5503,22.6032,16.0969,19.2702,22.954,23.4016,16.6108,21.396,26.7176,23.8813
"ACSM3",33.9848,16.838,19.2595,11.6345,12.2634,6.4385,11.3085,33.5723,48.6723,17.2851,6.4794,9.6191,15.2433,6.489
"REXO5",4.2512,6.5676,6.7069,6.4163,3.9563,5.8276,3.4592,4.3262,4.8466,3.6419,2.6517,6.1586,2.2226,4.9764
"CIAPIN1",18.9633,20.1392,24.1527,23.0934,15.3963,15.9791,18.8808,17.4583,17.6315,23.0852,21.2253,26.1792,17.0748,25.1873
"SPPL2B",7.4693,8.1313,9.9886,10.8143,7.572,7.1799,9.6696,9.3581,7.094,9.3267,9.423,11.4763,5.889,10.8739
"FAM214B",7.8399,6.3858,4.871,6.1059,3.9443,5.5751,5.8945,4.58,7.725,4.3924,7.3479,4.7228,2.9325,7.2204
"COPZ2",25.4708,16.5603,22.2868,22.0872,27.1644,39.9744,24.9915,14.0163,32.9056,16.0038,29.2522,20.745,15.3091,33.3041
"PRKAR2B",30.1546,31.4516,19.4508,13.9682,28.5155,22.8757,19.8705,28.6749,30.3719,20.2989,14.3641,15.4588,22.868,27.5324
"MSL3",9.0875,9.4358,8.439,9.1307,7.5703,8.0936,9.0899,7.274,8.7256,9.4832,8.9413,9.4854,5.1224,11.13
"CREBBP",38.6224,40.7173,30.0683,30.2948,32.1473,28.3863,30.964,32.0853,41.6755,24.8033,28.8998,29.9782,34.7868,30.4354
"TSPOAP1",18.4425,15.3721,18.6999,15.9228,17.2858,16.5201,14.2232,21.8706,19.9699,18.2552,21.0298,17.5696,14.8745,24.0973
"MPO",0,0.3588,0.3376,0.2337,0.0566,0.0746,0.3379,0.2697,0.2842,0.1377,0.1792,0.2494,0.1489,0.1368
"PON1",1.1631,1.3893,2.3788,0.5171,0.338,0.4624,0.2392,1.038,0.9904,1.127,1.1892,1.3245,0.9091,0.9806
"GCFC2",26.4367,26.8781,32.2165,25.8735,23.5477,40.6966,20.0139,25.1262,28.0353,28.8929,18.2804,26.8811,18.4977,28.7978
"WDR54",10.9107,10.3543,11.6268,13.1666,9.6912,10.6156,9.7496,11.3048,11.6874,10.2155,9.2233,15.321,6.9968,12.2823
"CROT",20.3105,20.3119,17.9902,16.4107,14.0233,16.9011,9.0658,16.3748,19.5177,14.2579,13.8851,15.9105,11.3541,19.3964
"ABCB4",1.9581,1.201,1.3394,1.0548,0.7618,0.704,1.1308,0.7015,2.6917,0.953,1.1653,0.5313,0.5028,1.1238
"KMT2E",85.7007,81.434,61.0247,53.6053,56.2239,58.736,52.6385,63.7901,87.3479,54.5334,52.6967,55.1303,72.0788,59.2245
"RHBDD2",27.8677,24.844,25.6024,30.9254,21.5844,27.1712,27.4899,28.3729,21.8637,26.8524,30.4406,30.4711,27.4208,25.6793
"SOX8",0.596,1.1561,0.8402,1.4138,1.1831,1.119,0.7998,0.5319,0.4205,0.6156,0.7069,1.6183,0.9868,1.1442
"IBTK",51.4803,48.4085,51.3532,45.6314,44.8265,50.9886,39.5083,44.9519,56.0797,48.7955,39.1026,47.66,47.4957,47.6021
"ZNF195",10.3008,11.9415,10.8254,11.4182,8.1624,8.5725,7.6521,10.8986,10.4862,13.5033,9.0926,16.7192,11.2908,12.0634
"MYCBP2",90.095,72.0256,71.1062,63.9463,69.7724,83.9241,65.158,77.5632,94.8113,67.3529,58.9128,58.8951,76.1789,67.6104
"FBXL3",57.7259,42.4039,37.3086,31.3492,40.5131,39.3511,32.0317,45.5911,60.7069,37.5255,20.3624,28.8727,39.7036,42.1809
"ITGAL",2.4308,2.673,2.6281,2.9341,1.8512,4.1814,4.1156,2.1598,3.5698,3.1916,2.1622,2.5964,1.3629,1.9566
"PDK2",18.2512,15.5953,13.3275,12.3212,12.1649,10.6186,9.6275,15.1587,21.7363,9.7926,10.9589,12.4715,7.9858,16.5976
"ITGA3",18.9714,21.6698,18.3633,14.5951,12.2258,10.1704,21.1702,17.3292,20.5313,22.4741,33.1302,15.5375,23.1223,22.3183
"ZFX",91.4368,76.523,67.538,63.5352,75.247,81.0163,56.298,67.4914,91.8505,65.4011,58.5131,65.3344,78.2372,75.1214
"LAMP2",54.5523,56.4898,68.4187,66.8895,55.5565,72.7221,61.966,59.2041,54.9263,72.496,35.238,84.1149,53.6518,62.6567
"ITGA2B",1.497,1.3148,1.4154,1.8655,1.0162,1.6334,1.2415,2.6386,3.3445,1.89,1.2345,2.0769,1.8442,1.7114
"ASB4",0.2082,0.4579,0.2188,0.0795,0.3033,0.1334,0.0345,0.0413,0.2176,0.0351,0.0858,0.5306,0.4104,0.1886
"GDE1",25.9012,30.2463,30.7773,33.0052,21.6381,23.4281,28.792,17.7215,19.3531,27.4498,24.9396,38.0991,14.5456,35.9619
"REX1BD",21.9708,17.5202,19.7007,18.9371,20.7495,18.0926,17.9582,21.9217,25.2776,19.1581,18.6997,15.92,20.3446,23.3877
"CRLF1",0.862,3.9101,0.9262,0.6791,0.9416,0.3845,0.6426,0.4808,1.0136,0.4364,0.6922,0.3624,1.1327,0.8131
"OSBPL7",6.4212,8.0239,9.2549,7.8879,4.8129,6.1424,6.3827,6.8884,7.6841,5.6646,7.4642,5.7712,3.9632,7.2242
"TMEM98",56.4367,66.7929,75.6547,61.5357,55.4018,38.4724,42.9618,59.3157,52.0615,60.8026,48.5505,62.9636,48.2707,69.2815
"YBX2",0.7134,1.0248,0.8901,1.6217,1.2281,2.4255,0.5661,0.5545,1.0012,0.7864,1.0576,1.1399,0.4536,2.3755
"KRT33A",0.2454,0,0.0703,0,0,0,0,0,0,0,0.0606,0.075,0.0806,0
"MAP3K14",15.7744,6.587,6.1251,9.4691,6.9889,10.5746,7.681,11.7793,9.8603,7.796,11.3585,16.1254,23.2545,6.9463
"ABCC8",0.6434,0.7122,1.3171,1.1714,1.3475,0.6344,1.3821,1.8284,0.8262,0.8551,0.7405,0.73,0.3004,0.6516
"CACNG3",0,0,0.0478,0,0,0,0,0,0,0.0422,0,0,0,0
"TMEM132A",3.0326,13.0781,7.7825,10.7529,2.7572,3.4624,6.6295,5.8837,4.2895,10.5362,5.1692,15.6292,3.3497,8.517
"AP2B1",78.1102,85.459,86.7023,76.4584,64.8031,75.6517,75.7401,80.5232,85.972,78.1685,73.6655,78.9904,81.837,75.2823
"TAC1",5.291,10.5958,0.4816,0.963,8.2179,2.563,0.9281,5.9997,1.6835,7.6108,5.6292,3.0262,24.0478,5.9748
"ZNF263",27.8607,20.9844,23.9626,22.2856,22.2532,17.4607,17.1595,24.9538,25.7548,20.3999,21.3676,23.526,36.1511,23.8422
"CX3CL1",12.6234,11.4136,6.1939,8.1139,6.8976,7.1559,8.8509,10.2128,15.2012,16.5254,12.5647,10.8906,13.6568,11.6252
"SPATA20",22.1239,23.259,59.5573,41.0835,27.6515,41.2387,35.8298,33.8764,30.0772,42.5196,22.4089,43.2259,16.4711,44.5339
"CACNA1G",1.2603,0.5974,3.596,8.2923,0.3967,8.5471,4.3662,2.9869,0.1744,1.7856,3.5171,4.7409,2.0041,2.4839
"TNFRSF12A",158.9321,8.4326,21.1584,48.5657,58.6719,11.1583,46.4054,56.0291,22.8911,47.4974,76.932,95.3104,403.5396,38.5247
"DLX6",1.7323,6.7963,14.9966,8.4011,0.1738,1.1972,3.4361,3.1472,0.582,10.5244,0.4586,7.86,0.3353,4.3978
"MAP3K9",1.4798,3.8487,3.7791,2.5437,0.8459,1.3532,2.2385,2.1654,0.8195,2.9664,1.4605,5.0984,1.3482,1.4335
"RALA",30.7282,35.4204,27.8721,28.0216,26.1789,33.9106,25.5715,22.375,29.7957,31.5895,27.3244,29.2794,18.1058,36.6422
"BAIAP2L1",4.4651,6.8035,7.8282,6.4782,3.7876,5.479,9.393,5.9775,5.3025,8.511,4.5715,10.9493,4.7491,4.864
"KDM7A",46.9423,35.5826,47.1487,67.2801,47.2943,50.138,41.6793,38.0204,25.8958,57.5863,26.0111,74.4769,49.8584,47.4367
"ETV1",6.5946,6.2193,5.5066,7.268,5.2511,6.0877,4.1726,7.5472,7.5199,6.4559,7.0737,10.3294,3.2878,10.3374
"AGK",15.8599,15.2426,16.3045,15.2918,13.8147,15.0949,12.0018,17.0529,21.6249,17.2194,13.3293,15.919,13.4607,17.4379
"ALDH3B1",2.8628,2.865,3.7188,4.6444,1.8824,5.2976,5.7671,2.6985,3.0826,2.9924,3.2785,4.7504,1.7753,2.8254
"TTC22",1.6741,1.8466,4.1521,3.642,1.143,3.8629,1.885,2.21,1.2303,3.1254,1.7838,3.3432,0.7906,3.8056
"PHTF2",17.4652,16.0284,12.0461,15.6779,16.3878,18.7163,14.6007,14.9491,16.9863,15.7067,10.4155,16.9592,13.1798,17.6234
"CCL26",1.9706,0.3,0.6515,0.2606,0.4258,1.2483,0.226,0.5411,1.0695,0.1151,0.8989,0.2781,0.5976,0.8236
"FARP2",17.6041,14.4207,13.2198,11.9688,11.8035,11.0282,11.4211,14.7912,13.7596,13.8309,11.5596,15.6992,19.732,14.0408
"USH1C",0.3477,0.4516,0.523,0.0747,0.1221,0.5368,0.1134,0.0582,0.1789,0.264,0.3544,0.6578,0.1071,0.0394
"GGCT",14.9086,20.577,21.0327,22.3512,15.5243,11.8365,12.0114,11.3961,14.9366,18.7347,12.0919,24.7755,18.6463,18.3433
"DBF4",10.6218,8.2169,8.5521,9.9063,6.862,5.9586,5.5326,8.7966,10.1175,8.2603,6.4983,8.6159,14.6738,7.2453
"TBXA2R",1.7717,2.2757,1.6849,1.5551,1.4471,2.0798,1.5175,1.2448,3.0142,0.7443,2.5707,0.8645,1.9318,1.4678
"IFRD1",18.4893,8.8355,8.7869,16.5281,28.2599,19.8455,12.6275,22.4949,13.733,12.5973,11.0463,15.8344,29.6787,9.33
"LGALS14",0.1179,0,0,0,0,0.0971,0,0,0,0,0,0,0,0
"COX10",7.729,7.2121,8.7859,7.7544,5.568,7.3779,6.1148,5.9829,6.9184,7.4389,6.8868,8.1171,6.2648,8.1844
"GTF2IRD1",13.8885,10.2723,13.3336,10.2877,11.8527,11.4235,16.4048,11.2536,9.6021,11.5561,11.3039,11.8525,16.5319,12.235
"PAF1",80.6912,46.5899,61.3891,63.5977,69.1815,64.3541,51.4022,71.3468,64.3697,55.799,49.0037,59.4406,90.3217,59.1523
"VPS41",49.9288,51.7805,54.675,54.9034,51.5509,48.7569,64.4516,55.3072,57.4983,50.7481,39.0076,54.9671,38.9374,56.9385
"ARHGAP44",7.5678,7.2068,6.2299,4.5784,4.8274,4.0479,3.2896,7.0295,8.5359,5.7733,4.881,4.8132,6.5232,6.6148
"ELAC2",30.2561,33.4532,35.492,31.5628,27.7169,27.4095,30.0443,29.9637,30.5848,36.7085,25.2481,35.2787,18.5242,31.5187
"SCIN",0.6141,2.1681,1.4419,1.6228,1.4247,1.2153,5.822,1.4152,0.4527,3.2091,1.223,1.9423,0.7046,2.3739
"ARSD",16.4718,30.4118,49.8815,45.0642,13.5484,16.387,28.2908,24.5551,17.3536,41.9738,14.2786,55.4016,12.7507,25.7249
"PNPLA4",5.811,13.3262,15.6295,13.1301,9.4486,11.603,7.8723,8.4484,10.5068,11.4834,10.0508,12.8675,4.7109,14.6828
"MYH13",1.1492,0.8789,0.8681,0.1048,0.7989,0.7456,0.4673,0.6061,1.9452,0.2513,0.9939,0.0958,1.3386,0.7569
"ADIPOR2",41.4861,35.3964,38.2995,37.6029,44.3718,35.1865,39.9745,39.5205,45.0222,35.4614,33.2176,41.2738,60.2126,44.0543
"CDKL3",2.7073,1.6746,2.3562,1.9487,2.4399,2.2016,1.4128,2.6276,2.2682,2.3387,1.48,1.9867,1.801,2.9112
"UPP2",2.1984,2.5323,2.1065,1.0531,1.1473,2.6116,0.5105,3.0877,3.1359,2.8464,0.8281,2.8099,1.6693,1.9254
"PRSS21",0.3251,0.4826,6.4265,0.5122,0.1015,0.0892,0,0.4835,0,1.2755,0.8032,2.6339,0.5339,0.5396
"MARK4",9.4302,8.6832,8.5739,9.1781,9.1746,8.3985,8.9877,9.8022,10.8629,8.0614,9.708,8.8853,11.3767,9.4527
"PROM1",8.5602,30.8463,21.2758,13.142,2.6895,15.7694,21.4566,26.1458,2.7895,99.7595,6.3135,47.9129,5.6618,13.0831
"CCDC124",30.6033,24.0647,30.3316,28.4525,28.7148,25.2542,30.7066,26.6253,28.6681,24.5567,28.1067,28.19,25.7979,32.5924
"CEACAM21",1.6171,14.0834,50.689,34.5599,2.0188,4.4388,2.8129,9.0922,2.2818,24.7251,2.0777,20.4703,2.3906,10.836
"PAFAH1B1",68.6633,56.1447,57.1254,55.1619,60.2338,53.5225,56.0228,61.2107,65.8716,52.5917,44.9204,57.0006,66.8696,63.4592
"NOS2",1.2113,0.2877,0.6663,0.229,0.7712,0.4987,0.2709,0.8432,1.4528,2.2813,0.431,0.7111,0.4775,0.8994
"DNAH9",2.2268,6.213,3.055,3.7952,0.3711,4.4238,1.1302,0.9207,0.8284,2.3886,0.7274,11.6212,1.3949,1.4924
"KIAA0100",56.5613,58.5133,69.5247,55.963,47.1776,49.8378,50.221,52.6631,54.6738,51.0457,58.8686,70.4769,52.2624,59.758
"SLC13A2",0,0.0327,0.0284,0.0568,0,0,0,0,0,0.0251,0,0.0909,0,0
"GAS7",34.3576,31.1787,47.7576,20.5032,18.3688,39.6792,28.648,21.319,33.2211,27.3112,43.4239,20.8247,20.9988,32.1949
"TRAPPC6A",22.2727,21.2514,40.5482,39.2662,21.8171,19.8461,24.0974,25.1783,16.9229,28.191,18.3726,33.3177,18.2359,25.6504
"MATK",1.1589,1.0959,1.2618,1.5715,1.1333,1.9723,2.0543,1.1032,1.0599,1.4668,1.5654,0.9922,1.1421,1.0261
"CEACAM7",0.0402,9.7396,0.0691,0,0.4137,0.43,0,0.3943,0.5668,0.4576,0.0298,0,0.2771,0
"CD79B",3.7727,4.2452,3.3318,3.0204,4.0164,3.1919,3.2364,4.2895,8.5687,3.0614,5.2484,2.1333,4.2275,4.6331
"SCN4A",0.0646,0.0384,0.1445,0.0333,0.1089,0.2236,0.0675,0.0808,0.304,0.0589,0.1533,0.0237,0.0764,0.0468
"ST7L",13.3668,12.7735,13.6363,11.5446,11.6419,11.7974,9.0243,12.9382,14.6051,11.7582,10.9508,11.6585,12.8756,13.3418
"TKTL1",0.2418,0.1196,0.052,0.052,0,0.1244,0.1577,0.1349,0.2843,0.2066,0.1568,0.1109,0.1489,0.0274
"PAX6",0.1188,0.046,0.0755,0.0355,0.0145,0.0298,0.0192,0.0553,0.1457,0.3019,0.0842,0.2084,0.0305,0.0327
"RPUSD1",12.9696,8.9507,13.4971,11.0806,7.171,8.5569,9.2958,10.0293,10.1823,12.8891,12.4667,12.1088,5.5376,12.9293
"RHBDF1",19.7995,14.8304,15.9194,17.9859,12.833,18.1976,24.6548,16.5672,19.8905,15.0858,23.1965,20.1115,20.9025,18.4593
"LUC7L",56.9239,54.6625,54.0769,62.8484,59.6327,51.4797,59.648,63.5842,56.7506,57.4476,45.3548,57.1544,49.9108,57.812
"CACNA2D2",2.0305,3.0142,2.8854,4.4753,1.8858,2.5755,1.3428,2.4259,2.8112,2.3503,3.083,1.7574,1.7429,3.3807
"BAIAP3",3.2272,2.7277,2.4141,2.4138,1.0453,1.7382,2.939,3.8454,1.5794,2.676,1.1638,5.5205,1.9599,1.6902
"TSR3",32.8506,24.0566,34.8237,27.5522,24.7391,27.2695,25.2779,25.9382,26.5118,30.4323,35.8409,27.0638,19.2691,30.3055
