"","C3N-00333","C3N-00383","C3L-01304","C3L-01311","C3L-01307","C3N-00858","C3L-00586","C3L-00601","C3L-00006","C3L-01282","C3N-01346","C3L-00932","C3N-00866","C3L-00361"
"WDR38",1.383,5.3227,3.5663,4.5563,0.8633,2.4043,1.4892,1.6457,2.078,3.4426,1.196,9.5145,2.9531,1.5306
"TSTD2",31.8119,22.3845,23.1751,22.9779,25.7022,24.4316,20.548,28.2569,23.2579,24.6587,22.2012,26.0421,39.8199,20.8219
"GABBR2",0.0726,0.0431,0.1123,0.1621,0.0815,0.0956,0.0325,0.0777,0.0853,0.1433,0.0861,0.3195,0.1144,0.1971
"HEMGN",0.5348,0.0962,0.2507,0.6685,0.091,0.4404,0.3987,0.0868,0.686,0.0738,0.4685,0.3568,0.1437,0.1761
"PSMB7",108.235,107.2352,120.496,121.4519,108.6541,112.5902,116.6792,120.4261,123.5578,118.3621,105.9432,134.7109,119.475,137.6787
"NR5A1",0,0,0.0537,0.0268,0,0,0.0699,0,0.0735,0,0,0,0.0616,0.0283
"TRMO",26.0957,14.8704,20.8195,19.2934,21.6204,15.969,15.7205,22.4415,20.6887,17.8674,14.1271,18.8485,21.8455,15.1412
"RABEPK",17.3104,15.0709,19.4743,16.5067,15.4225,13.2567,12.928,16.9744,19.5511,17.7956,17.3007,17.8458,14.5486,20.3749
"GOLGA1",19.7721,21.0238,18.0343,16.6319,17.6605,15.7484,16.6984,17.8023,21.6435,17.7819,19.9528,17.7995,12.7377,18.9034
"XPA",70.5355,67.426,65.7756,55.0741,53.2422,61.6125,40.0287,62.427,81.2858,54.5474,43.9336,47.5845,46.498,63.6597
"NCBP1",63.812,61.5823,63.7018,60.0165,51.2496,56.0545,42.9978,55.5337,69.9377,56.7361,48.7648,60.8248,57.3194,60.6231
"ANP32B",74.9382,86.9669,59.8104,55.8346,56.2402,51.2924,55.399,67.0325,75.1189,54.0542,50.3108,49.1378,65.2055,62.131
"OR1L4",1.2524,1.3521,1.8594,1.2721,1.2792,1.1251,1.1883,2.2354,2.6776,1.297,1.1815,2.7154,0.2244,2.3712
"PDCL",39.6562,35.4385,36.5477,40.5055,33.8261,38.1295,30.749,37.0948,38.1053,40.3562,26.1426,36.5224,21.4689,42.0438
"RPL35",591.2861,435.7414,539.4644,500.3052,631.1227,447.4103,425.0173,546.2293,616.9164,544.523,431.2994,445.3328,560.0207,429.8143
"CTSV",0.8931,14.3753,0.8081,4.7875,0.7042,5.6904,1.2791,0.7342,0.4698,3.8912,1.3067,18.8434,0.9729,1.8091
"LMX1B",0.0504,0.0166,0.0144,0.0289,0.0157,0.0277,0,0.03,0.0197,0,0,0.0154,0.0166,0.0152
"ARPC5L",14.3761,11.3354,12.7887,13.5987,11.3325,13.5644,13.7983,10.3537,11.7326,14.3925,12.5602,16.599,22.6924,14.4882
"ENPP2",79.7069,144.6802,215.5202,234.2724,286.2048,102.2706,209.2911,222.1845,61.9007,308.3125,139.1455,209.5244,124.0981,234.601
"DSCC1",4.9705,10.008,3.8305,6.8498,6.5798,9.2801,4.8874,7.0365,8.1625,8.6559,4.9867,9.1582,3.2939,10.2436
"DERL1",31.3538,24.9029,24.132,26.8153,27.7217,23.9517,22.9058,30.9637,26.3089,25.0796,23.9798,23.2223,32.1993,24.5203
"MYC",59.2809,18.0608,24.8787,54.2258,49.2592,28.8498,44.1245,69.3591,37.5602,36.5808,34.4132,54.0584,227.7609,37.6187
"CCN3",27.9665,18.1963,12.6154,9.8806,5.0005,11.7164,12.096,4.2933,28.0437,12.6627,6.1345,10.3213,11.0891,11.5179
"IL33",133.5926,129.0357,82.9567,107.2989,116.7741,116.2161,91.7048,78.5297,156.204,148.5496,97.8859,111.035,78.2927,184.3956
"DMAC1",32.6964,39.163,52.6507,39.4824,37.491,40.7574,31.1023,38.9422,41.2034,44.7368,36.3984,42.3906,27.9888,47.2238
"RANBP6",38.286,36.1027,38.8027,34.9354,32.4001,40.0727,29.9235,39.8948,40.8258,40.4209,28.4315,40.4736,32.254,43.7927
"POLR1E",84.6474,52.0787,56.2292,56.7342,62.8073,60.5053,43.744,60.7786,67.9451,51.5243,53.6739,64.3471,88.8029,63.3674
"PLAA",36.4109,29.3677,25.6795,27.0026,29.6058,26.5826,24.947,23.7275,28.6928,29.2961,21.6396,30.5857,37.8209,30.6292
"IL11RA",13.3674,16.6045,17.0108,12.5156,14.7306,21.0933,13.1016,16.1511,27.5149,12.0799,19.4116,11.5997,12.9288,19.7011
"UBAP2",26.8623,24.6087,26.2815,24.0958,21.8917,20.1623,19.9061,27.126,28.6608,25.8869,17.2566,23.8491,26.0882,22.2075
"APTX",7.8761,7.9569,9.5039,7.9012,6.6653,7.2783,6.5432,8.0342,8.194,7.9821,6.6983,8.5958,8.973,7.7439
"RNF38",51.5643,53.5232,38.6374,38.7661,42.6077,45.093,36.2925,43.5248,59.4293,37.9202,32.5086,40.0217,34.4609,43.8161
"TLN1",293.8986,274.7809,224.932,162.5054,219.1827,178.861,279.1753,164.6939,274.0804,164.7604,329.6995,187.9931,215.708,299.7767
"CCL21",86.7558,299.6081,86.6104,162.041,90.7197,41.3464,268.2963,30.1781,30.5242,98.136,126.0858,102.6614,7.5178,104.4377
"SIT1",0.9637,1.4306,2.416,1.5874,0.6767,3.7033,3.0533,2.7235,3.2107,2.3785,2.0239,1.547,0.7914,1.4544
"IFNA21",0,0.103,0,0.1789,0,0.3428,0,0,0.1224,0.079,0.0771,0.0955,0,0
"DMRT1",0.0328,0.3242,0,0,0,0,0,0.0292,0.0385,0.0498,0.0486,0.0601,0,0.1483
"DNAJB5",23.9869,7.8235,11.8175,12.6554,12.6356,10.5914,21.8605,7.8623,12.2736,11.2376,27.1268,16.9587,25.4763,22.5891
"SPAG8",4.7371,7.5941,7.7064,7.2006,4.9121,6.061,2.977,7.1977,8.6087,6.9572,4.0048,6.5719,2.4308,5.4595
"DCTN3",25.9007,18.9782,26.8192,24.7827,21.9571,29.7524,19.3514,25.6585,31.8971,22.2016,20.1708,22.4257,23.5886,25.9309
"CD72",1.4861,1.7578,2.3368,2.3364,2.2739,1.97,6.161,2.4262,1.5344,3.9639,1.2091,1.8287,2.7864,1.3786
"TMEM8B",5.7944,6.4043,7.1379,5.8552,4.552,6.4974,3.6194,6.3909,8.8917,3.9265,6.8226,5.6467,4.6164,6.651
"GRHPR",32.9609,30.6063,42.8978,33.6263,34.0658,31.5876,28.0025,32.8254,35.7929,35.2234,36.1625,38.744,32.0628,40.7578
"ALDH1B1",56.3772,48.8586,79.0236,81.2748,135.8583,19.7077,91.2457,42.5036,56.5643,76.6717,108.822,100.199,95.7593,160.5843
"HINT2",0.178,0.5284,0.9562,0.3442,0.2083,0.2198,0.1659,0.3574,0.6802,0.2703,0.2968,0.1633,0,0.2418
"ARHGEF39",3.2278,2.8322,2.4742,2.4309,2.5705,2.6306,2.7288,2.7619,4.3237,2.6408,3.6629,2.8235,1.3282,4.6404
"IGFBPL1",1.554,1.39,1.1559,0.7705,1.539,0.123,1.604,0.3467,0.246,0.817,1.2627,0.8498,0.6185,2.219
"DENND4C",110.3682,80.3444,80.6554,75.4282,79.8704,89.3511,70.0151,98.9459,130.5257,74.9792,66.1396,66.074,74.9769,75.7648
"RPS6",1647.7044,1544.8605,1807.5674,1662.3494,2245.8117,1576.2145,1214.511,1723.9173,1732.0277,1628.0814,1411.4523,1692.1108,2143.902,1581.427
"CNPY3",65.5267,69.8196,67.6221,72.0879,60.0775,58.2484,66.1348,59.6977,68.8876,73.2087,74.4441,69.3767,48.5108,70.9569
"FOXP4",9.7485,8.9375,6.4138,4.8348,3.8606,8.3439,6.2844,8.3874,8.3226,6.0849,16.5312,6.1096,5.6428,11.0799
"PPIL1",45.8724,40.6199,52.7473,41.2119,30.5183,39.7634,25.6484,31.9616,33.5947,51.4406,54.7337,44.2933,36.4184,55.0817
"KLC4",14.4314,14.233,14.7744,13.6305,13.0305,11.2686,10.87,14.9396,16.169,12.5866,10.1065,11.8516,8.2325,14.8426
"KIF13A",63.9129,53.1116,51.8209,46.2629,52.2735,41.2305,44.2161,50.6616,69.3941,39.6002,47.2699,46.4892,42.0082,55.7179
"ZSCAN9",23.9846,18.421,17.6537,19.8729,17.1591,19.3724,16.5956,23.1743,23.4069,21.0505,20.2274,18.9709,20.4389,22.4731
"PIM1",242.9216,22.1373,23.4597,62.8121,50.8125,61.8054,73.3882,96.4565,82.7128,35.8174,93.8015,101.8824,358.8883,33.5996
"GMPR",14.2727,22.1359,21.4492,20.1289,17.983,8.7953,16.4603,25.3903,10.5317,29.2075,10.1893,45.0322,12.0366,14.7893
"CMTR1",47.7488,47.3556,48.4571,49.7348,44.5383,42.4473,41.4089,52.9793,53.5583,46.5699,46.0396,48.4503,44.5899,53.6452
"TFAP2A",0.6093,1.1932,0.1894,0.0669,0.0607,0.2776,0.1353,0.2083,0.2287,1.0436,0.1153,1.2962,0.0511,0.047
"SLC22A7",0.1812,0.2989,0.1817,0.0519,0.1414,0.4975,0.0225,0.0809,0.3907,0,0.403,0.194,0,0.1368
"YIPF3",53.8609,47.1355,63.0946,57.8786,47.546,45.3341,53.6508,51.6946,57.4869,57.2865,45.9476,59.397,37.689,55.2738
"TMEM14B",18.5467,16.1867,20.9837,19.3448,16.2675,18.2437,15.262,16.7499,23.7347,18.9761,15.6018,16.8504,12.7819,18.0172
"TMEM63B",16.9302,18.5667,19.2518,20.6151,11.6129,13.2873,17.1816,15.0451,18.8036,18.1795,14.2635,20.5889,13.1015,15.309
"FRS3",6.2269,5.5353,7.4679,4.5826,4.1546,4.4523,3.836,6.8884,11.0929,5.2386,6.7164,4.036,2.3151,6.5503
"TJAP1",15.619,12.6258,11.6184,12.5406,11.7085,11.1826,12.3628,13.8971,15.1874,24.3954,12.023,12.3696,12.168,13.4993
"CAPN11",1.1414,1.189,0.4131,0.5421,1.4062,0.6431,2.06,1.0186,1.8719,0.3421,1.0242,0.4684,0.7992,1.2511
"TINAG",0,0,0,0,0,0.2439,0.2944,0,0.1741,0,0,0,0,0
"HCRTR2",0.2713,0.1611,0.2332,0.1399,0.254,0,0,0.0969,0.0638,0.4945,0.1207,0.448,0.0535,0.1965
"KIAA0319",0.4583,0.4536,0.4321,0.3812,0.18,0.4505,0.1763,0.2771,0.7997,0.1909,0.2849,0.7052,0.1457,0.3481
"IRF4",5.3455,1.345,1.947,7.9114,2.5789,71.431,25.2749,14.7811,2.6848,6.688,4.0699,2.6262,6.1969,1.1978
"SLC22A23",7.4976,10.7758,8.4562,7.4186,9.9267,5.9972,7.7967,9.3658,9.2515,7.1809,7.7436,8.8159,6.6714,8.9083
"TUBB2A",27.0683,12.1877,12.1576,13.5706,18.4378,17.8724,24.0425,20.6754,22.3665,13.8433,32.9441,15.7143,35.0885,22.3582
"LRRC1",11.0893,14.1812,13.0646,14.3148,9.7317,8.3082,14.4431,10.9254,9.5625,11.5756,6.7695,13.1241,7.1145,8.0334
"GCM1",0,0,0,0,0.0359,0,0.0572,0,0.0451,0.0291,0,0.0703,0.0378,0
"FOXF2",0.2174,0,0.0747,0.411,0,0.3222,1.2641,0.4268,0,0.1321,0.838,0.0798,0.1285,0.6693
"BPHL",7.0798,6.5505,6.6562,5.5143,5.1962,6.7411,4.8794,6.8944,9.6692,5.8527,5.8083,6.7649,3.0526,6.194
"RIPK1",21.7829,17.7816,16.7777,15.1176,18.8942,17.3163,16.3641,16.5871,17.2692,14.8071,16.1701,19.1063,23.999,17.6842
"TUBB2B",3.4065,2.0127,2.2726,5.5495,2.1422,7.1594,2.8806,2.9948,2.5708,2.2395,3.0527,3.0315,1.5032,2.8084
"UQCC2",12.7952,16.3518,19.5745,16.9934,12.8317,14.9534,13.1985,11.683,12.8811,17.7773,21.1087,15.1351,10.9303,22.1234
"HMGA1",10.6704,18.401,21.4931,32.5499,8.8761,8.3343,20.2112,16.0623,9.1546,29.0749,19.2477,45.3267,61.6973,15.4681
"TCF19",12.8193,10.2988,13.7934,11.3287,8.0774,11.3513,6.4311,13.0022,20.749,10.2852,11.8725,11.8698,7.6101,10.7343
"FLOT1",97.8669,79.1075,99.6832,82.3864,92.3875,74.6404,92.0912,82.9833,91.2775,87.3584,85.8388,80.9339,101.2661,96.1659
"IER3",42.3897,9.1404,48.3113,56.3777,19.8084,31.462,40.4875,52.978,14.8515,68.3407,55.7051,46.0525,48.6228,27.1627
"MDC1",11.8842,12.7162,8.4968,8.2192,8.1951,7.6334,7.7444,10.6686,12.6921,7.4856,10.4572,6.964,10.4998,9.3182
"PGBD1",16.3974,10.7507,9.2193,9.1293,10.4287,13.2483,8.9696,10.247,12.2885,9.7638,14.8559,11.415,7.7244,15.8445
"ATAT1",6.1536,9.2005,7.4916,9.6015,3.6351,6.2418,6.0642,6.6233,7.4534,8.9855,6.5192,8.6003,6.2989,7.7965
"TPMT",18.3412,19.5098,22.4401,17.3742,14.0082,10.3631,13.0246,14.7858,17.0806,18.6311,15.2579,20.4163,17.1524,19.5181
"CLPS",0,0,0,0,0,0,0.1322,0,0.2085,2.0199,0,0.1627,0,0
"RNF144B",17.579,23.3938,35.7124,33.8652,25.336,14.5609,46.9203,24.4802,21.3737,34.4315,16.6817,61.6272,17.0811,24.9319
"NRM",14.591,12.6868,11.0639,14.5556,9.7585,9.4407,9.7121,12.0453,20.405,11.0413,15.7987,10.086,10.3741,16.7045
"MTCH1",186.0647,128.4751,185.6938,154.5224,158.4174,206.1666,178.6367,153.3697,161.8285,146.0671,184.4951,157.6367,208.7402,156.9115
"VARS2",0.4284,0.2609,0.3683,0.1275,0.1697,0.19,0.1351,0.5736,0.3488,0.1627,0.5497,0.2116,0.3248,0.5372
"TAF8",11.6507,13.2116,13.1324,11.1477,9.5009,9.821,9.6953,12.1803,11.7292,9.7109,10.1592,11.361,6.0069,12.3586
"FAM8A1",82.5741,81.4982,59.9694,66.2398,80.6524,79.6596,53.4396,67.7983,94.4994,64.0451,42.2547,60.687,55.1349,78.5715
"C6orf52",0.8438,3.6985,5.8028,3.5226,1.4674,2.581,1.6177,2.1517,1.8428,4.9437,2.0553,8.2935,1.4257,2.729
"FGFBP1",0.3944,2.42,11.4587,2.5761,0.4431,5.5862,1.3525,13.0939,1.0203,7.0087,4.5022,5.1373,14.1485,0.6429
"FGFBP2",3.232,1.3328,0.3859,1.1574,0.6725,0.2957,0.3346,0.2404,1.0557,1.909,0.3327,1.2353,0,0.7317
"CPEB2",20.4167,19.1613,13.3363,16.6524,15.6644,12.5263,19.8235,11.4464,12.854,13.4627,12.1974,17.508,9.448,16.0657
"FHDC1",2.412,3.3003,2.4351,2.6156,2.1675,1.0665,4.0428,1.5748,1.6561,5.1757,2.0879,3.4153,0.9732,1.891
"TLR2",8.1562,6.3005,9.9453,9.8011,9.9867,11.9743,16.3705,10.2106,7.8766,10.9588,7.277,9.5468,12.7121,10.3935
"MGARP",6.3557,7.0655,2.3948,4.7141,3.4239,1.2188,1.9472,3.652,6.6545,0.9257,2.1943,5.5106,3.0032,12.1412
"TTC29",0.2559,0.8863,0.7973,1.2095,0.0898,0.9218,0.2146,0.2854,0.2633,0.8987,0.0711,2.9631,0.1891,0.4055
"MYO7A",3.0383,3.6528,2.4539,2.1732,2.5298,2.9638,2.2955,3.6034,3.6926,3.3914,2.1691,2.3849,2.7131,2.4836
"FCHSD2",32.6708,31.891,26.7557,22.8753,28.3648,26.2514,23.7502,26.6916,39.1817,25.0736,26.3864,22.4394,28.6942,26.8431
"ARRB1",12.4694,15.2737,11.3112,9.207,11.3121,12.8864,9.9306,10.1186,19.8585,7.9146,13.2854,8.324,9.0495,12.5406
"SLCO2B1",17.0265,15.3113,12.6747,10.7568,16.389,11.3227,16.512,12.8173,11.5226,10.0247,15.6803,8.6177,12.5904,13.2584
"THAP12",40.881,28.1848,30.8319,29.5503,32.4212,36.1013,22.7619,32.1444,37.952,33.3958,28.4709,32.3819,39.6374,34.8293
"ANKRD42",14.554,10.6544,11.3162,10.6634,10.9225,15.1177,9.0377,14.5104,13.8656,10.0937,8.2492,12.192,15.1992,10.1917
"IL18BP",10.3784,8.9066,9.9553,7.1314,6.9948,6.8536,7.6062,8.7701,11.8206,7.4057,9.4584,7.0825,8.3012,7.9451
"NUMA1",84.6916,65.923,75.9756,76.1933,78.0997,64.5889,66.2841,79.8075,88.2536,62.7014,56.5729,73.289,52.0504,76.9192
"CCDC90B",24.0712,24.4656,22.6037,20.6461,22.3865,25.2392,17.0248,21.5842,28.1522,23.8065,19.2638,19.6221,17.8324,23.5034
"SYTL2",23.9864,10.3611,12.449,8.5015,12.1691,12.5577,14.3534,11.4216,27.415,11.164,18.4819,8.188,12.1276,10.1574
"RAB30",18.2744,16.401,15.2282,11.6421,12.5148,20.0995,8.769,13.6648,28.182,8.6183,7.5375,7.0803,6.4975,14.7375
"CREBZF",84.3722,66.4123,68.7511,73.4256,73.2299,64.3924,62.6934,84.0033,94.478,74.1967,41.8023,63.9153,70.5898,71.8479
"LRRC32",26.8387,21.1925,11.915,16.7197,22.3551,22.8688,22.2175,17.3833,24.1964,13.939,23.3845,11.8601,44.1393,18.0057
"PRCP",25.7674,24.4704,31.2141,31.1263,25.6843,38.4217,25.9579,22.6579,34.0977,28.2031,28.2346,24.7623,17.5798,31.7789
"NARS2",23.4066,23.9695,28.3598,26.9874,26.8641,26.7228,19.091,34.3425,29.5151,31.7442,24.4815,30.171,35.1197,28.6185
"RNF121",27.3793,25.5065,27.6214,26.9693,19.9562,26.3267,21.8046,25.8398,25.9102,23.1833,24.0626,27.9122,22.8793,26.2478
"MRPL15",34.7407,40.9847,44.38,42.204,20.5415,36.7752,31.8138,33.7407,42.1233,50.3928,37.9597,48.077,32.6982,48.6578
"PI15",25.5288,8.8686,23.7993,20.0985,68.6438,76.282,66.8052,14.1219,29.6515,31.3025,17.7981,18.3244,37.2628,47.6498
"TTPA",0.4765,0.3536,0.1365,0.4777,0.1859,0.2289,0.0592,0.0709,0.2334,0.1508,0.0589,0.1821,0.0391,0.036
"GGH",2.5791,1.5593,1.5958,2.898,2.086,2.347,1.1072,1.9614,2.1477,2.9189,1.1158,2.6512,1.6022,1.872
"SLCO5A1",1.0864,0.7026,0.3144,0.6471,0.1309,0.5315,0.7137,0.6528,0.683,1.0456,0.3588,1.184,0.4664,0.526
"SULF1",65.4952,89.6435,43.2791,24.8321,41.7032,21.1898,64.8054,27.704,81.6145,32.0714,81.4884,25.5543,46.2371,106.0956
"TGS1",44.6167,33.8914,34.8977,32.7847,33.5301,36.9527,25.3729,38.9642,45.0478,34.451,30.0252,34.7128,48.2076,31.2639
"SDCBP",132.1983,110.5215,106.942,114.4615,139.8855,143.0322,129.2539,114.7972,133.7565,107.6635,82.5488,112.0157,136.7945,121.9724
"NEK1",29.2119,25.9056,22.4453,22.7272,24.4973,32.4067,18.8009,26.8335,32.73,21.8939,18.9777,21.9166,33.3908,28.4045
