"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"ZFP37",7.9301,10.5323,8.5975,7.0496,6.9198,7.7499,4.981,8.2386,5.666
"SLC31A2",1.5154,11.1377,3.8815,2.1671,3.0979,1.4632,2.2677,2.5396,1.6305
"SLC31A1",17.0221,17.4841,26.0863,17.708,20.7023,17.7626,19.7041,22.883,19.5617
"TLR4",11.1781,12.0609,21.0577,35.3612,20.8284,13.9412,28.3069,28.3742,11.0156
"ZNF189",60.5471,97.3873,84.1101,60.264,91.639,70.8893,40.1362,90.2323,61.6814
"ALDOB",1.6963,5.3664,4.5188,2.7219,5.4756,3.3747,3.0719,4.3081,1.5493
"STX17",17.3385,25.6783,21.7748,24.0438,27.3418,20.6965,21.1244,29.3357,17.1018
"PRPF4",23.9017,23.9095,24.2522,16.9618,20.8645,18.1655,10.4285,22.3597,24.5321
"FPGS",11.5443,16.3987,18.2152,13.9389,14.0193,14.421,18.6122,13.4043,9.8835
"USP20",37.4655,46.975,38.8374,37.5741,42.9372,41.651,41.4095,42.4175,37.2172
"BAAT",2.0387,2.7234,4.1102,1.8933,2.9756,3.2142,1.1482,2.8333,1.5309
"KIF12",2.8914,3.6193,3.7599,4.2001,3.2967,5.5925,1.6483,2.5596,3.4281
"ATP6V1G1",61.1422,45.4577,61.273,39.314,45.492,47.8806,27.0199,53.6406,58.497
"TEX10",11.8799,20.048,14.3574,14.8702,18.8988,13.9222,12.6615,16.9258,13.2627
"GARNL3",29.7636,43.4461,30.6665,31.852,37.42,37.983,26.8137,30.436,24.4212
"MRPL50",49.9815,39.8329,46.5053,40.8826,42.67,43.3865,24.6992,60.5,46.6833
"DPM2",19.0125,17.0331,19.1751,19.6763,17.2784,17.3847,16.4768,18.2448,15.8705
"WDR38",0.6662,1.4788,0.7482,0.9993,0.8018,0.5351,1.7418,0.6907,0.3143
"TSTD2",11.7561,18.8175,13.9604,13.8732,16.2196,13.6519,12.0711,16.3017,11.0174
"GABBR2",189.0466,149.8996,174.699,153.2177,148.369,152.9113,107.6167,132.9927,169.944
"HEMGN",0.2342,0.4679,0.5523,0.6323,0.9583,0.4233,0.7872,0.2428,0.1989
"PSMB7",133.6509,107.5046,122.5589,92.4529,122.7358,100.9272,65.6261,133.5379,140.1285
"NR5A1",2.9941,3.7357,0.3295,0.1354,0.1811,31.3256,7.6367,0.0312,0.1118
