"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TSPAN6",6.3943,5.0386,7.7022,5.113,6.3744,6.0954,6.2579,8.7769,6.3068
"TNMD",0.4521,0.2978,0.1758,0.6886,0.7534,0.88,0.8184,0.7212,0.3323
"DPM1",61.5433,58.9915,64.6257,44.325,61.629,42.5083,28.5214,76.4636,62.7979
"SCYL3",6.3918,9.9829,9.7497,8.6051,10.2866,7.7643,5.9291,11.197,6.848
"C1orf112",1.8488,6.0125,3.2303,3.6372,4.2223,2.844,2.7314,4.529,1.6703
"FGR",2.1251,5.8482,6.367,4.3168,5.0054,3.8681,9.6688,5.1619,2.8035
"CFH",4.0464,8.3902,6.7297,6.5075,12.4494,6.6737,19.948,15.5272,7.3816
"FUCA2",8.1315,14.6923,15.7818,10.6415,10.3336,8.8769,10.8231,12.6366,8.9595
"GCLC",15.6962,25.4493,23.9927,17.7233,19.0839,14.4909,10.6923,19.0961,18.3744
"NFYA",23.9638,48.0158,33.3114,26.9372,29.9915,31.2352,34.661,32.5688,22.6915
"STPG1",10.278,9.2439,6.1269,7.3717,8.2464,6.9005,6.0013,8.9552,7.5421
"NIPAL3",58.0996,81.4088,71.6785,43.4667,71.8298,40.5544,32.1021,67.2615,64.7849
"LAS1L",8.3536,17.3172,12.5705,15.8602,13.7787,16.4795,16.383,12.3449,6.3106
"ENPP4",54.7625,64.2943,52.1214,48.1704,54.1994,37.4598,30.0973,59.7803,61.2027
"SEMA3F",3.0316,5.2519,3.6018,4.2505,6.7083,6.6519,12.3,5.0953,2.326
"CFTR",0.6816,3.4925,1.9832,1.5335,2.1253,0.8586,0.7203,1.2956,0.8112
"ANKIB1",61.8474,86.132,80.8135,65.3149,76.0722,62.8455,61.6178,76.4406,62.876
"CYP51A1",6.6043,6.3934,4.7785,3.5086,4.7969,5.6788,4.3274,4.042,8.1837
"KRIT1",4.3607,8.7848,4.7393,5.7937,6.8514,6.0119,3.8383,7.3094,4.1369
"RAD52",9.7473,33.8045,11.4843,20.9098,18.4401,25.4461,27.8783,14.5384,6.8371
"BAD",23.8344,17.1555,19.5943,17.3117,11.6475,21.0766,21.8728,10.5951,23.7999
"LAP3",31.5745,31.9724,43.2504,29.3682,34.9965,33.999,58.1044,40.5548,30.6503
"HS3ST1",3.8666,3.4878,3.9546,3.9769,4.321,4.143,2.7386,5.3117,3.6865
"AOC1",0,0.0774,0.0457,0.0244,0.1305,0.098,0.0228,0.0843,0.0432
"WNT16",1.1009,1.7057,1.8811,2.8026,1.3629,1.8476,1.7182,4.9246,2.571
"HECW1",59.6872,63.8074,57.05,51.9728,65.7861,59.1304,38.9943,63.7932,51.3745
"MAD1L1",0.8307,1.8643,0.8971,1.3291,1.4698,1.5656,2.4583,0.9865,0.6406
"LASP1",48.6748,44.7346,51.7447,48.0392,46.8291,42.4154,56.1712,50.8955,48.5488
"SNX11",16.2838,16.7316,16.1113,12.967,16.5032,14.5692,13.8614,16.6641,15.0697
"TMEM176A",2.82,3.7923,4.3276,3.561,5.153,5.9239,9.1564,6.9803,3.0403
"M6PR",40.3526,40.3356,42.7445,32.0118,40.3267,27.2777,21.9969,46.9446,40.3857
"KLHL13",5.0284,4.9724,3.2694,3.4933,4.6715,3.9063,1.7916,4.5885,5.2439
"CYP26B1",14.1672,14.5777,29.0042,23.0681,18.7011,12.9134,23.2945,16.0894,20.8837
"ICA1",54.7735,56.9769,57.0971,48.4808,52.66,52.0619,27.0163,51.5787,46.3782
"DBNDD1",60.4247,32.1779,30.9127,39.0355,28.8835,50.6736,35.6176,24.7157,45.8448
"ALS2",37.0927,59.2179,33.148,40.9423,50.4654,43.3591,29.0958,53.7753,35.2432
"CASP10",2.1466,2.8602,2.1103,2.718,3.8466,1.6155,6.9993,2.373,2.2139
"CFLAR",5.2206,14.2343,9.3753,9.294,12.0767,8.9771,20.2849,9.7267,5.156
"TFPI",0.6486,1.3383,1.0483,1.2542,1.5823,2.3207,3.1966,1.6539,0.7303
"NDUFAF7",22.0332,35.6338,20.9859,24.9035,30.6628,28.6651,17.1802,31.6928,19.283
"RBM5",22.508,61.8736,25.3581,35.74,39.7408,38.0545,36.4876,38.265,20.1875
"MTMR7",30.9585,30.177,32.941,20.6329,33.1742,23.0478,10.76,31.4677,32.3187
"SLC7A2",9.0203,29.6352,17.8535,26.0196,16.6629,30.1169,38.1025,17.9099,9.0577
"ARF5",116.4547,74.6587,115.383,55.3395,80.7066,64.2599,34.3225,81.1931,114.9835
"SARM1",3.2406,6.9131,4.7736,4.9258,4.9738,5.9069,6.5185,4.5149,3.2778
"POLDIP2",81.8487,82.1431,94.7372,66.1344,81.9602,66.3362,63.2713,68.8133,84.0223
"PLXND1",30.752,38.6007,20.9567,25.3216,31.7802,35.1628,35.0551,17.309,26.2563
"AK2",9.8725,21.1428,14.2947,17.4434,17.2542,18.5368,19.8106,17.6955,10.0547
"CD38",3.0995,2.2221,5.9149,7.937,4.6312,3.748,9.1853,6.07,3.6396
"FKBP4",71.9674,83.9376,45.0731,52.026,65.3366,54.2522,60.895,75.7701,62.0056
"KDM1A",60.4233,69.5912,66.3846,55.8654,67.7564,59.8979,41.0618,68.9377,59.9301
"RBM6",37.2411,96.1463,40.4725,72.2854,61.3001,62.5781,74.4111,52.634,33.8563
"CAMKK1",106.8567,107.4811,93.8309,72.8594,100.1088,82.6822,52.4662,88.6767,70.4579
"RECQL",9.6721,13.259,14.1193,11.7855,12.9483,10.8027,10.8905,15.9716,11.9104
"VPS50",31.8089,31.6803,25.3943,25.3067,34.9405,24.3234,15.1094,39.0763,35.0523
"HSPB6",2.1142,2.4645,1.6553,1.1255,0.3584,2.5832,4.1538,0.9262,1.0746
"ARHGAP33",17.7723,22.004,26.338,22.3274,16.2326,25.3117,35.8402,18.578,14.8141
"NDUFAB1",124.0281,88.3968,97.4274,63.8094,83.5741,79.115,35.5037,96.7533,132.9187
"PDK4",14.0428,65.9994,62.6509,44.9602,28.172,28.1771,61.6143,182.1164,18.3955
"SLC22A16",0.0394,0.1125,0.0443,0.0473,0.2846,0.0712,0.0662,0.109,0.0139
"ZMYND10",1.4393,2.3835,0.9878,1.7911,0.9837,1.67,1.4634,1.916,1.5278
"ABCB5",0.0555,0.0791,0.0093,0.0898,0.0534,0.0301,0.0652,0.0115,0.0118
"ARX",8.3581,6.2574,13.5799,7.7743,6.7854,10.0706,12.9668,7.6572,9.6593
"SLC25A13",8.4406,21.9564,14.4519,11.8553,15.1209,10.0033,10,12.3091,9.0623
"ST7",9.5261,16.3659,12.6417,13.7483,15.9616,12.4826,11.2245,16.9803,8.3498
"CDC27",65.0498,65.7181,76.5807,53.8781,76.2142,52.1821,28.2329,74.8452,73.0167
"SLC4A1",0.1202,0.3145,0.7087,0.1983,0.3858,0.2353,0.5387,0.0623,0.0532
"CALCR",0.4864,0.2082,0,0.0657,0.2927,0.0879,0.0409,0.1513,0.3743
"HCCS",28.33,21.6354,24.6922,19.2848,24.9978,18.6907,12.0415,23.3979,29.4666
"DVL2",11.8571,21.2837,15.1796,19.6229,17.8346,17.2623,21.1603,14.484,10.3636
"PRSS22",0.0431,0.0615,0,0,0,0,0.0362,0,0.0229
"UPF1",36.5871,48.4827,36.4352,34.932,42.2742,41.6337,49.193,44.8619,30.9162
"SKAP2",30.1254,27.4104,24.8901,20.2176,30.7703,25.631,9.5115,34.0733,33.9286
"SLC25A5",217.6568,142.0795,183.5781,146.1781,170.9251,121.9569,94.9346,127.7391,218.5598
"MCUB",2.0505,3.2557,2.7975,2.9111,3.2325,1.853,3.422,5.1802,4.0926
"HOXA11",0,0,0,0,0,0,0.0323,0.0399,0
"POLR2J",22.8453,22.1654,28.4644,18.6166,24.1659,19.9255,23.8143,23.8038,21.5551
"DHX33",19.5801,25.0043,22.4075,19.7604,21.8784,18.8157,16.9905,21.9923,16.143
"MEOX1",0.2112,1.3697,0.9379,1.0712,0.9242,1.1797,1.7101,0.836,0.1426
"THSD7A",23.4985,12.5432,15.4965,19.993,18.9064,19.1491,12.2217,14.4551,18.641
"LIG3",10.4295,15.3197,10.2894,11.6245,13.4474,11.4492,10.7473,14.2169,9.4697
"RPAP3",23.672,29.1099,24.521,22.3317,28.1544,23.6547,14.9658,28.4727,24.6585
"ACSM3",0.1162,0.3512,0.2764,0.3568,0.3784,0.1606,0.1264,0.241,0.1306
"REXO5",4.508,4.134,4.712,4.1582,3.9976,4.4235,2.8123,4.4537,3.8704
"CIAPIN1",41.3963,34.9055,34.5605,30.072,42.0041,30.4697,19.6633,39.3324,43.4897
"SPPL2B",9.9779,18.2073,13.7777,14.0738,14.2402,14.4067,20.3748,9.6563,9.9375
"FAM214B",13.6412,13.5591,22.2469,15.7408,15.6419,14.7866,17.4453,13.0745,13.6505
"COPZ2",3.5764,6.7522,5.8394,4.8528,4.3705,4.8727,6.7044,6.2751,4.7015
"PRKAR2B",101.3103,98.6916,114.4383,66.992,98.3128,78.4127,26.1347,117.7636,97.6798
"MSL3",11.5164,13.0179,10.7876,9.7598,12.7482,10.1793,9.8189,11.2,10.9372
"CREBBP",31.533,49.7856,37.5321,36.5868,34.6212,38.2354,47.9359,32.3426,26.2053
"TSPOAP1",70.4339,73.9421,81.7171,85.8458,81.1326,98.1652,111.2862,66.2866,63.8735
"MPO",1.7757,1.2046,5.0754,2.1221,1.7867,1.6836,0.8562,2.2032,1.9312
"PON1",0.8694,2.0402,1.3344,1.7736,2.6973,2.165,2.1107,1.9631,0.6768
"GCFC2",13.4119,25.8843,23.4007,21.9415,27.9843,21.7258,21.088,24.5952,15.224
"WDR54",15.0299,18.596,20.5279,9.7196,13.7776,11.9391,6.5345,12.7276,18.6668
"CROT",11.4696,10.7351,11.3919,9.2309,11.7752,8.6558,7.8247,12.0834,10.3527
"ABCB4",0.7041,0.8342,0.9288,0.6337,1.0713,0.8404,0.6922,0.7025,0.5993
"KMT2E",56.8774,96.5723,83.8617,68.3188,71.737,71.1729,61.1385,76.4479,51.6101
"RHBDD2",193.5721,153.8025,189.7812,121.6681,201.5817,128.8055,114.0399,201.5856,231.6895
"SOX8",21.0166,50.8352,43.1616,17.9841,22.004,18.9504,27.2541,14.1218,27.8063
"IBTK",39.1244,56.6102,42.51,41.2038,50.6505,40.1598,30.2209,51.8267,40.8167
"ZNF195",9.6175,17.3267,13.0112,13.5079,14.8877,11.6381,9.4449,14.1163,8.7941
"MYCBP2",195.6164,194.5281,177.2077,145.5809,202.085,160.0718,82.9114,212.1462,185.294
"FBXL3",28.6351,33.397,38.656,24.5759,28.8656,23.8113,20.0212,34.2846,32.4282
"ITGAL",0.229,1.2328,0.7364,0.4309,1.0648,0.8653,3.2976,1.1223,0.5911
"PDK2",25.8602,23.1906,28.8471,20.5542,28.0963,20.2485,21.0533,27.5122,23.6948
"ITGA3",13.774,17.8613,13.569,13.8479,15.6568,14.2171,17.3491,11.7722,10.4346
"ZFX",21.9272,30.6893,26.7271,37.5351,40.4865,23.7161,32.0312,40.0495,22.678
"LAMP2",58.8363,162.4765,116.9623,60.8115,79.2977,39.5135,53.4152,74.0753,66.7579
"ITGA2B",1.8028,5.9941,2.1259,5.5814,5.0988,5.4088,4.045,2.6916,1.1578
"ASB4",2.1734,1.2405,3.3044,1.1234,1.7974,1.5712,1.7608,1.7564,1.3605
"GDE1",58.235,61.5066,65.3608,38.3076,58.9397,42.9241,32.959,56.9104,60.9455
"REX1BD",20.3302,26.1637,24.7556,19.3793,18.6209,24.3029,26.3879,19.1047,23.0346
"CRLF1",32.0091,15.0606,21.4228,18.4055,36.8988,16.2608,33.616,32.0388,25.5283
"OSBPL7",8.8502,16.5635,6.9872,11.5712,10.623,13.2846,16.4235,9.2001,6.2683
"TMEM98",7.2644,46.5763,12.2706,5.8252,12.4113,4.6328,8.9489,7.9421,7.7844
"YBX2",1.6295,1.4553,0.915,2.0751,1.4408,3.0653,1.6581,1.0804,1.1767
"KRT33A",0,0.1124,0.0664,0,0,0,0,0,0
"MAP3K14",4.0032,6.126,4.2873,5.7221,5.5373,7.2843,12.7714,6.423,3.8551
"ABCC8",15.7661,26.6526,16.4396,25.1189,21.2617,20.726,24.6404,15.5513,12.5103
"CACNG3",105.3761,70.1586,88.914,72.9762,72.4503,80.5355,41.5417,64.8025,101.8473
"TMEM132A",58.5555,53.2133,44.5943,51.1294,53.8665,54.9743,77.4068,47.649,61.8474
"AP2B1",213.0253,201.3589,236.1029,164.2553,226.1806,175.1716,135.039,235.8123,214.9133
"TAC1",31.4251,10.6115,20.7103,11.0104,15.4456,18.7512,4.5861,14.985,40.9319
"ZNF263",17.1253,21.8972,22.1766,17.1584,20.2243,18.0547,14.418,20.3156,18.2715
"CX3CL1",57.6149,45.7714,47.1857,51.5803,50.048,38.1707,55.3865,48.6702,55.963
"SPATA20",30.8957,30.471,36.1662,30.6965,24.7964,30.9963,30.6188,34.5058,35.6024
"CACNA1G",25.4638,21.1273,17.5844,17.0899,23.4923,25.4035,31.0748,15.3506,17.1618
"TNFRSF12A",0.5701,3.4166,0.6722,0.9748,2.4699,1.2364,4.2636,0.5911,0.5144
"DLX6",2.5631,1.9137,2.0835,1.9848,1.7575,2.774,1.7782,1.9776,1.8981
"MAP3K9",55.6669,44.759,53.0486,53.1236,48.4544,52.4727,32.8788,45.1975,52.3749
"RALA",32.1153,34.6723,37.0171,26.747,28.5177,27.816,24.5168,32.6873,35.2311
"BAIAP2L1",0.6602,2.3096,1.0942,1.6483,1.871,1.7321,2.5592,1.2365,0.4747
"KDM7A",18.2396,24.0899,14.8372,17.893,25.3507,18.5402,14.8582,22.7133,19.4652
"ETV1",14.2875,10.1176,18.6807,20.9212,14.3549,12.7374,14.9227,19.8174,25.9789
"AGK",17.8142,24.7353,20.4938,16.8356,21.6819,15.6903,11.542,21.3356,17.7782
"ALDH3B1",0.7515,2.4764,2.5059,1.9105,1.7903,0.8962,2.461,0.7229,1.2582
"TTC22",0.4284,0.4795,0.3255,0.1966,0.364,0.3037,0.4518,0.4877,0.3656
"PHTF2",11.7622,18.7413,17.2436,14.7803,20.0082,16.4506,9.8194,18.7019,12.7121
"CCL26",0.146,0.2084,0,0,0,0,0.4909,0.1514,0
"FARP2",7.2622,18.5645,10.7533,12.8337,12.39,11.8211,15.5015,12.0886,7.4394
"USH1C",3.287,1.5535,3.7737,1.9407,3.1748,1.4757,2.3927,1.8668,2.089
"GGCT",29.3071,17.2795,21.2126,16.2311,21.2402,22.5257,8.5521,24.8426,37.125
"DBF4",4.2454,7.2696,5.2884,4.9066,5.5665,4.6844,3.6802,5.0271,4.8384
"TBXA2R",0.3995,1.4511,0.3671,0.4576,0.3934,0.5251,1.0377,0.6025,0.5012
"IFRD1",3.8005,8.2876,3.6333,5.7181,6.1141,4.6026,6.8678,7.6382,2.9928
"LGALS14",0.0568,0,0,0,0,0,0.2863,0,0.1206
"COX10",6.7855,8.9345,9.4209,7.618,7.8097,8.3497,8.2627,7.2951,6.4283
"GTF2IRD1",9.4551,13.9993,11.0044,12.4974,11.9211,12.6058,16.2097,9.0578,7.0765
"PAF1",48.7059,53.6681,45.6968,33.3293,41.145,34.3124,30.0311,41.758,50.3994
"VPS41",80.1624,94.629,76.9735,71.9709,102.2855,73.5947,42.6053,113.2054,99.4222
"ARHGAP44",33.9338,33.7744,31.4853,32.2046,33.8008,31.0429,26.8129,31.6881,37.8082
"ELAC2",26.9362,28.8119,27.5786,23.582,29.3648,24.7255,20.1096,27.076,24.8875
"SCIN",0.6535,1.8399,0.9967,0.3497,3.2948,1.5562,1.9666,2.7377,1.1671
"ARSD",4.0551,3.5032,5.5387,7.0623,4.7309,5.084,7.282,4.7119,3.5598
"PNPLA4",9.8277,7.13,12.2453,10.5106,12.9687,8.9217,9.3336,15.635,10.8311
"MYH13",0.0587,0.0958,0.0848,0.151,0.1413,0.1213,0.0564,0.2609,0.1514
"ADIPOR2",27.0017,96.7338,62.3187,32.5488,42.8271,33.6689,48.814,47.1911,35.7168
"CDKL3",2.2334,4.4664,3.0758,3.6972,3.5316,3.7124,3.5071,3.7523,1.8689
"UPP2",4.3228,6.5896,5.3811,8.4995,11.1154,9.915,8.0823,13.7157,4.4411
"PRSS21",0.261,0.0745,0.1319,0,0.691,0.2358,0.307,0,0.1108
"MARK4",25.2205,24.7188,31.4418,28.0424,23.2613,27.0702,35.1934,25.4288,22.1779
"PROM1",3.6899,3.949,2.1338,4.1634,4.3083,2.899,3.2628,2.6409,3.4929
"CCDC124",36.5315,32.5475,37.0694,26.2017,25.2189,34.2969,38.3347,27.6858,35.4307
"CEACAM21",0.4934,0.5928,1.5747,0.9348,0.9375,0.3754,0.8292,0.7,0.3859
"PAFAH1B1",142.2347,142.5182,144.8417,111.3767,141.43,108.2291,52.7849,149.6211,158.8079
"NOS2",18.8935,11.9231,10.2225,7.9819,10.7863,8.1834,3.1774,5.6867,8.51
"DNAH9",2.9212,4.5489,3.364,3.3162,4.1356,4.354,4.2933,4.078,2.1904
"KIAA0100",68.1344,83.0454,44.719,66.5985,71.5799,75.3639,75.8306,63.7981,68.6922
"SLC13A2",0.0477,0.0908,0.0268,0,0,0.0288,0.0267,0.099,0.0169
"GAS7",321.0731,348.8032,406.5778,272.2643,318.2671,272.669,147.4846,324.1893,334.3275
"TRAPPC6A",18.0473,16.645,30.1236,18.7179,17.6143,17.8003,21.5466,19.1677,21.8431
"MATK",42.7136,33.2811,34.3989,34.2318,30.5777,41.166,32.0262,27.2426,40.3481
"CEACAM7",0,0,0,0,0,0.0699,0,0.0401,0.0205
"CD79B",0.0498,0.2842,0.0839,0.1792,0.1798,0.135,0.4603,0.1032,0.0793
"SCN4A",0.1059,0.1066,0.1888,0.1681,0.1049,0.0338,0.0523,0.0775,0.0992
"ST7L",9.0097,12.2692,9.7272,10.6897,11.2623,11.5918,9.8006,11.5666,7.7691
"TKTL1",0.0874,0.0831,0.0981,0,0.2804,0.3947,0.7096,0.1811,0.0155
"PAX6",2.8231,2.2148,2.8576,4.3606,3.9933,3.8391,8.5071,2.8161,2.3128
"RPUSD1",16.7782,14.0211,19.2069,13.2478,14.9938,13.3692,17.4178,10.4181,18.0456
"RHBDF1",4.2101,8.1989,8.2888,5.6599,6.563,9.1383,10.9561,6.4987,4.4467
"LUC7L",25.4102,63.7413,27.1224,43.8367,47.3173,49.9806,40.8344,39.9357,20.2047
"CACNA2D2",12.0057,14.8129,12.7299,13.3036,15.9108,13.0161,15.6437,12.4147,11.2114
"BAIAP3",100.8563,118.2326,81.028,74.523,64.2199,101.3916,58.9646,62.9914,114.8334
"TSR3",45.2688,40.1988,46.3837,33.4477,39.214,33.4316,44.423,35.7177,49.2671
"PIGQ",13.0104,15.628,11.5143,15.7256,16.9713,15.6602,25.1281,11.9376,12.0482
"CRAMP1",6.6708,8.982,7.0422,6.6538,6.9861,7.9224,8.7825,7.715,5.3566
"TEAD3",1.6163,3.9402,1.7018,2.0911,3.1611,4.3515,7.0178,3.1771,1.4119
"SELE",0.2239,0.8945,1.6594,0.9268,1.2664,0.5867,4.7598,0.6731,0.1307
"DNAJC11",27.5615,30.2642,29.2457,27.9403,27.7857,28.4748,21.4891,29.7589,25.6
"FMO3",1.1643,1.6615,1.1316,2.1764,1.1857,1.7806,2.1074,1.1762,0.618
"MYLIP",22.1753,25.0856,25.7576,18.4081,24.174,17.0641,11.2623,20.3058,24.0882
"NOX1",0.6864,0.9218,0.6121,0.9811,1.069,0.9121,0.5428,1.0465,0.6643
"E2F2",0.0564,0.0536,0.1425,0.0338,0.0226,0.0679,0.1896,0.1949,0.0499
"PSMB1",110.6529,122.673,145.9097,99.2303,120.8922,104.0695,74.8088,120.8408,120.9411
"SYN1",63.2861,81.4368,106.8408,82.8962,64.9768,79.3343,113.7829,74.8253,65.7162
"JARID2",20.8089,36.8381,29.9986,27.3326,26.874,31.2784,36.3825,25.8963,17.7593
"CDKL5",72.9438,76.606,84.6945,67.2983,83.5504,69.1422,35.2478,79.4292,93.1718
"CAMK1G",78.6387,65.5499,95.9106,62.6929,68.9113,49.8471,40.5988,90.1045,62.7105
"CDK11A",0.6158,1.6999,1.1054,1.4537,1.3365,1.3867,1.6798,0.7746,0.6858
"NADK",18.1749,21.0161,15.6965,16.2905,19.3667,19.2057,24.1488,17.6587,16.768
"TFAP2B",0.0417,0.0238,0.0281,0.015,0,0.0151,0,0,0.0266
"TFAP2D",0.2563,0.399,1.2169,0.3355,1.1218,0.2948,0.235,0.6282,0.1731
"DLEC1",0.8743,1.1597,1.5557,1.219,2.2526,1.8026,2.0178,2.3619,0.4117
"CYTH3",40.2872,45.3296,38.2361,39.0096,41.4437,39.0578,46.2294,40.9998,36.318
"ADAM22",97.8867,93.3763,80.1759,71.1699,103.4081,72.4431,32.5836,96.327,89.7836
"SYPL1",20.8995,31.4284,31.1047,21.6477,23.1324,17.5693,32.1492,24.6329,21.4401
"CYB561",41.0123,35.963,26.6651,38.2272,43.7704,29.1866,19.3704,32.7026,32.174
"SPAG9",122.9981,164.1999,121.1603,108.1849,134.9447,112.3273,100.1157,115.8256,111.1861
"CELSR3",32.5991,39.6787,32.6743,37.3007,32.0377,36.0403,35.9257,29.4676,26.679
"AASS",11.8171,33.5271,25.6423,24.168,22.1764,20.8979,30.6586,27.6187,12.1673
"PLEKHG6",0.0362,0.4471,0.2233,0.3254,0.3191,0.5009,1.7215,0.4248,0.0895
"SS18L2",12.6775,11.371,11.2327,7.8828,11.6907,8.2425,6.06,11.9491,12.8625
"MPND",13.7296,13.0849,10.9733,12.8523,11.0961,12.7692,19.3275,10.6501,13.031
"MGST1",4.1463,6.399,7.8215,16.0066,9.6813,10.5486,21.2422,21.101,4.9504
"CRY1",11.3364,18.2599,13.0205,12.3472,11.8345,11.1561,12.4673,11.4419,9.3667
"PGLYRP1",6.5257,20.9001,6.5958,19.8376,15.5329,15.9876,19.4981,8.8708,4.387
"NFIX",113.1938,109.3287,121.8621,98.4464,93.9363,94.597,143.5302,90.85,89.3958
"ST3GAL1",12.9731,19.4141,16.432,15.95,17.2114,12.4937,22.7004,17.8939,13.3027
"MMP25",0.6529,1.0351,1.5683,0.9358,0.6402,1.8574,3.5763,0.9777,0.5005
"IL32",0.8479,1.2327,0.4312,1.6989,1.2322,1.5035,7.6627,0.3649,0.6453
"PKD1",47.4053,87.7829,54.7311,78.1676,74.3364,98.7124,121.095,47.1308,35.9981
"MAPK8IP2",148.3268,143.9534,176.3596,133.1069,141.9303,130.0655,147.5515,147.3899,164.3197
"MED24",21.546,33.3546,31.7989,26.9293,26.9777,26.8,32.4321,26.727,24.2791
"RHOBTB2",75.6796,47.979,63.4817,56.0753,50.5026,61.1331,56.6667,47.3877,65.8409
"HEATR5B",51.8467,56.1453,49.8629,40.6148,58.3027,41.4234,23.9838,58.1607,54.0015
"SEC62",108.1559,92.2511,136.4254,88.1937,108.3065,83.3244,70.0854,122.7631,118.2541
"RPS20",99.2035,106.5511,126.7961,102.0306,113.5557,102.1338,101.5197,118.235,100.2425
"CSDE1",315.8506,297.9092,353.2607,234.3933,329.571,228.5948,184.4591,342.2479,333.9532
"UBE3C",43.8317,51.1942,47.5887,38.7955,50.0429,40.042,31.2627,45.537,46.9811
"REV3L",26.4632,45.6798,31.6402,48.9039,43.1508,45.4829,48.219,46.4522,23.4059
"TENM1",12.5115,15.3597,13.7938,14.0508,16.1451,14.7487,9.5003,20.0418,18.3806
"PAX7",4.1795,3.2592,3.5938,2.3411,3.7033,2.5227,2.6925,3.4699,3.0474
"MASP2",3.3524,8.7416,5.8505,6.5985,7.1115,6.2115,5.1074,7.7018,2.8417
"IYD",0.0099,0,0.0417,0,0.0119,0,0.0167,0.0308,0.0053
"FAM76A",12.3454,17.2362,17.4837,15.4154,14.4454,12.1078,10.513,15.2334,15.5419
"TRAF3IP3",1.0002,2.3252,1.5399,2.0269,2.2959,1.5324,2.7609,1.5384,0.6539
"POMT2",7.3564,15.68,9.4368,10.3879,11.4712,9.5868,12.5103,8.5951,7.1388
"VTA1",31.2767,23.3548,28.548,20.204,28.6866,21.3863,9.3197,31.4596,32.9439
"MLXIPL",9.5208,17.7087,14.7812,21.6275,17.6302,22.0052,29.0464,13.5079,5.7377
"BAZ1B",72.9898,91.2249,77.1565,65.3091,79.2672,63.7372,66.6401,87.5417,71.0776
"RANBP9",85.4602,86.6574,89.1073,65.968,85.8262,72.7523,49.7929,96.181,86.1043
"ETV7",1.4488,0.9257,1.6392,1.2066,1.1971,0.7816,6.251,0.8071,0.6427
"SPRTN",5.5543,8.98,7.4383,6.4459,9.2475,6.3309,4.8063,7.8765,5.8311
"EEF1AKNMT",29.0514,31.2443,25.3949,20.5738,28.0287,24.0246,17.4765,26.0913,29.0448
"DYRK4",4.6649,6.9993,5.1612,4.9777,9.1964,5.6426,4.5133,6.987,4.8975
"ZNF207",21.7409,45.7455,30.0032,34.2021,41.5894,32.9582,28.1724,41.9525,20.8759
"UQCRC1",146.8131,120.8094,128.0976,88.4502,128.0387,93.3595,52.8338,111.001,150.6157
"STARD3NL",28.2916,24.802,27.2194,21.1343,26.2904,20.1267,19.4148,28.0894,28.4301
"CD9",12.6116,25.2851,38.8253,10.3672,13.0794,8.6111,13.8248,10.2815,14.8637
"HHATL",26.6811,54.1795,14.7923,32.5708,26.3132,20.6892,41.3171,16.8446,20.5096
"NCAPD2",10.8781,20.3345,13.0051,12.2678,12.7958,11.4577,15.8289,10.7601,10.2413
"IFFO1",23.9394,33.8938,23.5563,27.3747,33.2589,31.5772,32.0689,25.3153,21.3556
"GIPR",0.395,18.4688,0.2388,0.4557,1.1213,0.2746,0.4936,0.252,0.3655
"PHF7",5.6463,9.8427,11.5167,8.2403,5.069,7.4191,5.9503,7.3413,4.4707
"SEMA3G",13.9859,5.9799,4.3008,7.1402,28.3022,4.7429,4.5473,6.8337,15.3097
"NISCH",100.4168,141.4312,109.8964,126.5699,162.8081,134.7168,120.5735,157.0779,97.6894
"STAB1",5.057,7.4721,4.729,3.9882,13.2108,13.8189,7.6435,17.2623,5.7332
"FUZ",14.0986,20.7383,9.9275,14.4563,14.0177,14.8926,18.4946,14.5273,12.6217
"SLC6A13",4.9727,8.3216,4.6877,7.9923,4.1936,8.2219,17.752,5.5445,7.012
"IDS",41.8076,42.5935,52.5437,47.4533,42.7705,49.6845,54.5115,45.8829,46.2242
"PRSS3",22.1914,14.2909,22.0898,12.5795,22.0249,14.91,8.7793,21.2899,20.3816
"ZNF200",3.9642,5.432,4.9133,4.9787,5.4054,4.566,3.7858,5.906,3.9898
"CD4",5.5312,4.6618,7.42,3.3051,7.2127,5.9451,11.341,6.0501,5.6679
"LRRC23",14.1123,17.3294,10.3989,13.3818,12.7533,13.9535,15.9158,15.3117,10.5697
"BTK",1.2567,1.409,2.0036,0.8483,3.8623,2.2105,1.2635,1.9545,1.1315
"HFE",1.1579,2.0395,1.2648,1.1235,1.9161,1.3897,2.7822,1.8007,1.4403
"SCMH1",26.6664,32.6158,29.4807,36.5075,31.0094,33.486,34.8841,32.4351,25.4259
"FYN",59.7173,69.7844,72.6737,62.4902,67.7099,67.6041,81.6804,81.8156,52.9837
"HIVEP2",142.2898,131.2451,153.7612,117.1774,128.0879,125.826,81.8497,126.3904,127.0247
"FMO1",0.114,0.122,0.144,0.2052,0.0686,0.0515,0.4312,0.0887,0.121
