"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"ZNF281",53.7574,34.6263,22.5545,21.0837,20.4324,26.4039,51.4729,22.5195
"ARPC5",27.8004,27.2162,18.4508,25.9659,11.2362,15.9981,33.4322,15.9149
"CADM3",62.4123,98.5844,118.5495,131.8464,62.0339,119.9887,8.3291,133.7065
"NLRP3",7.7478,16.874,8.8496,11.7001,4.8576,7.7501,13.3908,6.6822
"ZNF496",25.457,18.7363,13.9493,11.3637,11.9976,13.5836,14.0328,10.7617
"TRIM58",1.1397,2.1354,1.2129,2.5843,3.4966,2.2454,0.5927,2.4723
"SLAMF9",0.9237,0.7602,0.433,0.317,0.2588,0.642,0.3075,0.272
"OR2M5",2.4651,2.4206,1.0505,0.3077,3.3482,1.4601,0.5594,1.32
"KCNJ9",56.2381,123.097,67.7059,82.1217,86.043,103.304,89.1095,104.3254
"IGSF8",105.296,265.7846,144.6082,183.3127,166.8168,194.0598,276.0498,199.3115
"DDR2",21.661,16.0124,25.8488,22.6771,13.0921,15.4826,17.7476,12.0047
"PEA15",296.1856,714.6701,533.5561,715.996,226.6139,543.1714,505.0029,609.2358
"PEX19",26.3626,42.4359,34.2655,38.6174,31.8987,39.7672,35.2462,40.3804
"NCSTN",60.6431,58.0867,40.1995,38.9518,24.0685,36.8409,55.9487,28.0907
"VANGL2",11.9285,14.252,8.2773,5.0855,2.8076,6.0777,9.2714,4.4419
"SLAMF6",3.1419,0.473,1.2316,1.6569,0.2505,0.1331,0.3826,0.0846
"OLFML2B",16.175,13.1847,6.045,10.1512,2.3303,4.2558,7.0755,4.0831
"FCRLB",1.9078,2.2549,2.3377,3.2879,3.1461,3.0327,1.4524,2.2116
"FCGR3B",1.5101,0.8544,2.073,1.1143,18.6484,1.2791,2.7957,1.6955
"SLC9C2",1.6636,1.0986,2.613,1.4379,0.7863,1.1241,0.957,0.8619
"KLHDC9",12.0508,16.6757,15.361,15.956,22.1629,21.5759,8.3475,21.0327
"C1orf74",3.2346,3.7665,3.8507,3.3305,2.3702,3.9029,3.2335,3.3573
"LMX1A",0,0.0259,0.0168,0,0,0,0.0209,0
"LRRC52",0,0.0789,0.0514,0,0,0.0666,0.0638,0
"FLVCR1",15.5152,10.8201,8.2392,7.6023,8.4296,10.6179,8.4521,10.422
"FAM71A",0,0,0.0612,0,0.0427,0,0,0
"ATF3",11.1986,16.6103,9.5045,9.4389,4.9854,3.8689,17.1193,5.0237
"RBM15",38.0981,31.2652,25.0895,26.8009,23.8151,24.5639,30.1634,24.6661
"DENND2D",16.7348,4.1984,8.2622,12.082,1.0594,1.4648,4.3269,1.4618
"AXDND1",0.6393,0.4088,0.5091,0.2847,0.355,0.3303,0.3019,0.458
"TDRD5",7.9233,0.8733,0.7407,1.2008,0.5525,1.7655,0.2997,2.8031
"IER5",15.0522,16.7981,13.6685,17.054,18.9667,15.1218,10.8157,16.2269
"SNED1",20.5752,9.764,13.1556,9.8617,6.7291,7.7892,6.1737,6.8144
"BPNT1",28.019,19.1575,16.6124,17.516,13.3501,17.2945,25.6201,17.6431
"SPATA17",0.9528,0.9802,1.4491,1.2748,0.6334,0.7857,0.3763,0.8085
"C1orf115",55.3915,96.2918,86.7354,119.5368,99.7772,156.5366,12.6884,164.1212
"BROX",52.4173,51.0963,36.4304,36.9955,26.1008,33.3684,58.8569,28.3883
"NBPF20",1.9941,1.1168,1.1239,0.9924,1.3965,1.0587,0.8941,1.0481
