"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"TSPAN6",52.3677,39.7377,70.9581,44.5101,44.3751,52.6998,38.9975,52.2797,40.8255,47.8434,46.3823,42.1189,52.3324,35.5366,38.6789,30.7378
"TNMD",1.6911,3.308,3.2111,26.0627,1.5763,4.6145,4.237,9.6681,3.4552,1.4974,5.2924,9.6848,3.5454,2.1599,7.8923,1.7047
"DPM1",59.368,59.6675,75.1805,59.9206,76.605,65.4419,68.405,66.0218,57.9336,62.8687,67.3934,60.2804,70.4993,53.2381,51.2769,52.4024
"SCYL3",14.8682,11.3618,15.5624,13.5833,11.1545,14.6369,13.2285,17.7623,12.9583,12.0491,16.8419,11.4575,13.4425,11.4925,11.9375,11.5086
"C1orf112",4.1113,3.5168,3.9118,4.1946,2.8537,3.4543,3.9033,6.8889,4.1384,3.1733,4.2569,3.2688,3.341,2.403,3.3961,3.3862
"FGR",3.7824,4.8846,7.1855,11.0091,2.3966,4.9228,5.3933,13.1798,7.3388,3.7032,15.8602,3.5856,3.3413,2.2977,6.7311,2.3858
"CFH",24.9708,39.1997,29.4271,54.6784,28.4214,39.4509,33.7823,115.6427,41.6119,19.2688,57.1539,26.6282,30.6782,21.4482,21.0387,24.4522
"FUCA2",66.3001,69.6117,53.3177,58.1753,65.237,38.4153,49.9674,62.8968,61.0836,53.369,58.0927,62.4075,70.4921,59.5916,62.8646,60.7212
"GCLC",18.8139,22.2753,12.3494,20.0725,25.0807,14.0721,20.9061,21.2935,21.1199,21.4693,16.3639,22.8678,24.8078,21.0742,20.3686,20.6486
"NFYA",31.6562,27.2467,28.4915,31.6439,23.2773,28.0489,29.7135,41.168,30.8384,32.8083,43.4269,26.4249,25.6714,27.9453,30.6136,24.6559
"STPG1",4.7901,3.2796,5.2955,4.1811,2.8923,4.4236,3.9801,5.3503,4.088,3.4377,6.1799,3.1044,3.8138,4.1437,3.5315,3.833
"NIPAL3",27.9706,15.6674,56.359,19.3836,15.6715,25.7131,19.6584,23.4808,22.3866,22.5928,28.3551,17.282,18.2094,21.8103,19.619,21.0719
"LAS1L",11.2575,9.6965,9.3966,10.7995,9.0742,10.7293,8.8533,11.9216,10.0198,9.2798,10.0877,9.4795,10.0033,9.1889,9.1722,10.4004
"ENPP4",41.4752,42.9841,68.7883,32.4067,45.444,28.8435,34.6278,57.9001,37.3137,45.8469,30.9051,41.295,40.6963,30.1622,32.8966,37.0477
"SEMA3F",16.9816,10.6232,23.1242,13.7915,10.155,19.2487,14.7635,11.4456,12.916,12.7796,19.0567,11.8481,9.0361,13.2118,13.4695,16.6477
"CFTR",2.1549,3.6997,1.2395,9.4205,3.4423,2.4263,1.6774,9.7248,4.1038,4.3191,5.6047,3.4249,3.0971,3.2467,7.2091,5.5415
"ANKIB1",89.6449,78.2824,61.1591,66.5656,89.0774,66.406,90.4702,73.182,95.2026,81.7869,70.6761,97.4144,95.6906,90.4435,68.2126,69.4779
"CYP51A1",6.012,5.2345,8.2049,4.2949,4.8488,6.0313,4.0083,4.3844,5.3952,6.2927,6.8176,7.5779,6.2538,5.0533,7.2823,6.5643
"KRIT1",7.1413,6.8732,6.5285,7.5151,6.0969,5.3824,8.1842,11.1906,7.5262,7.1928,7.5882,7.2877,6.7723,6.7123,6.8227,6.503
"RAD52",19.7471,16.2646,17.5681,17.9638,13.1668,19.9992,16.6326,26.7943,18.8006,15.309,22.1583,16.354,16.9937,16.925,15.4625,16.9941
"BAD",20.8856,18.6291,21.1907,14.9025,20.6521,17.3354,12.51,19.3852,17.451,16.514,15.9767,22.5218,19.8037,19.7151,19.1073,17.7283
"LAP3",106.2548,131.7083,92.505,109.3601,156.8625,94.4719,117.9001,125.115,116.8952,143.4796,125.8372,127.8765,156.5293,110.1275,110.4916,113.6275
"HS3ST1",2.9655,2.1343,10.9762,6.2376,1.5646,3.906,2.4433,16.0446,3.0639,3.4823,18.1691,4.0073,2.0809,1.34,2.2366,1.412
"AOC1",469.7929,515.1303,237.586,368.9193,801.2323,270.5231,375.7295,98.8035,123.8091,527.6764,60.4948,697.164,566.6778,895.5757,675.1994,420.3131
"WNT16",0.4142,0.723,0.2112,0.9085,0.5059,0.8405,0.593,1.6456,0.3819,0.129,0.5425,0.1968,0.7203,0.6104,0.4087,0.2127
"HECW1",24.2932,30.7172,6.8953,20.8786,32.6861,14.7377,25.2173,6.6276,19.9581,28.2771,8.0124,29.2415,26.989,34.338,30.2413,26.4925
"MAD1L1",1.2515,1.0468,1.3111,1.5837,0.6228,1.0991,0.8753,1.3084,1.6146,0.9316,1.3685,1.1996,0.5769,1.0748,1.2668,1.188
"LASP1",55.6021,54.8699,57.6294,68.3978,50.8592,44.3846,47.3417,71.2112,51.9231,44.6711,65.1236,51.5782,46.1743,63.8161,57.377,63.1947
"SNX11",19.5774,15.6729,19.683,17.838,15.0174,15.3351,15.6717,19.0676,18.3174,17.3416,16.5567,17.8957,15.524,15.8369,18.6326,17.1719
"TMEM176A",168.6101,187.165,153.2671,107.6283,212.0926,136.5493,188.4691,111.4347,180.4772,226.4442,117.8728,242.8161,128.4942,196.7293,226.4665,156.706
"M6PR",65.389,61.2655,78.0748,77.0889,70.089,63.0118,60.1205,95.0627,67.2721,72.1017,88.0874,67.3148,77.596,56.3571,66.2281,59.2936
"KLHL13",25.2446,20.3821,22.1147,22.8967,19.8186,29.7486,16.8133,53.1324,23.3545,19.3672,41.5987,17.0321,21.6996,15.7934,17.3442,15.1085
"CYP26B1",6.0141,0.6653,8.2309,6.0281,4.295,1.2638,4.3794,3.4689,1.4011,1.2172,0.7892,3.4269,1.8752,9.595,3.7414,2.5259
"ICA1",19.2114,17.9986,24.5838,24.5788,16.5071,22.9567,17.2288,28.6987,22.1187,26.5971,24.6999,15.9529,16.3546,18.1378,24.4027,23.2231
"DBNDD1",5.594,6.7845,6.8755,7.6245,3.5826,5.8302,8.4261,12.9723,5.8927,5.8732,7.0494,7.7932,5.252,5.5372,7.2742,6.7862
"ALS2",29.961,26.9828,24.8256,27.7315,30.0835,23.9256,27.5317,31.7743,28.4796,28.3231,29.5757,26.9435,30.6906,29.2157,28.1562,27.189
"CASP10",16.0783,15.9942,16.6872,17.8743,12.1471,16.7831,13.6408,21.9326,18.059,13.8135,29.2498,12.5424,12.2249,14.6659,13.9703,10.6779
"CFLAR",52.4704,58.0055,48.7979,55.8173,35.3568,41.7036,47.6526,59.9941,58.7608,52.4896,50.8836,49.5942,41.3664,45.671,53.4637,61.5815
"TFPI",37.6444,37.5416,34.841,43.9223,29.5871,30.6628,39.2778,70.1156,45.714,36.9718,75.1854,36.3282,39.2473,35.2865,34.7681,40.2999
"NDUFAF7",21.7347,20.751,21.833,23.0358,22.8584,18.4737,21.9822,32.6079,22.1946,24.0703,24.9044,21.908,24.0545,21.093,20.2399,23.0748
"RBM5",46.1415,42.5703,43.3083,51.4508,32.5724,42.7819,42.1956,62.3195,51.0251,44.7832,52.3834,39.452,36.1004,40.8621,41.0235,43.8125
"MTMR7",4.3684,1.8324,2.6246,2.1164,2.2966,2.4168,3.1594,4.1196,4.1551,3.9194,1.9844,2.9791,3.4811,3.3937,2.2077,2.918
"SLC7A2",23.7342,30.6052,31.4287,40.348,22.349,25.6327,21.605,66.8737,30.1502,37.1191,24.2432,16.8437,25.1074,17.102,16.9974,25.3207
"ARF5",62.458,52.9286,82.9174,54.8406,57.2029,54.2701,45.1594,88.1204,57.5665,64.7048,75.3329,63.9379,58.5528,49.7308,56.6192,52.8655
"SARM1",4.2331,3.7373,3.3601,4.191,2.9939,4.2166,3.6471,4.4254,3.8577,3.9994,3.5828,3.4061,2.9161,3.4629,3.6114,4.6096
"POLDIP2",175.1668,170.8309,157.6013,133.7724,173.9372,124.4994,127.2338,91.9695,155.9907,181.2836,106.728,164.3745,175.9662,170.4452,179.1141,172.4196
"PLXND1",21.4707,15.991,17.4479,27.3056,10.0439,26.6954,17.3251,27.9087,23.9542,11.0785,25.785,15.243,13.7444,16.9812,17.8835,17.7937
"AK2",93.1098,76.82,81.0901,74.928,93.7332,70.0754,75.9891,61.8949,80.6924,88.035,72.5666,96.6525,85.9102,103.3309,82.3092,82.3993
"CD38",1.3044,3.4179,1.3573,3.0633,0.799,2.2901,1.7372,5.916,2.3635,0.4758,3.1898,1.218,1.8471,1.0025,1.621,0.4682
"FKBP4",58.6381,54.0938,72.7894,54.2297,54.3945,52.9691,51.1617,44.2849,54.4819,53.3264,53.8822,64.7685,55.0844,59.5282,66.8783,56.2282
"KDM1A",51.0067,43.3213,62.8575,52.5284,47.4584,54.115,45.8605,71.0324,49.3536,50.0306,58.7395,47.3282,50.509,47.3037,48.4016,47.3524
"RBM6",67.3396,68.578,58.513,70.3432,52.1107,63.3756,58.1604,90.5928,64.0025,67.1793,82.2069,64.3647,60.7532,62.3768,52.9476,66.1028
"CAMKK1",2.6025,1.7517,3.9766,2.7262,1.4943,3.4362,1.883,3.2033,2.9732,1.5575,3.1528,1.437,1.3672,1.0722,2.4047,2.031
"RECQL",22.4846,20.8234,33.1339,25.8085,21.0118,24.1812,21.5725,44.9958,21.6827,17.9634,28.3328,20.2947,20.8917,15.9759,16.213,20.8698
"VPS50",22.9676,19.4866,21.3658,21.7331,22.4939,20.1584,22.9837,28.4899,21.6847,20.589,23.0883,19.4237,25.3488,20.4274,18.6239,19.578
"HSPB6",0.9652,1.8881,1.6995,2.5324,0.3918,3.0728,0.3455,2.3716,1.8407,0.8547,2.2353,0.4192,0.5279,1.3869,0.98,0.4026
"ARHGAP33",3.1833,2.7848,2.0315,2.9598,2.183,3.6508,2.2929,1.9814,2.8225,2.4211,2.0791,2.1527,0.8363,2.7274,2.4175,2.9196
"NDUFAB1",100.9111,81.1142,107.7195,65.5584,104.4792,79.6252,72.0932,61.836,82.9491,97.9714,54.4316,90.1124,106.8033,85.338,88.8668,83.3993
"PDK4",53.7861,613.0324,708.521,342.0575,162.0423,107.7122,124.4871,210.6915,442.5535,783.9959,317.7552,279.5029,318.1481,104.383,605.1505,382.1814
"SLC22A16",0.1863,0.0625,0.0441,0.2741,0.0768,0.3632,0.1143,0.1847,0.058,0.2424,0.6931,0.0206,0.0776,0.204,0.2048,0.0666
"ZMYND10",2.088,1.6337,2.6548,2.11,1.221,3.2744,1.5977,2.997,1.7653,1.1293,3.8936,1.5289,1.4701,0.9656,1.4159,1.7719
"ABCB5",0.0337,0.0352,0.0186,0.4271,0.0162,0.0409,0.0483,0.2685,0.1347,0.0341,0.045,0.0174,0.0737,0.0538,0.0384,0.0562
"ARX",0.0334,0.1307,0.0277,0,0.1446,0.0911,0,0.103,0.1092,0,0,0.0774,0.0244,0.064,0.1713,0.0279
"SLC25A13",79.2767,86.4659,55.8399,77.0893,103.7356,66.3963,69.0918,49.0524,87.3665,93.1046,70.0158,84.1171,113.3309,78.116,79.864,86.388
"ST7",17.0361,17.7568,12.2278,18.5928,17.8254,14.4519,17.523,16.9159,19.2418,17.1432,14.0765,22.015,20.279,18.8992,19.1584,15.0498
"CDC27",30.0849,28.7515,35.5866,36.2135,29.0678,28.2515,28.9333,52.4907,31.2394,28.0081,38.5844,30.2447,32.0187,25.3005,28.1472,25.9625
"SLC4A1",78.0672,83.9494,82.9135,38.2535,74.2451,65.581,32.0461,23.4485,42.3696,102.3711,6.8487,59.9837,50.2099,96.8456,69.5778,118.606
"CALCR",4.4833,5.0499,3.8577,3.8631,5.1017,3.9658,4.5319,6.0004,3.3017,6.1822,3.1577,4.7553,3.1615,4.6722,5.6868,3.7196
"HCCS",22.7712,20.735,27.2908,22.3601,23.4152,22.65,20.368,24.0542,22.6374,23.3132,23.9602,22.5875,21.4929,19.3043,22.3924,20.663
"DVL2",20.0537,15.5994,19.6612,20.8372,14.6265,18.3647,14.5514,17.9292,17.4226,16.8125,19.9068,16.7376,15.55,15.0533,15.4251,18.0992
"PRSS22",3.9699,2.6284,12.3624,4.2845,4.8166,7.3805,2.5608,4.8088,3.5654,3.6642,19.0919,2.8296,2.6086,2.4656,2.9094,2.9479
"UPF1",53.0744,44.5377,40.1777,44.1895,35.5774,37.969,34.8324,31.43,46.3349,38.5236,37.3825,35.8681,31.9355,47.5641,47.9525,52.1707
"SKAP2",43.6105,40.6354,48.3201,46.6185,39.6461,42.4901,43.5922,61.985,48.7913,45.5262,56.108,40.0114,43.5575,37.5384,40.4729,35.8475
"SLC25A5",559.0673,517.0978,504.9168,393.6986,635.347,427.5415,428.4094,262.4707,494.2151,567.3817,328.8034,507.7183,579.5066,496.3329,540.0646,516.2769
"MCUB",3.1303,2.93,4.1936,7.1831,1.9845,4.0446,3.8953,13.7336,4.8457,2.6645,8.5549,2.4849,2.6667,2.382,3.9272,2.8555
"HOXA11",3.507,1.5855,5.8118,3.3949,2.1371,9.3923,3.5984,6.1877,2.9299,2.1294,5.2291,1.4443,1.5913,2.2023,1.7658,1.8529
"POLR2J",30.9318,26.425,35.5514,22.4324,32.3465,34.5575,28.736,28.7545,27.6848,30.1369,27.9024,29.5745,31.7353,26.0276,29.7289,24.716
"DHX33",12.2883,12.8623,8.7381,13.8878,8.6083,10.1476,9.9669,13.8209,12.8034,10.6355,14.8431,9.9049,10.0352,11.4443,12.258,12.3646
"MEOX1",0.4667,0.0913,0.4512,0.7085,0.0842,0.7429,0.2227,0.8994,0.1695,0.2362,0.5064,0.03,0.1702,0.1863,0.1663,0.2271
"THSD7A",65.0522,38.0768,79.8156,39.7575,43.1157,36.6573,54.8028,38.0916,34.9408,50.0452,43.4601,53.2686,43.3263,45.6483,42.6016,46.9919
"LIG3",14.7848,13.2401,12.0236,12.6105,10.4306,12.6559,11.357,14.187,13.1947,13.4688,13.7165,11.7713,12.0042,12.5719,12.2554,11.6414
"RPAP3",15.6877,12.1837,16.8324,15.9974,13.453,14.9764,14.8621,23.3915,15.697,15.0689,17.2291,12.2938,15.409,13.5006,13.8456,12.3737
"ACSM3",43.4563,52.8247,22.4791,34.496,52.0557,34.9668,44.5113,30.5732,68.6481,44.7892,25.6847,57.1562,66.5495,30.458,49.6484,40.1925
"REXO5",3.0864,2.7317,4.968,4.1277,2.0994,4.4181,3.3684,3.1982,3.6665,3.4818,4.4843,2.6177,2.3614,2.278,3.3095,2.8281
"CIAPIN1",39.9652,36.3226,46.8705,37.157,31.7462,41.6361,30.9859,38.2481,37.085,42.9011,34.0815,41.2813,39.2764,33.5717,33.1724,39.0597
"SPPL2B",18.2238,14.7639,15.5416,16.4437,12.9687,18.7434,10.0049,11.5516,15.7953,18.1723,13.8562,13.5956,11.1731,15.8724,13.1367,17.7407
"FAM214B",12.1213,11.8204,8.9082,11.3062,10.3717,9.5413,9.8682,8.3376,10.471,9.5423,9.9824,11.8666,9.9217,9.6422,12.3029,13.1606
"COPZ2",20.8449,18.0983,20.551,16.3776,16.2489,16.8307,15.4804,16.4549,21.2573,14.6645,15.4053,17.7313,16.2979,20.7686,14.4871,17.5756
"PRKAR2B",14.568,9.0886,23.7579,13.0074,7.4839,12.2297,9.3979,31.3567,12.0724,8.6676,14.6382,7.8951,8.7015,9.1397,5.0701,10.5654
"MSL3",7.0717,7.6717,7.2254,9.6608,5.6019,6.9932,7.0796,16.083,7.8452,6.8442,10.9052,5.5263,6.0408,5.2257,7.4467,6.2898
"CREBBP",29.6101,23.1792,14.4693,29.2105,14.9529,22.3002,21.7448,26.528,26.6875,23.1992,22.9448,18.4439,14.7183,28.1196,26.0068,29.528
"TSPOAP1",17.4965,11.1251,14.838,13.9013,11.5518,17.7416,11.662,12.762,13.0657,14.7857,15.2906,13.8558,10.255,15.2119,14.0464,14.4515
"MPO",0.0885,0.1846,0.733,0.327,0.0638,0.1609,0.1267,0.5455,0.0643,0.0597,0.5906,0.0911,0.0645,0.0565,0.1513,0.0984
"PON1",2.9748,2.2971,0.8757,0.7441,1.1299,1.1749,1.4851,2.5345,0.8531,1.2279,2.4304,1.3903,3.6821,1.9873,1.6734,1.3715
"GCFC2",24.0868,20.3964,26.1588,21.2193,16.4886,20.7829,22.095,31.0873,23.6126,24.876,18.7446,20.7458,23.438,20.9757,22.9393,19.1252
"WDR54",15.3523,14.0669,16.4374,13.1417,13.7628,15.3571,12.0602,13.6333,14.3453,13.248,16.032,12.8402,12.9503,11.2131,13.2202,12.1686
"CROT",25.4226,22.5477,32.7795,20.713,27.8566,24.8849,22.1933,24.3477,25.1395,25.1579,23.9376,22.0102,31.7937,22.6177,22.1999,22.3723
"ABCB4",2.1802,3.159,1.3604,2.2917,3.7195,1.9463,2.63,5.9857,1.8185,4.5351,2.1429,2.9097,2.9637,2.1916,2.566,4.0305
"KMT2E",46.6957,35.5969,41.6629,48.0217,28.2656,38.299,44.8465,65.3103,44.278,37.9347,45.5809,32.7639,34.4097,38.1518,36.905,39.121
"RHBDD2",84.5068,86.0078,92.5937,85.131,82.5241,67.8406,59.591,63.2298,80.7076,98.949,68.8982,88.1029,78.4422,80.0754,99.2305,94.4946
"SOX8",0.3025,0.4551,0.6169,0.5897,0.1847,0.6137,0.1832,0.9326,0.355,0.2119,0.4194,0.2695,0.2375,0.156,0.1194,0.2329
"IBTK",45.4582,45.7332,56.8607,47.9844,48.117,45.5788,44.0431,62.4234,45.676,54.3673,39.9341,42.1662,53.503,40.3003,45.0078,39.6744
"ZNF195",13.9427,13.0915,12.9068,16.6562,9.1001,12.0518,14.3165,23.7133,15.1838,13.8579,16.0797,15.1206,12.2525,12.9476,14.0171,13.3207
"MYCBP2",54.9575,50.2352,61.256,65.19,44.4238,53.4256,45.5631,83.6395,63.3899,51.4348,58.5037,58.3757,46.2906,49.2612,54.5438,51.6601
"FBXL3",29.6014,25.715,30.4221,26.2394,21.69,21.2161,31.2382,46.1234,26.9716,28.7211,26.318,27.1134,26.2054,22.8648,22.5075,22.3527
"ITGAL",2.0665,2.178,1.424,6.0377,1.3543,3.673,2.5662,11.4191,4.5498,1.035,4.7726,1.3108,1.284,0.6464,3.0651,1.0819
"PDK2",45.471,55.243,23.2962,34.3588,53.8427,30.3277,41.0284,17.8187,45.7803,50.0742,20.5223,48.1316,52.011,46.544,47.6072,74.2339
"ITGA3",54.4624,44.9558,45.1802,76.5835,39.8682,47.2405,34.483,94.7359,43.1961,43.3461,91.2326,41.3663,46.9107,44.7613,47.7553,49.0815
"ZFX",43.007,35.7043,31.516,29.6243,31.7908,40.0181,25.6459,62.5067,27.5649,36.1496,29.1473,25.0955,36.9424,24.4406,23.4881,35.3597
"LAMP2",110.4603,129.8191,99.7195,103.6153,115.5046,79.498,98.9365,145.9058,101.5939,125.033,107.2989,136.4986,133.7445,95.1865,115.94,105.5189
"ITGA2B",0.7122,0.5859,1.6494,0.4629,0.4217,1.0797,0.8367,0.7039,0.4378,0.5175,0.9144,0.2397,0.4794,0.3674,0.2654,0.5637
"ASB4",0.5193,0.9541,0.5239,0.6617,0.5051,0.4929,0.194,0.1392,0.4429,0.5255,0.7236,0.5056,1.0373,0.2812,0.695,0.4898
"GDE1",42.3824,44.8594,48.5646,35.9329,43.5259,35.5331,31.4249,40.3403,41.0732,42.9136,41.4716,41.2147,44.6576,37.1042,41.2211,36.7208
"REX1BD",17.9866,14.6049,18.9172,14.9059,17.0539,19.1663,8.9887,18.2646,18.0538,15.0485,14.7687,15.9852,13.5662,15.959,14.6141,15.5199
"CRLF1",0.7361,1.2068,1.5684,2.1378,0.3794,4.4636,0.7026,2.4318,1.1459,0.7094,4.6337,0.4872,0.4857,0.5037,0.4795,0.7311
"OSBPL7",5.6495,5.052,6.9365,7.0441,2.9235,6.9667,4.7013,7.3314,6.0701,4.9965,8.2727,3.9958,3.9813,4.3507,4.9793,5.0959
"TMEM98",21.0129,21.2738,14.9358,28.1884,20.5604,23.3437,20.769,37.8049,25.4981,24.105,28.3124,25.1125,26.2304,17.5165,18.8923,22.8322
"YBX2",1.617,1.9329,1.8608,1.1384,1.2479,1.3482,0.8681,1.1252,1.9823,1.9772,0.5623,2.0116,1.261,1.9577,0.9985,1.7236
"KRT33A",0,0,0,0,0,0,0,0.0615,0,0,0,0,0.0582,0,0,0
"MAP3K14",9.4313,11.2418,8.1797,14.1989,6.9913,9.1125,11.4669,14.3564,8.5179,18.2343,12.0545,14.2677,6.3825,10.7922,14.2611,8.9089
"ABCC8",0.4214,0.64,0.3081,0.4973,0.0954,0.2104,0.4968,1.5731,0.4412,0.1254,0.2648,0.2552,0.2169,0.2928,0.1978,0.3239
"CACNG3",0,0.0425,0,0,0.0391,0,0,0,0,0,0.163,0.0419,0,0,0,0
"TMEM132A",2.9739,2.2263,5.0705,4.2919,1.2794,3.7714,1.9037,4.5188,2.0722,2.1559,7.9898,1.6119,1.6578,1.6709,2.9829,1.6341
"AP2B1",116.3596,113.2054,95.2234,115.7854,93.3114,107.8811,104.9417,121.1147,117.7512,117.6688,134.5859,93.2988,100.1378,108.5892,117.3083,116.925
"TAC1",1.3972,1.2359,3.4229,7.2173,3.6385,0.9946,1.4351,22.8988,2.1846,6.7008,7.2396,4.0341,1.6834,0.4073,1.0388,1.419
"ZNF263",21.3266,18.619,22.7855,21.2527,16.1517,18.5707,18.1503,27.1947,20.7796,18.9026,22.6916,18.7756,19.5078,17.7375,20.8319,19.1736
"CX3CL1",32.3871,25.956,23.0187,29.6186,19.2285,32.6169,26.5196,28.6915,23.37,29.1899,33.2208,37.2163,21.1105,25.6084,23.365,20.1329
"SPATA20",38.5061,33.728,60.4053,45.439,35.9432,54.1491,40.9564,51.5986,41.1113,50.2863,54.5454,44.9162,43.6255,51.2407,35.4064,46.0228
"CACNA1G",0.0103,0.0081,0.0685,0.0409,0,0.0658,0.0148,0.0558,0,0.0105,0.0621,0.0239,0.0226,0.0297,0.0177,0.0259
"TNFRSF12A",26.9677,51.1036,82.4434,89.8289,32.7122,43.9631,27.2418,134.9213,24.7933,82.5724,82.1199,78.2562,35.204,12.1697,88.8255,15.1268
"DLX6",0.1509,0,0.05,0,0,0.0824,0,0.0465,0.0329,0.0917,0.1209,0,0.066,0,0.0516,0
"MAP3K9",6.4739,7.1942,5.4338,7.4686,4.6475,6.698,5.3917,8.1943,6.0665,6.016,11.7053,7.171,5.223,6.121,9.3404,8.1747
"RALA",19.9053,22.1007,22.4408,24.3968,19.0405,23.3387,23.4853,36.4895,22.9261,19.9671,26.1911,20.621,21.0632,18.9842,20.5974,21.6481
"BAIAP2L1",11.8649,8.9631,15.3725,12.0972,7.3323,9.5951,7.4125,12.2557,9.5678,11.09,11.4934,8.5788,6.3554,9.3199,9.4808,10.3121
"KDM7A",22.0468,19.8019,34.5787,22.0208,15.7496,20.8501,20.3947,39.4521,19.6017,18.7306,28.776,17.0154,17.468,14.9682,17.1628,16.2459
"ETV1",3.3099,5.3744,5.0191,4.7976,4.4258,4.9488,3.2676,7.1123,4.1372,2.638,3.3905,1.7373,3.9123,2.7147,2.8578,2.7522
"AGK",15.8282,15.7399,14.4526,15.1163,14.6846,14.7683,15.5762,20.2953,16.2523,15.8897,15.3256,13.7011,18.0295,13.0574,15.4871,14.6888
"ALDH3B1",22.8063,23.7033,11.3279,18.337,21.9058,20.4727,18.1911,16.5759,25.5023,25.2553,14.1156,21.4888,25.467,32.2813,19.7147,26.2015
"TTC22",13.5469,11.7585,9.8007,10.2175,11.225,10.6346,7.8823,6.4938,12.7594,11.9179,10.3625,10.5526,9.6925,12.0802,13.1255,11.6705
"PHTF2",9.3224,9.7509,10.1365,11.8806,6.8835,8.5888,9.4289,18.2945,9.831,10.8825,11.1791,9.9757,8.8945,7.628,9.6473,7.9477
"CCL26",2.8109,0.2315,3.6775,1.1717,0.2135,0.6728,2.4358,2.6229,0.8061,0.1497,1.3334,0.7996,0.9709,0.4251,1.2649,0.3703
"FARP2",19.2502,17.3105,16.6463,18.9613,13.4267,15.0476,15.7437,22.37,17.7044,17.0125,17.8795,16.8315,14.8451,15.6949,17.7712,15.3348
"USH1C",101.584,102.8664,42.0334,94.2158,111.3055,72.9345,102.4292,78.7798,83.7048,97.842,62.8659,114.4184,111.9354,99.2597,113.1137,99.4121
"GGCT",19.9652,21.3908,24.0037,18.0871,24.1066,17.3883,15.1795,17.5025,22.965,21.5246,17.5114,20.8074,27.2149,18.3751,21.1432,18.7241
"DBF4",3.5535,4.3035,6.6577,4.7685,3.3483,3.1292,3.7427,6.7695,3.2063,3.0921,5.44,3.2158,3.1855,2.6018,3.3093,3.0777
"TBXA2R",3.3478,2.9649,1.3717,3.7006,1.646,3.4466,2.0278,2.7508,3.608,3.0528,1.4,2.5851,2.0389,2.6078,2.9253,3.6215
"IFRD1",7.9232,10.6484,11.1237,10.7684,11.1502,7.4222,12.3989,14.0007,8.9495,13.865,10.4654,16.6773,9.5688,13.2128,13.2565,8.4544
"LGALS14",0.115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COX10",12.4075,9.9493,11.735,11.1319,10.6977,10.4454,8.7718,10.7865,10.9541,11.0449,11.2694,10.6981,10.3725,9.7767,10.5825,9.8115
"GTF2IRD1",18.3871,15.5016,18.0466,18.3912,11.5596,19.1406,13.1395,16.4064,15.276,15.7894,22.5327,14.6429,11.5178,15.3907,14.9826,15.2858
"PAF1",43.3523,43.0585,54.2755,41.7649,45.8203,45.9708,43.6772,60.7036,41.8732,48.4871,49.2628,54.5245,43.3486,38.8714,43.2141,41.2197
"VPS41",64.518,44.7406,67.9555,55.7128,47.0421,54.5836,48.4039,73.3748,53.9906,52.6502,75.428,44.2457,58.69,49.6199,41.8696,39.3295
"ARHGAP44",3.7932,3.8061,4.7054,3.7732,2.5602,5.632,3.2665,5.3836,4.4861,4.1322,4.268,2.9893,3.1648,3.1527,3.4723,3.816
"ELAC2",38.8112,32.7275,42.337,33.6459,37.5467,37.3416,33.4078,44.0576,38.441,34.2554,40.043,36.4491,37.1294,31.7287,35.4198,34.2737
"SCIN",54.4877,44.1883,98.4059,46.5292,42.5024,58.763,41.9893,56.2344,44.1299,66.5099,52.014,40.1537,45.7481,55.5712,49.4797,52.2096
"ARSD",124.3105,68.5903,82.1035,47.5296,88.125,100.2652,52.1657,86.7645,69.0864,107.0137,62.5425,67.7229,89.3869,66.3177,59.8903,92.2821
"PNPLA4",39.4542,37.5275,20.0091,16.9287,44.7531,30.1734,21.7827,24.2553,22.9588,45.7887,12.3665,22.7903,47.892,21.7885,21.3251,35.4324
"MYH13",0.017,0,0.0422,0.0135,0,0,0.0852,0.0131,0.0556,0.0344,0.017,0.0131,0,0.0163,0,0
"ADIPOR2",42.4496,39.1464,43.9228,41.2645,34.6743,36.6642,32.7242,42.0439,41.1463,44.8348,40.7433,37.5025,34.2068,33.8976,39.1322,42.6594
"CDKL3",1.4532,1.2146,1.2041,1.7265,1.3108,2.1028,1.986,2.7241,1.6195,1.6043,1.4222,1.7852,1.0597,1.835,1.3837,1.047
"UPP2",97.7763,136.3899,41.3246,24.4308,116.5986,54.0005,93.635,6.561,131.9205,77.4486,10.6725,104.0438,133.3422,75.7045,94.3673,65.8125
"PRSS21",0.1057,0,0.0876,0,0.0382,0.0962,0.0757,0.163,0.1152,0.0535,0.053,0.1225,0,0,0.0452,0.1764
"MARK4",8.4845,7.1523,5.9168,8.5641,5.2432,7.433,6.9237,6.9136,6.4362,7.242,7.8084,5.8397,4.7628,7.6336,7.3747,8.7075
"PROM1",44.6857,25.5906,71.7764,78.5295,19.4445,89.2182,43.959,138.6541,55.0474,32.2217,235.0122,27.0958,33.4197,16.3125,37.6589,14.7532
"CCDC124",24.1063,18.9112,22.6204,20.2835,21.0105,26.8243,22.9938,22.3953,20.2647,20.4029,27.2768,22.0954,18.492,19.6132,21.0934,21.1551
