"","C3N-02261","C3N-00958","C3N-01653","C3N-02818","C3N-00243","C3L-01279","C3N-03021","C3N-01650","C3L-02212","C3N-02440","C3N-01803","C3N-01652","C3L-01865","C3N-01903","C3L-01962","C3L-01955"
"ADRA2A",2.842,1.3007,1.4218,3.695,0.9287,7.3892,3.2628,8.825,3.7398,1.3837,6.283,2.4637,0.5865,2.0033,0.9399,0.3355
"GPM6A",6.0274,3.7568,9.658,3.089,2.3773,6.0064,8.6294,6.0582,6.7935,5.6211,6.5096,2.7263,5.074,4.5426,1.6421,1.6514
"WDR17",10.7988,7.5629,11.113,6.3884,9.1973,9.2523,7.3581,8.9511,10.8669,9.8892,8.5582,7.3812,10.9079,9.2716,5.4374,7.1959
"SPATA4",2.902,3.3392,2.7228,1.3182,2.6177,3.4159,3.4521,1.1185,3.1623,3.4549,2.4788,2.5374,2.9564,2.044,1.861,2.9906
"VEGFC",6.6816,5.1969,5.8329,9.6706,5.8261,7.1626,5.2955,14.9302,5.7641,5.1919,10.4751,4.8215,5.5394,6.8957,4.4547,5.8394
"CCDC102B",7.2022,13.682,6.6506,11.9623,7.8218,7.7731,8.4774,26.5436,9.9959,6.7626,11.0882,7.8025,13.8093,4.874,4.4883,6.3969
"CD226",3.4188,3.6819,1.918,5.7232,2.6154,3.0403,3.8863,8.0703,4.1403,2.3501,2.7832,3.1514,4.0977,4.0845,3.0989,3.3094
"CNDP1",3.0688,2.6756,1.6346,1.2153,2.6469,2.552,2.9604,0.3154,4.4428,3.0611,0.5854,3.5883,4.3371,3.3316,2.6738,2.1822
"FSIP1",2.0722,2.5144,3.8074,2.4025,2.514,2.9229,2.4938,2.9864,2.5854,2.4009,3.8197,2.7828,2.5404,1.9563,2.953,1.9542
"DLG2",7.1081,7.7534,4.0589,6.6258,7.6492,5.3727,6.2112,6.7747,6.1994,8.1128,3.5904,6.128,7.9612,7.3278,5.4124,8.0692
"CCDC83",1.1904,0.6554,0.4749,0.5936,0.1591,0.6416,1.073,0.9516,0.4324,0.4015,0.574,0.4426,0.7073,0.8869,0.6785,0.6252
"RGS18",1.4852,2.0628,1.0768,4.4113,0.9646,1.7562,2.4188,10.0462,3.0751,0.7515,4.4993,1.0608,1.3809,0.5691,2.1588,1.0841
"PRSS23",27.9179,24.2126,25.5198,35.2485,20.5726,27.2036,20.5836,41.4507,35.0969,23.3134,48.1905,27.7539,23.7845,26.334,23.0236,27.0885
"MTMR12",52.5751,51.2014,46.6687,50.337,39.5839,46.2793,47.2203,78.0936,44.2411,54.5001,57.9133,49.1179,47.9923,41.4159,48.5597,48.4159
"PPP1R1C",0.9364,0.3996,0.8111,0.4045,0.4607,0.9291,1.0816,1.1319,0.7421,0.7538,1.4279,0.5916,0.838,0.7135,0.2911,0.6746
"C11orf53",1.0842,0.3636,2.31,0.3067,0.1118,0.7748,0.2217,0.3582,0.1688,0.1567,0.0776,0.2392,0.5647,0.4451,0.2649,0.2584
"CCT5",55.1552,53.0871,70.7685,59.1869,54.6838,52.5837,48.0398,83.9944,55.7212,47.7323,74.4851,60.1522,66.3433,48.4167,57.5689,49.6597
"ATPSCKMT",22.8899,18.0343,23.4523,22.6434,18.2543,20.8775,21.7797,23.6481,20.6654,20.2162,22.7013,17.3327,21.2399,21.6841,18.6511,19.6503
"DOCK1",84.2027,64.1862,108.074,69.3833,55.509,80.8523,64.3549,94.3875,74.1906,76.0714,97.8853,55.0572,64.588,58.4023,58.3108,61.358
"DIXDC1",28.3361,39.8592,35.0095,33.9433,20.2524,22.3432,29.3899,30.4982,36.7745,38.9778,35.228,38.8498,23.2158,20.4493,33.9763,41.6742
"DLAT",53.3342,47.1493,61.2615,38.91,47.2619,41.6128,39.4053,44.0356,48.7346,51.6699,37.4374,49.0799,51.577,45.395,42.0042,43.9832
"PIH1D2",6.9356,5.7504,6.564,4.6869,6.4513,5.3245,6.1719,5.9839,6.0324,6.2137,7.0094,5.4783,6.4959,6.0342,5.4133,5.3878
"NKAPD1",23.2942,20.1498,23.3745,20.2678,20.7351,19.6919,23.027,28.3344,20.7956,22.0551,25.2828,23.8759,22.7191,20.5829,20.9524,20.0812
"TIMM8B",56.9957,52.9021,72.5028,49.6644,69.9012,57.8453,59.2533,58.305,58.9015,60.5662,58.0615,63.2266,77.9866,49.8981,51.7072,51.5662
"IL18",22.038,20.7426,26.7955,41.7402,21.3771,19.0283,17.1763,45.3318,24.0151,23.9177,23.8294,26.6355,19.3603,19.8103,40.1098,31.7406
"TEX12",0.632,1.0596,0.374,0.9296,0.7818,1.8887,1.2925,2.0182,0.8854,1.1877,0.4521,0.8365,1.0533,0.8648,0.386,1.205
"PTS",18.8852,18.0029,29.8364,21.6731,19.3864,20.0202,17.9698,25.5014,19.8548,20.6926,21.6764,20.2052,21.8695,17.772,17.0286,18.584
"PIP4K2A",28.6381,35.2857,24.354,45.1071,28.8678,28.92,30.6489,76.6052,35.5799,27.4349,40.7149,31.5033,30.5232,29.7549,30.6689,26.8477
"C2orf50",0.487,0.5252,0.8506,0.5733,0.3514,0.5866,0.3392,0.487,0.3442,0.3197,0.6986,0.3455,0.2687,0.353,0.3826,0.6039
"FREM2",65.9987,49.6313,46.7704,40.3593,57.7624,47.3188,54.0567,34.4174,53.3131,66.7885,34.577,57.7818,65.6116,74.0503,58.2447,42.6481
"FOXO1",28.8942,39.0014,24.4625,38.76,26.7722,23.4547,26.1955,32.2319,38.2403,40.8829,29.3385,30.3596,26.5447,31.2406,40.4391,40.6065
"CRIM1",195.586,162.3176,172.1378,171.2172,146.7046,138.5513,151.0296,229.3703,161.2214,172.6356,176.4305,158.6264,169.4355,182.916,133.4475,164.335
"SEC24D",8.0308,9.7702,13.8559,13.4937,6.2265,11.4622,7.2273,20.5757,12.1672,7.5221,15.4655,7.2617,8.3409,6.3672,7.987,5.3614
"ABCB9",2.3788,1.8674,2.3406,1.8035,1.5359,2.8754,1.1035,2.0327,2.4046,2.1855,1.9434,1.716,1.5749,1.8964,1.7329,2.35
"RILPL2",15.513,12.0588,17.8357,12.6626,13.0645,12.2925,12.6447,16.697,13.0477,13.7792,13.8396,14.058,11.7323,15.5254,14.017,11.6559
"DHX37",8.553,7.6256,9.9608,8.962,6.6704,9.2213,6.6507,10.3433,8.1403,8.2266,10.4986,7.6708,6.4087,8.5389,8.3731,8.6147
"UBC",296.3433,346.5938,342.4916,350.5214,309.1356,395.2782,276.6369,381.8017,325.3716,343.0085,330.4428,344.407,378.8506,259.2355,311.6226,273.085
"ITPR1",32.6099,26.8148,35.6848,27.5417,26.483,34.4063,25.2616,35.1318,31.8862,32.7471,29.4322,26.5217,30.1103,31.8608,24.893,27.5546
"TKTL2",0.1173,0,0.0972,0.0619,0,0.0711,0.112,0.3918,0.0426,0,0.1175,0,0.057,0.0749,0.1337,0
"PRSS53",0.9642,1.0059,0.9399,1.2728,0.5184,0.8598,1.015,1.0784,0.8241,0.7653,1.0981,1.4453,0.7307,0.978,0.6143,1.1198
"SLC7A11",0.1941,0.2362,1.6529,1.153,0.249,0.3531,0.247,1.6375,0.2585,0.1419,0.2376,0.2664,0.2752,0.124,0.1936,0.2249
"NOCT",14.9047,24.7176,11.8697,17.9373,12.7574,9.9794,18.3161,18.1594,15.3846,25.2222,11.8997,21.4835,16.1825,16.3398,43.5417,21.5179
"ENKUR",0.5869,0.2995,0.7611,0.7275,0.4971,1.0444,0.7671,1.2588,0.4727,0.6197,1.7376,0.2955,0.521,0.44,0.5018,0.4257
"GPR158",0.1041,0.2139,0.1187,0.2268,0.1409,0.2013,0.1491,0.6623,0.2128,0.1976,0.1695,0.1307,0.2278,0.1122,0.1781,0.1195
"LYZL2",0,0,0,0,0,0,0.091,0,0,0,0,0,0,0.1218,0,0
"CACNA2D4",1.2542,1.0577,1.1432,1.3466,0.9956,0.9,1.0475,2.7285,1.063,1.0154,1.9817,1.259,0.5386,1.8956,1.3226,1.1742
"DCP1B",11.6635,11.2975,11.9263,12.7402,10.761,13.1122,12.8551,17.7207,11.8986,11.4606,14.4595,11.0967,11.631,10.9566,10.4742,9.8431
"CACNA1C",4.0373,6.6198,2.7629,6.9478,1.7732,5.7486,3.6429,6.9778,5.3035,4.0642,5.906,3.0889,2.9055,2.9258,3.5514,3.6634
"KCNA6",0.3682,0.2305,0.2644,0.9915,0.124,0.6921,0.246,1.1164,0.6955,0.2484,0.4671,0.1706,0.3759,0.3527,0.6296,0.43
"THRB",25.659,20.1143,21.2846,14.525,19.399,21.355,19.6849,15.5178,18.2997,22.5308,15.4217,18.3635,22.7078,23.1987,17.3746,18.0438
"NGLY1",17.0922,14.9985,15.4528,17.0273,15.3481,13.4605,15.8387,24.6854,18.1389,17.3212,17.8545,17.2713,16.2842,15.1011,14.9342,14.1985
"OXSM",18.8597,16.7618,20.9174,17.2333,20.7935,19.332,17.981,15.5093,21.1468,19.468,16.8261,18.8119,23.6158,19.4744,18.3882,17.0301
"UEVLD",21.3661,18.4002,24.5167,19.9549,18.3578,18.199,20.5867,29.5238,21.3101,18.7592,22.4548,20.0222,21.9476,19.618,17.9461,17.7929
"TMEM86A",32.7226,20.0806,21.3256,23.7433,31.5909,24.0561,26.6882,14.3976,22.9709,27.4836,15.7593,30.9835,32.1914,34.3277,32.5476,27.7075
"C12orf45",5.7743,4.6817,5.1275,5.5983,3.1346,5.1535,5.0857,8.8557,6.2135,4.1152,5.7908,4.6698,4.1316,4.392,5.1227,3.9422
"TMEM263",38.4771,34.1518,44.859,35.2438,24.1773,29.1846,35.1638,54.2757,33.5147,46.5308,44.7152,41.2822,35.9795,38.049,24.9726,22.5822
"BTBD11",9.4463,5.1092,8.6872,6.0355,7.1675,7.5525,3.414,2.3698,5.469,10.7161,4.8156,7.0102,8.316,7.3121,4.4822,6.4885
"UBE3B",26.2489,23.6231,23.0577,23.4626,21.0332,23.146,22.4372,25.5128,25.7188,24.8642,25.3254,20.7137,20.6455,23.6643,23.9002,25.7089
"ANK3",58.3699,62.5705,52.9418,51.8597,59.0026,44.0062,55.9378,53.2698,57.3238,57.1481,50.0813,60.6257,63.548,64.4187,65.2562,58.8497
"IPMK",7.0495,8.7614,6.5625,7.4086,6.4174,5.3873,9.1275,15.697,6.6589,7.4966,8.1538,7.1964,8.1031,6.3768,7.1367,5.5677
"RAD9B",1.3873,0.7528,1.5388,0.7975,0.6459,0.8141,1.0732,2.4147,0.7315,0.8152,0.986,1.7796,1.1095,1.0074,1.3392,1.3627
"PLBD2",18.1173,16.4331,11.8524,21.9548,12.689,14.1608,10.5508,14.5596,16.2979,16.2948,18.8561,12.7235,13.5573,16.9386,18.6329,19.927
"DLG5",14.0056,12.1213,14.1738,14.2389,8.1126,13.9913,11.1746,15.3849,13.2437,12.1985,16.6943,12.5968,7.0206,12.4105,14.7021,17.84
"MAT1A",1.845,0.844,4.8215,1.304,2.3351,1.8847,0.5283,1.0284,1.2682,2.6426,0.4548,1.2712,0.9935,0.6798,1.0436,1.0893
"SLC2A13",23.4608,17.7401,28.3985,14.3659,14.0921,19.5177,17.0173,23.1318,20.0024,20.3184,20.0243,16.4252,15.678,15.1282,13.104,13.1057
"GXYLT1",16.894,17.6397,13.5498,16.3824,12.7922,14.3562,17.42,19.839,14.9153,17.5598,16.2653,14.0634,14.6477,15.3986,17.97,18.6912
"TWF1",39.459,44.4484,69.0736,40.8582,40.761,34.576,46.0496,80.0455,40.6653,43.6697,45.7096,45.8899,47.4367,34.1316,34.4939,35.4419
"DIP2C",74.9983,56.9535,26.4474,58.8439,61.1149,44.0451,71.598,28.6018,63.449,76.4857,31.2351,56.3549,65.0969,79.1954,58.684,76.7212
"EIF4E",8.7463,7.694,10.4879,8.649,7.4426,7.0005,7.8012,13.0111,8.0727,8.1177,8.1445,9.1,7.7743,6.5581,7.7059,6.6735
"MAGI1",43.0148,30.6116,43.5723,35.0596,31.2855,40.0671,35.8668,35.9313,34.0804,45.978,39.3582,36.269,31.0483,34.936,34.5193,42.29
"TEX30",9.9115,10.7132,7.9835,9.5664,12.3088,7.5896,11.2203,12.2599,10.9012,11.5696,7.2944,12.1031,10.3877,9.8036,10.2484,7.7301
"CSNK1G3",25.2724,25.2106,31.6437,30.3959,24.0312,21.1329,27.74,48.775,27.993,26.6483,32.85,24.6222,28.1519,21.5191,27.8689,22.9399
"SRFBP1",22.8329,22.6789,25.0688,23.9628,23.0628,23.7176,23.2611,36.3609,24.5534,22.6663,26.2141,23.1035,23.1592,22.3525,21.4093,20.0242
"AKAP6",10.6132,8.0321,8.1824,8.1513,8.0202,8.2627,7.8126,5.4541,9.0891,9.513,7.5082,6.8558,9.3041,8.1565,7.3029,7.1122
"NPAS3",2.4251,2.4385,1.983,2.0808,1.6963,2.1187,2.3147,3.2632,1.3561,2.1419,2.9932,1.7001,1.6831,2.1804,1.3278,2.1473
"FAM177A1",17.8134,18.9135,22.4956,24.6277,20.007,18.1861,21.5044,26.4902,24.151,20.0847,22.0355,26.479,19.6457,19.7396,19.9134,20.1958
"MBIP",19.9314,23.9876,21.374,20.2866,19.1189,18.2672,20.8581,28.0112,19.7992,27.8873,20.5994,25.7603,21.9566,18.4524,19.7956,19.0355
"MIPOL1",4.6891,3.886,4.7705,4.495,3.5357,3.9614,4.217,6.5957,4.4213,4.1735,4.9325,3.6446,4.2171,3.985,3.1047,3.7147
"EXT2",29.124,26.8938,33.166,29.1037,23.7761,29.5074,24.4643,34.3162,28.3257,28.0686,39.6398,28.0441,31.1596,24.3633,24.9018,23.4136
"TMEM18",11.1873,9.6953,9.1375,10.0475,9.4555,7.9417,8.5799,11.4825,10.7859,12.7006,9.8632,11.2937,10.7102,10.4107,8.841,9.8144
"ALLC",2.5416,0.9623,2.14,3.8313,12.3063,2.9457,4.8127,0.6952,3.4844,7.4672,1.1495,9.2748,2.2719,9.9743,4.7319,2.6333
"KCTD14",3.4503,2.0569,5.3094,2.0821,2.0551,3.5368,2.8619,4.475,3.1034,2.9928,3.8941,2.6219,2.3163,2.3608,2.9033,2.056
"THRSP",3.5435,2.3567,3.0095,4.0696,15.5343,5.2375,3.9952,5.5313,1.0619,2.5998,0.5323,5.8144,4.7158,7.6374,10.6043,3.3995
"NDUFC2",36.64,28.1391,40.8791,22.0784,30.0919,23.3821,30.5302,24.6916,31.0161,32.3694,20.9936,30.9089,38.3154,28.8663,27.2335,26.4583
"ME3",51.2963,29.981,39.8321,33.4174,33.3992,41.8021,29.7566,31.2698,37.738,41.2155,40.7333,31.0516,36.5961,38.9105,31.9275,36.6445
"MSGN1",0,0,0,0,0,0,0,0,0,0,0,0,0.0566,0,0,0
"ADAMTS12",2.9993,3.1348,2.4583,5.5488,2.4066,4.8456,3.0074,7.4535,4.8259,1.7861,6.4411,2.7591,2.0845,2.2404,2.259,2.6286
"NUBPL",14.7987,14.2169,13.3067,12.9041,17.047,13.5477,13.7619,12.9391,14.7376,14.1576,13.5303,13.9559,17.9858,14.2416,13.4031,12.5857
"NEK7",42.3138,41.4197,49.7082,40.6431,38.5298,38.262,48.2681,83.9617,42.4112,41.836,41.6881,42.0826,49.1974,39.8027,33.3751,34.234
"ATP6V1G3",56.6027,32.6469,47.6635,39.7289,98.8497,42.4151,44.033,34.8819,47.4724,89.2574,7.9882,71.5423,52.3498,70.3843,65.5783,86.1224
"FER",18.2605,17.1553,28.347,21.7462,15.6505,20.7633,17.4857,32.1149,20.0988,17.3178,24.7302,17.4437,19.3966,15.2058,16.1692,16.242
"VIPAS39",23.1646,23.8736,23.7653,26.0163,19.702,24.4749,23.7554,28.5529,24.0773,22.331,25.8481,20.191,24.2196,20.5452,19.1566,21.3207
