"","symbol","correlation","pvalue","t-test","group"
"443","CDC20",0.192343847733646,6.65608248147999e-11,6.59167204318998,"CNV-Phosphoproteome"
"444","CDC26",0.0799534096863021,0.00432660665105189,2.85845546177644,"CNV-Phosphoproteome"
"445","CDC27",-0.0164156371220728,0.601407446341987,-0.52254174242667,"CNV-Phosphoproteome"
"446","CDC37",0.0813971263136523,0.00923312794690259,2.60827064175268,"CNV-Phosphoproteome"
"447","CDC42BPA",0.126376719455642,2.40340025657436e-06,4.73605968561593,"CNV-Phosphoproteome"
"448","CDC42BPB",0.118379194753981,1.53597531916875e-05,4.33958166606245,"CNV-Phosphoproteome"
"449","CDC42BPG",0.129189380792056,1.22228649725805e-05,4.39300601725819,"CNV-Phosphoproteome"
"450","CDC42EP1",0.0770528995885984,0.00235385817312908,3.04654481900875,"CNV-Phosphoproteome"
"451","CDC42EP2",-0.0348645683620476,0.20282619822824,-1.27416690006855,"CNV-Phosphoproteome"
"452","CDC42EP3",-0.00895026748122209,0.750657598517773,-0.317841757575748,"CNV-Phosphoproteome"
"453","CDC42EP4",0.0517517466738018,0.0440074023449352,2.01570433400871,"CNV-Phosphoproteome"
"454","CDC5L",0.0374282541610564,0.19232053727162,1.3044708527442,"CNV-Phosphoproteome"
"455","CDK11A",0.120977399423874,2.09461122570173e-06,4.76239390826364,"CNV-Phosphoproteome"
"456","CDK11B",0.105351229540175,0.000109742489374959,3.8795161439958,"CNV-Phosphoproteome"
"457","CDK12",0.291668464374851,8.97761049432843e-32,11.9972341832954,"CNV-Phosphoproteome"
"458","CDK13",0.249106624656669,1.58890758176687e-22,9.92530208596405,"CNV-Phosphoproteome"
"459","CDK14",0.0683180367108033,0.00769134149528771,2.66888671514102,"CNV-Phosphoproteome"
"460","CDK16",0.159342259083502,2.57974932899578e-09,5.99590953692257,"CNV-Phosphoproteome"
"461","CDK17",0.0713173699097671,0.00506737474372825,2.80675111212488,"CNV-Phosphoproteome"
"462","CDK18",0.00330656191542051,0.899579649363776,0.126214371593229,"CNV-Phosphoproteome"
"463","CDK5RAP2",0.15066902910095,3.24647611297721e-07,5.13914095551001,"CNV-Phosphoproteome"
"464","CDK9",0.026303421808459,0.335082068006822,0.964274196619384,"CNV-Phosphoproteome"
"465","CDKL5",0.0237529585833675,0.431484891380631,0.786943540682224,"CNV-Phosphoproteome"
"466","CDKN1B",0.0128039882489371,0.693476208701654,0.394262106579947,"CNV-Phosphoproteome"
"467","CDR2",0.0890917995832404,0.0049399713456298,2.81724111312462,"CNV-Phosphoproteome"
"468","CDR2L",0.0775068181126496,0.0104374026118485,2.56544230480465,"CNV-Phosphoproteome"
"469","CDS1",0.0638738526905391,0.0336707383894094,2.12664693029897,"CNV-Phosphoproteome"
"470","CDS2",0.188698502036792,8.61262491449381e-10,6.19070533115109,"CNV-Phosphoproteome"
"471","CDV3",0.0827574779540948,0.00239480405934092,3.04211634217297,"CNV-Phosphoproteome"
"472","CDYL",0.22108556978596,1.05149031886273e-11,6.88720996786089,"CNV-Phosphoproteome"
"473","CEBPD",0.0320560945175797,0.339735301555983,0.955202990856434,"CNV-Phosphoproteome"
"474","CEBPZ",0.0900250129477309,0.00792136012411305,2.66158157787633,"CNV-Phosphoproteome"
"475","CELSR1",0.0650428392214362,0.0256516645901904,2.23428736443459,"CNV-Phosphoproteome"
"476","CENPC",0.0459206879795688,0.0947528716841945,1.67204011254186,"CNV-Phosphoproteome"
"477","CENPF",0.16058607231048,9.5429793014252e-08,5.37148493919889,"CNV-Phosphoproteome"
"478","CEP112",0.0368705841750397,0.267849042018084,1.10871339169253,"CNV-Phosphoproteome"
"479","CEP128",-0.000487199749039915,0.985826781325898,-0.0177677701724792,"CNV-Phosphoproteome"
"480","CEP131",0.146586035500462,1.14601401963512e-06,4.89240782017275,"CNV-Phosphoproteome"
"481","CEP135",0.022980333002808,0.410462150299801,0.823349736150554,"CNV-Phosphoproteome"
"482","CEP152",0.0620057050622701,0.0266494947705863,2.21918477414387,"CNV-Phosphoproteome"
"483","CEP164",0.0028968442525489,0.916670959277246,0.10464831123118,"CNV-Phosphoproteome"
"484","CEP170",0.101187460085636,5.90706820427648e-05,4.02749058567009,"CNV-Phosphoproteome"
"485","CEP170B",0.270378046856937,1.76681985828045e-24,10.4099670863157,"CNV-Phosphoproteome"
"486","CEP192",0.102148738842343,0.000938327481720839,3.31788214930703,"CNV-Phosphoproteome"
"487","CEP250",0.0861822172417357,0.00165580689795208,3.15235815486812,"CNV-Phosphoproteome"
"488","CEP350",0.110728861365883,4.18840791430107e-05,4.11025503025288,"CNV-Phosphoproteome"
"489","CEP41",0.054146456652754,0.0544752724437281,1.92483226529997,"CNV-Phosphoproteome"
"490","CEP57",0.0660316469542146,0.0237831229356746,2.2635700095054,"CNV-Phosphoproteome"
