"","symbol","correlation","pvalue","t-test","group"
"62","AJUBA",0.420622549125093,1.3435557685965e-52,16.0405582982889,"Proteome-Phosphoproteome"
"63","AKAP1",0.619837187635038,1.61834266692216e-142,28.8384692856198,"Proteome-Phosphoproteome"
"64","AKAP10",0.332480624944931,1.7248366836792e-33,12.4240946352363,"Proteome-Phosphoproteome"
"65","AKAP11",0.453913937616357,3.09383360708851e-70,18.7932843422051,"Proteome-Phosphoproteome"
"66","AKAP12",0.889920283553948,0,77.5294630949739,"Proteome-Phosphoproteome"
"67","AKAP13",0.610425320921135,4.04919348889419e-159,30.3411986079217,"Proteome-Phosphoproteome"
"68","AKAP5",0.27599269630315,1.90195408483536e-16,8.39624453753377,"Proteome-Phosphoproteome"
"69","AKAP8",0.530026051639448,1.93699707297658e-99,23.0420247939485,"Proteome-Phosphoproteome"
"70","AKAP8L",0.504851674858087,8.30128369032811e-95,22.2783489670019,"Proteome-Phosphoproteome"
"71","AKAP9",0.375301750261134,4.79691515605994e-45,14.6380842075203,"Proteome-Phosphoproteome"
"72","AKNA",0.217647128046086,8.29015532350938e-14,7.55876581356065,"Proteome-Phosphoproteome"
"73","AKR7A2",0.384607382898493,8.46990854199593e-49,15.2919177063434,"Proteome-Phosphoproteome"
"74","AKT1S1",0.317273038163132,1.08958046815556e-34,12.6204310643183,"Proteome-Phosphoproteome"
"75","AKT2",0.233539590598686,7.15760548137542e-17,8.464472583977,"Proteome-Phosphoproteome"
"76","AKT3",0.403438194751702,1.21633643717258e-42,14.3211823183089,"Proteome-Phosphoproteome"
"77","ALB",0.67159100005053,5.07722800859496e-187,34.1447178245951,"Proteome-Phosphoproteome"
"78","ALDH1A1",0.719825488351591,6.69182234257247e-164,33.1185111009608,"Proteome-Phosphoproteome"
"79","ALDH3A2",0.512821811107646,3.45281965599241e-59,17.5482607524425,"Proteome-Phosphoproteome"
"80","ALDOC",0.641349391156128,3.73041089364795e-153,30.2778685305385,"Proteome-Phosphoproteome"
"81","ALKBH5",0.473785809547837,1.57327321412111e-77,19.8915141550617,"Proteome-Phosphoproteome"
"82","ALMS1",0.184846625390093,4.99317808389389e-09,5.90008600317075,"Proteome-Phosphoproteome"
"83","ALS2",0.284658101980952,2.13414717489037e-26,10.8617798103892,"Proteome-Phosphoproteome"
"84","ALYREF",0.125149548395683,5.06029527922626e-06,4.58120419033166,"Proteome-Phosphoproteome"
"85","AMOT",0.357227257348978,7.21097113794103e-35,12.7538695453732,"Proteome-Phosphoproteome"
"86","AMOTL1",0.528353805070092,1.97819055501023e-97,22.7886768265042,"Proteome-Phosphoproteome"
"87","AMOTL2",0.393967763909227,3.26024548178222e-45,14.7302937668549,"Proteome-Phosphoproteome"
"88","AMPD2",0.480766079394268,1.34859159627305e-89,21.4674341245613,"Proteome-Phosphoproteome"
"89","ANAPC1",0.242028773225975,1.61304944569242e-18,8.91744086502071,"Proteome-Phosphoproteome"
"90","ANAPC2",0.230176219857259,3.91957606526253e-16,8.25476611132498,"Proteome-Phosphoproteome"
"91","ANK1",0.877737269232087,0,71.4673051771054,"Proteome-Phosphoproteome"
"92","ANK3",0.794092050690888,0,50.7860180906523,"Proteome-Phosphoproteome"
"93","ANKHD1",0.367754032068919,8.2153805767733e-39,13.521275525518,"Proteome-Phosphoproteome"
"94","ANKIB1",0.265612367282076,5.23358186760397e-26,10.7448378817864,"Proteome-Phosphoproteome"
"95","ANKLE2",0.378211669371837,4.70367400014723e-47,14.9836224599685,"Proteome-Phosphoproteome"
"96","ANKRD11",0.20662161416112,2.39015413719354e-14,7.71308170969463,"Proteome-Phosphoproteome"
"97","ANKRD12",0.140830120285421,9.99667541258295e-07,4.91733155252157,"Proteome-Phosphoproteome"
"98","ANKRD17",0.348750386528479,2.09969268178193e-40,13.7530973446401,"Proteome-Phosphoproteome"
"99","ANKRD26",0.11756784443558,0.00199390392848468,3.10305385341383,"Proteome-Phosphoproteome"
"100","ANKRD27",0.262826685574649,1.63540124602501e-19,9.20143584616006,"Proteome-Phosphoproteome"
"101","ANKRD50",0.405082237686134,8.99607013805071e-43,14.3499902089396,"Proteome-Phosphoproteome"
"102","ANKS1A",0.443896805325832,1.5410317014801e-72,19.0511121535908,"Proteome-Phosphoproteome"
"103","ANKZF1",0.588991728898851,5.81954534252501e-127,26.7688104089867,"Proteome-Phosphoproteome"
"104","ANLN",0.553302636896898,5.70409434575289e-107,24.1423429322316,"Proteome-Phosphoproteome"
"105","ANP32A",0.383447333939647,5.77424747751297e-47,14.9868901818127,"Proteome-Phosphoproteome"
"106","ANP32B",0.444628819981267,1.22340941899445e-52,16.1538402083708,"Proteome-Phosphoproteome"
"107","ANTXR1",0.63142221069872,5.54380199187936e-148,29.5841471708943,"Proteome-Phosphoproteome"
"108","ANXA1",0.643150262077535,1.07478143802997e-104,24.9863463114269,"Proteome-Phosphoproteome"
"109","ANXA2",0.666450708609813,1.08569222062807e-177,33.1589678506362,"Proteome-Phosphoproteome"
"110","ANXA4",0.655055041272401,4.02482889950162e-148,30.0196941363664,"Proteome-Phosphoproteome"
"111","ANXA5",0.506694692778664,5.72179102205181e-63,18.0767936482816,"Proteome-Phosphoproteome"
"112","AP1AR",0.139687795894974,8.79039659860919e-05,3.94242092259999,"Proteome-Phosphoproteome"
"113","AP2A1",0.376461063433634,1.68297992236894e-43,14.3783309198068,"Proteome-Phosphoproteome"
"114","AP2M1",0.260385710172479,7.60950857646024e-19,9.02551050442981,"Proteome-Phosphoproteome"
"115","AP3B1",0.342068407412965,2.75092769081351e-41,13.890438506928,"Proteome-Phosphoproteome"
"116","AP3B2",0.392215812138098,3.69019703498084e-30,11.9081533831548,"Proteome-Phosphoproteome"
"117","AP3D1",0.2651245555441,3.38978153122954e-25,10.5637866544241,"Proteome-Phosphoproteome"
"118","APBA1",0.326776647745714,1.7633355501555e-31,12.0122995255537,"Proteome-Phosphoproteome"
"119","APBB1",0.253779882142133,3.18586894194848e-19,9.1152104765199,"Proteome-Phosphoproteome"
"120","APBB2",0.499468745775622,2.43060038580371e-85,21.0730422114306,"Proteome-Phosphoproteome"
"121","APC",0.39801892232365,3.87756783399431e-52,15.8761817879434,"Proteome-Phosphoproteome"
"122","API5",0.356751076802571,2.62735249515178e-43,14.2834963613027,"Proteome-Phosphoproteome"
"123","APIP",0.405072228334155,4.31311851800763e-39,13.6915528961036,"Proteome-Phosphoproteome"
"124","APOA1",0.60621882791101,3.20342391261206e-87,22.3016231577457,"Proteome-Phosphoproteome"
"125","APOA2",0.617458662276901,4.78221479733335e-92,23.0599044990496,"Proteome-Phosphoproteome"
"126","APOB",0.683937493937005,2.46352913161895e-123,27.8893617144615,"Proteome-Phosphoproteome"
"127","APOBR",0.628233773921935,1.3118735921077e-159,30.6839687077868,"Proteome-Phosphoproteome"
"128","APOL1",0.673286763641018,3.8024083836375e-164,32.0011070600948,"Proteome-Phosphoproteome"
"129","APPL1",0.27714618080897,1.45306305054315e-24,10.4399640111653,"Proteome-Phosphoproteome"
"130","APRT",0.388498546526145,2.66312982652796e-36,13.1176372048748,"Proteome-Phosphoproteome"
"131","APTX",0.416631719938988,8.31449119082525e-42,14.22216092999,"Proteome-Phosphoproteome"
"132","AQP1",0.586556873194444,1.24074584907557e-100,23.7563958443391,"Proteome-Phosphoproteome"
"133","AR",0.483999600811126,1.36635197388047e-39,14.1013200909469,"Proteome-Phosphoproteome"
"134","ARAF",0.34579766895291,2.23391382606078e-41,13.9166881202898,"Proteome-Phosphoproteome"
"135","ARAP1",0.44410277396124,1.9405400942525e-66,18.2118500395288,"Proteome-Phosphoproteome"
"136","ARAP3",0.395327605635852,2.52982474281506e-50,15.5773875811803,"Proteome-Phosphoproteome"
"137","ARCN1",0.229556729593694,2.90880721222788e-12,7.07958508741107,"Proteome-Phosphoproteome"
"138","ARFGAP1",0.416582030093989,2.24025632931371e-61,17.3525914838597,"Proteome-Phosphoproteome"
"139","ARFGAP2",0.301771412763318,9.22445579489005e-31,11.8137418412108,"Proteome-Phosphoproteome"
"140","ARFGAP3",0.391894441882435,4.5966416336339e-48,15.1981479915033,"Proteome-Phosphoproteome"
"141","ARFGEF1",0.527737136406102,5.38016262423135e-115,24.7897970899316,"Proteome-Phosphoproteome"
"142","ARFGEF2",0.444170054952926,1.3424135756551e-65,18.0934444056622,"Proteome-Phosphoproteome"
"143","ARFGEF3",0.67489444837389,1.05967261583497e-192,34.7426632473014,"Proteome-Phosphoproteome"
"144","ARFIP1",0.406981950100096,3.13471666186646e-56,16.5454682422344,"Proteome-Phosphoproteome"
"145","ARHGAP1",0.372073857325989,4.64520432508579e-34,12.6380282486951,"Proteome-Phosphoproteome"
"146","ARHGAP10",0.234584385075894,8.10557468644496e-15,7.87895561278382,"Proteome-Phosphoproteome"
"147","ARHGAP12",0.610269879776645,8.06500795790453e-144,28.8240254777592,"Proteome-Phosphoproteome"
"148","ARHGAP15",0.544010097827695,4.54555143770901e-105,23.8304341621931,"Proteome-Phosphoproteome"
"149","ARHGAP17",0.303489920921075,1.53772117890036e-30,11.7720495315868,"Proteome-Phosphoproteome"
"150","ARHGAP21",0.525321332879818,4.42250736424115e-104,23.5410977973971,"Proteome-Phosphoproteome"
"151","ARHGAP22",0.193568901240714,5.49056591416115e-09,5.88934580995878,"Proteome-Phosphoproteome"
"152","ARHGAP23",0.289533046779561,1.0252801887198e-26,10.9399121217416,"Proteome-Phosphoproteome"
"153","ARHGAP24",0.439077553825406,7.24513520323982e-53,16.1642808547324,"Proteome-Phosphoproteome"
"154","ARHGAP25",0.651508450848212,9.10448777647265e-177,32.7578224291241,"Proteome-Phosphoproteome"
"155","ARHGAP26",0.370293111068772,2.62240142116319e-30,11.8788980756065,"Proteome-Phosphoproteome"
"156","ARHGAP27",0.355857650918494,8.18707645173435e-42,14.0219423721466,"Proteome-Phosphoproteome"
"157","ARHGAP29",0.623885055774953,8.8032605950395e-136,28.2016123206717,"Proteome-Phosphoproteome"
"158","ARHGAP30",0.676966878824156,4.65865343810605e-182,33.8072095961741,"Proteome-Phosphoproteome"
"159","ARHGAP31",0.548495424035746,2.04119505915414e-112,24.7103083703513,"Proteome-Phosphoproteome"
"160","ARHGAP32",0.565758965230737,4.62030688599523e-126,26.3868560418125,"Proteome-Phosphoproteome"
"161","ARHGAP35",0.519875954645138,4.00261460089351e-101,23.1501173039259,"Proteome-Phosphoproteome"
"162","ARHGAP39",0.21875842163116,1.18802550745172e-14,7.81450423659017,"Proteome-Phosphoproteome"
"163","ARHGAP4",0.636566565704932,5.128806632519e-152,30.0790133019758,"Proteome-Phosphoproteome"
"164","ARHGAP45",0.677646756437307,5.04925373605128e-182,33.8197878346948,"Proteome-Phosphoproteome"
"165","ARHGAP5",0.497896913867764,2.76594284917951e-86,21.1802503239849,"Proteome-Phosphoproteome"
"166","ARHGAP6",0.428533000461332,6.79819327234237e-59,17.0414551516328,"Proteome-Phosphoproteome"
