"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"TSPAN6",565,156,404,251,234,298,329,374,525
"TNMD",13,3,3,11,9,14,14,10,9
"DPM1",1447,486,902,579,602,553,399,867,1391
"SCYL3",857,469,776,641,573,576,473,724,865
"C1orf112",215,245,223,235,204,183,189,254,183
"FGR",140,135,249,158,137,141,379,164,174
"CFH",629,457,621,562,804,574,1845,1164,1081
"FUCA2",447,283,515,325,236,270,354,335,464
"GCLC",2635,1497,2391,1653,1331,1346,1068,1546,2906
"NFYA",1779,1249,1468,1111,925,1283,1531,1166,1587
"STPG1",1704,537,603,679,568,633,592,716,1178
"NIPAL3",10634,5221,7788,4420,5462,4107,3496,5937,11171
"LAS1L",2043,1484,1825,2155,1400,2230,2384,1456,1454
"ENPP4",4954,2038,2799,2421,2037,1875,1620,2608,5216
"SEMA3F",285,173,201,222,262,346,688,231,206
"CFTR",132,237,228,165,171,92,83,121,148
"ANKIB1",8902,4344,6905,5223,4549,5005,5277,5306,8526
"CYP51A1",454,154,195,134,137,216,177,134,530
"KRIT1",527,372,340,389,344,402,276,426,471
"RAD52",855,1039,598,1019,672,1235,1455,615,565
"BAD",793,200,387,320,161,388,433,170,746
"LAP3",2328,826,1893,1203,1072,1387,2549,1442,2129
"HS3ST1",560,177,340,320,260,332,236,371,503
"AOC1",0,2,2,1,4,4,1,3,3
"WNT16",70,38,71,99,36,65,65,151,154
"HECW1",16202,6069,9193,7838,7419,8881,6298,8351,13138
"MAD1L1",117,92,75,104,86,122,206,67,85
"LASP1",6695,2156,4225,3671,2676,3228,4597,3376,6291
"SNX11",1311,472,770,580,552,649,664,647,1143
"TMEM176A",191,90,174,134,145,222,369,228,194
"M6PR",2818,987,1772,1242,1170,1054,914,1581,2657
"KLHL13",684,237,264,264,264,294,145,301,672
"CYP26B1",1384,499,1682,1252,759,698,1354,758,1922
"ICA1",5210,1899,3224,2562,2081,2740,1529,2366,4156
"DBNDD1",5252,980,1595,1885,1043,2437,1842,1036,3754
"ALS2",7542,4219,4001,4625,4263,4878,3520,5273,6751
"CASP10",317,148,185,223,236,132,615,169,308
"CFLAR",2286,2184,2437,2261,2197,2175,5285,2054,2127
"TFPI",148,107,142,159,150,293,434,182,157
"NDUFAF7",1567,888,886,984,906,1128,727,1087,1292
"RBM5",4541,4374,3037,4006,3331,4248,4380,3723,3837
"MTMR7",4178,1427,2639,1547,1860,1721,864,2048,4109
"SLC7A2",1389,1599,1632,2226,1066,2566,3491,1330,1314
"ARF5",4140,930,2435,1093,1192,1264,726,1392,3851
"SARM1",701,524,613,592,447,707,839,471,668
"POLDIP2",4257,1497,2925,1911,1771,1909,1958,1726,4117
"PLXND1",5725,2518,2316,2619,2458,3622,3883,1554,4605
"AK2",1851,1389,1591,1817,1344,1923,2210,1600,1776
"CD38",414,104,469,589,257,277,730,391,458
"FKBP4",7238,2958,2691,2907,2730,3019,3644,3675,5875
"KDM1A",6403,2584,4176,3289,2983,3512,2589,3523,5983
"RBM6",5295,4790,3416,5710,3621,4923,6295,3609,4535
"CAMKK1",15472,5453,8065,5861,6022,6624,4520,6192,9611
"RECQL",712,342,617,482,396,440,477,567,826
"VPS50",5923,2067,2807,2618,2703,2506,1674,3509,6149
"HSPB6",71,29,33,21,5,48,83,15,34
"ARHGAP33",1821,790,1602,1271,691,1435,2185,918,1430
"NDUFAB1",3740,934,1744,1069,1047,1320,637,1407,3776
"PDK4",1243,2047,3292,2211,1036,1380,3245,7774,1534
"SLC22A16",3,3,2,2,9,3,3,4,1
"ZMYND10",81,47,33,56,23,52,49,52,81
"ABCB5",10,5,1,9,4,3,7,1,2
"ARX",507,133,489,262,171,338,468,224,552
"SLC25A13",610,556,620,476,454,400,430,429,617
"ST7",1211,729,954,971,843,878,849,1041,1000
"CDC27",8647,3061,6043,3979,4209,3838,2233,4798,9144
"SLC4A1",12,11,42,11,16,13,32,3,5
"CALCR",40,6,0,3,10,4,2,6,29
"HCCS",1293,346,669,489,474,472,327,515,1267
"DVL2",1229,773,934,1130,768,990,1305,724,1012
"PRSS22",2,1,0,0,0,0,1,0,1
"UPF1",6110,2837,3612,3241,2933,3847,4888,3613,4864
"SKAP2",3146,1003,1543,1173,1335,1481,591,1716,3338
"SLC25A5",6593,1508,3301,2460,2151,2044,1711,1866,6237
"MCUB",142,79,115,112,93,71,141,173,267
"HOXA11",0,0,0,0,0,0,1,1,0
"POLR2J",603,205,446,273,265,291,374,303,536
"DHX33",2208,988,1500,1238,1025,1174,1140,1196,1715
"MEOX1",11,25,29,31,20,34,53,21,7
"THSD7A",4999,935,1957,2363,1671,2254,1547,1483,3736
"LIG3",2621,1349,1535,1623,1404,1592,1607,1723,2242
"RPAP3",2467,1063,1517,1293,1219,1364,928,1431,2421
"ACSM3",17,18,24,29,23,13,11,17,18
"REXO5",361,116,224,185,133,196,134,172,292
"CIAPIN1",2728,806,1352,1101,1150,1111,771,1250,2700
"SPPL2B",1442,922,1182,1130,855,1152,1752,673,1353
"FAM214B",1694,590,1640,1086,807,1016,1289,783,1597
"COPZ2",130,86,126,98,66,98,145,110,161
"PRKAR2B",8411,2871,5640,3090,3391,3602,1291,4715,7640
"MSL3",2194,869,1220,1033,1009,1073,1113,1029,1963
"CREBBP",9508,5260,6718,6129,4337,6379,8600,4703,7444
"TSPOAP1",15626,5748,10762,10581,7478,12050,14690,7092,13350
"MPO",122,29,207,81,51,64,35,73,125
"PON1",45,37,41,51,58,62,65,49,33
"GCFC2",1427,965,1478,1297,1237,1279,1335,1262,1526
"WDR54",835,362,677,300,318,367,216,341,977
"CROT",1116,366,658,499,476,466,453,567,949
"ABCB4",106,44,83,53,67,70,62,51,85
"KMT2E",11023,6558,9648,7356,5776,7632,7050,7145,9423
"RHBDD2",9012,2509,5245,3147,3899,3318,3159,4526,10162
"SOX8",1830,1551,2231,870,796,913,1412,593,2281
"IBTK",6645,3369,4286,3888,3574,3774,3054,4245,6531
"ZNF195",2194,1385,1762,1712,1411,1469,1282,1553,1890
"MYCBP2",60919,21227,32760,25188,26146,27582,15363,31861,54363
"FBXL3",3947,1613,3163,1882,1653,1816,1642,2279,4211
"ITGAL",44,83,84,46,85,92,377,104,107
"PDK2",2756,866,1825,1217,1244,1194,1335,1414,2379
"ITGA3",2630,1195,1538,1469,1242,1502,1971,1084,1877
"ZFX",3860,1893,2793,3671,2961,2310,3355,3400,3761
"LAMP2",10778,10429,12719,6189,6035,4005,5822,6544,11521
"ITGA2B",200,233,140,344,235,332,267,144,121
"ASB4",195,39,176,56,67,78,94,76,115
"GDE1",4980,1843,3318,1820,2094,2031,1677,2347,4910
"REX1BD",1335,602,965,707,508,883,1031,605,1425
"CRLF1",1850,305,735,591,886,520,1156,893,1390
"OSBPL7",1133,743,531,823,565,941,1251,568,756
"TMEM98",734,1649,736,327,521,259,538,387,741
"YBX2",147,46,49,104,54,153,89,47,100
"KRT33A",0,1,1,0,0,0,0,0,0
"MAP3K14",442,237,281,351,254,445,839,342,401
"ABCC8",3866,2290,2393,3422,2166,2812,3595,1839,2890
"CACNG3",3935,918,1971,1514,1124,1664,923,1167,3583
"TMEM132A",8297,2642,3751,4025,3171,4310,6526,3256,8256
"AP2B1",31500,10433,20725,13494,13895,14332,11881,16816,29939
"TAC1",1048,124,410,204,214,346,91,241,1286
"ZNF263",2136,957,1642,1189,1048,1246,1070,1222,2147
"CX3CL1",6689,1862,3252,3327,2414,2452,3826,2725,6121
"SPATA20",3212,1110,2232,1773,1071,1783,1894,1730,3487
"CACNA1G",4991,1451,2046,1861,1913,2755,3624,1451,3169
"TNFRSF12A",20,42,14,19,36,24,89,10,17
"DLX6",172,45,83,74,49,103,71,64,120
"MAP3K9",13431,3784,7598,7121,4857,7005,4720,5259,11905
"RALA",2239,847,1532,1036,826,1073,1017,1099,2314
"BAIAP2L1",62,76,61,86,73,90,143,56,42
"KDM7A",3332,1542,1609,1816,1924,1874,1615,2001,3350
"ETV1",2676,664,2077,2177,1117,1320,1663,1790,4584
"AGK",3712,1806,2535,1949,1877,1809,1431,2144,3490
"ALDH3B1",97,112,192,137,96,64,189,45,153
"TTC22",51,20,23,13,18,20,32,28,41
"PHTF2",1981,1106,1724,1383,1400,1533,984,1519,2017
"CCL26",2,1,0,0,0,0,4,1,0
"FARP2",2033,1821,1787,1996,1441,1831,2582,1632,1962
"USH1C",314,52,214,103,126,78,136,86,188
"GGCT",910,188,391,280,274,387,158,372,1086
"DBF4",380,228,281,244,207,232,196,217,408
"TBXA2R",22,28,12,14,9,16,34,16,26
"IFRD1",585,447,332,489,391,392,629,567,434
"LGALS14",1,0,0,0,0,0,3,0,2
"COX10",893,412,736,557,427,608,647,463,797
"GTF2IRD1",1197,621,827,879,627,883,1221,553,844
"PAF1",2704,1044,1506,1028,949,1054,992,1118,2636
"VPS41",12105,5007,6900,6038,6417,6149,3828,8244,14144
"ARHGAP44",6162,2149,3394,3249,2550,3119,2897,2775,6468
"ELAC2",3674,1377,2233,1787,1664,1866,1632,1781,3198
"SCIN",148,146,134,44,310,195,265,299,249
"ARSD",555,168,450,537,269,385,593,311,459
"PNPLA4",653,166,483,388,358,328,369,501,678
"MYH13",7,4,6,10,7,8,4,15,17
"ADIPOR2",3067,3850,4202,2054,2021,2116,3299,2585,3822
"CDKL3",137,96,112,126,90,126,128,111,108
"UPP2",249,133,184,272,266,316,277,381,241
"PRSS21",10,1,3,0,11,5,7,0,4
"MARK4",3270,1123,2420,2020,1253,1942,2715,1590,2709
"PROM1",536,201,184,336,260,233,282,185,478
"CCDC124",1182,369,712,471,339,614,738,432,1080
"CEACAM21",19,8,36,20,15,8,19,13,14
"PAFAH1B1",38155,13396,23065,16599,15762,16064,8425,19356,40134
"NOS2",1619,358,520,380,384,388,162,235,687
"DNAH9",964,526,659,608,567,795,843,649,681
"KIAA0100",12253,5233,4774,6654,5348,7499,8114,5533,11638
"SLC13A2",3,2,1,0,0,1,1,3,1
"GAS7",63532,24184,47758,29931,26164,29853,17364,30936,62324
"TRAPPC6A",328,106,325,189,133,179,233,168,374
"MATK",3443,940,1646,1533,1024,1836,1536,1059,3064
"CEACAM7",0,0,0,0,0,2,0,1,1
"CD79B",2,4,2,4,3,3,11,2,3
"SCN4A",17,6,18,15,7,3,5,6,15
"ST7L",1423,679,912,938,739,1013,921,881,1156
"TKTL1",6,2,4,0,8,15,29,6,1
"PAX6",1135,312,682,974,667,854,2035,546,876
"RPUSD1",905,265,615,397,336,399,559,271,917
"RHBDF1",403,275,471,301,261,484,624,300,401
"LUC7L",3057,2687,1937,2930,2365,3327,2923,2317,2290
"CACNA2D2",1522,658,958,937,838,913,1180,759,1339
"BAIAP3",12002,4930,5724,4927,3175,6676,4175,3615,12874
"TSR3",1067,332,649,438,384,436,623,406,1094
"PIGQ",1991,838,1046,1337,1079,1326,2288,881,1737
"CRAMP1",1117,527,700,619,486,734,875,623,845
"TEAD3",96,82,60,69,78,143,248,91,79
"SELE",20,28,88,46,47,29,253,29,11
"DNAJC11",2729,1050,1719,1537,1143,1560,1266,1421,2388
"FMO3",78,39,45,81,33,66,84,38,39
"MYLIP",1327,526,915,612,601,565,401,586,1358
"NOX1",34,16,18,27,22,25,16,25,31
"E2F2",6,2,9,2,1,4,12,10,5
"PSMB1",4783,1858,3744,2383,2171,2489,1924,2519,4925
"SYN1",4602,2075,4612,3349,1963,3192,4923,2624,4502
"JARID2",2531,1570,2166,1847,1358,2105,2633,1519,2035
"CDKL5",27077,9964,18663,13879,12885,14201,7785,14219,32583
"CAMK1G",5098,1489,3691,2258,1856,1788,1566,2817,3830
"CDK11A",61,59,65,80,55,76,99,37,64
"NADK",1972,799,1011,982,873,1153,1559,924,1714
"TFAP2B",5,1,2,1,0,1,0,0,3
"TFAP2D",11,6,31,8,20,7,6,13,7
"DLEC1",142,66,150,110,152,162,195,185,63
"CYTH3",4558,1797,2568,2452,1948,2445,3112,2237,3871
"ADAM22",23261,7775,11310,9396,10209,9525,4607,11039,20100
"SYPL1",1133,597,1001,652,521,527,1037,644,1095
"CYB561",4231,1300,1633,2191,1876,1666,1189,1627,3127
"SPAG9",28670,13411,16765,14010,13068,14487,13885,13020,24416
"CELSR3",8795,3751,5233,5591,3591,5380,5767,3834,6781
"AASS",1534,1525,1976,1743,1196,1501,2368,1729,1488
"PLEKHG6",3,13,11,15,11,23,85,17,7
"SS18L2",770,242,405,266,295,277,219,350,736
"MPND",548,183,260,285,184,282,459,205,490
"MGST1",601,325,673,1289,583,846,1832,1475,676
"CRY1",1056,596,720,639,458,575,691,514,822
"PGLYRP1",90,101,54,152,89,122,160,59,57
"NFIX",14189,4802,9068,6856,4892,6561,10705,5492,10557
"ST3GAL1",2237,1173,1682,1528,1233,1192,2329,1488,2161
"MMP25",54,30,77,43,22,85,176,39,39
"IL32",53,27,16,59,32,52,285,11,38
"PKD1",17115,11105,11730,15679,11150,19719,26013,8206,12244
"MAPK8IP2",16738,5692,11814,8345,6654,8121,9907,8021,17469
"MED24",2922,1585,2560,2029,1520,2011,2617,1748,3102
"RHOBTB2",9746,2165,4853,4012,2702,4356,4342,2943,7988
"HEATR5B",8320,3157,4750,3621,3887,3678,2290,4501,8164
"SEC62",16703,4992,12507,7567,6949,7120,6440,9143,17205
"RPS20",13073,4920,9919,7470,6217,7447,7960,7514,12445
"CSDE1",35550,11749,23603,14657,15411,14236,12353,18577,35411
"UBE3C",7868,3220,5071,3869,3732,3977,3339,3942,7945
"REV3L",6405,3874,4546,6576,4339,6091,6944,5422,5337
"TENM1",3143,1352,2057,1961,1685,2050,1420,2428,4350
"PAX7",527,144,269,164,194,176,202,211,362
"MASP2",278,254,288,304,245,285,252,308,222
"IYD",2,0,5,0,1,0,2,3,1
"FAM76A",973,476,818,675,473,528,493,579,1154
"TRAF3IP3",151,123,138,170,144,128,248,112,93
"POMT2",1434,1071,1092,1125,929,1034,1451,808,1311
"VTA1",4422,1157,2396,1587,1685,1673,784,2145,4388
"MLXIPL",893,582,823,1127,687,1142,1621,611,507
"BAZ1B",10038,4396,6299,4990,4529,4850,5453,5806,9209
"RANBP9",6023,2140,3728,2583,2513,2837,2088,3269,5717
"ETV7",67,15,45,31,23,20,172,18,28
"SPRTN",639,362,508,412,442,403,329,437,632
"EEF1AKNMT",2168,817,1125,853,869,992,776,939,2042
"DYRK4",641,337,421,380,525,429,369,463,634
"ZNF207",6699,4939,5488,5855,5324,5619,5165,6234,6060
"UQCRC1",9163,2642,4746,3067,3320,3224,1962,3341,8856
"STARD3NL",2383,732,1361,989,920,938,973,1141,2256
"CD9",1432,1006,2617,654,617,541,934,563,1590
"HHATL",1501,1068,494,1018,615,644,1383,457,1087
"NCAPD2",1371,898,973,859,670,799,1187,654,1216
"IFFO1",2306,1144,1347,1465,1331,1683,1838,1176,1938
"GIPR",39,639,14,25,46,15,29,12,34
"PHF7",370,226,448,300,138,269,232,232,276
"SEMA3G",1375,206,251,390,1156,258,266,324,1418
"NISCH",17726,8748,11516,12413,11940,13158,12664,13372,16246
"STAB1",1043,540,579,457,1132,1577,938,1717,1114
"FUZ",811,418,339,462,335,474,633,403,684
"SLC6A13",411,241,230,367,144,376,873,221,546
"IDS",7569,2702,5647,4773,3217,4977,5872,4006,7884
"PRSS3",616,139,364,194,254,229,145,285,533
"ZNF200",579,278,426,404,328,369,329,416,549
"CD4",491,145,391,163,266,292,599,259,474
"LRRC23",839,361,367,442,315,459,563,439,592
"BTK",112,44,106,42,143,109,67,84,95
"HFE",128,79,83,69,88,85,183,96,150
"SCMH1",2310,990,1516,1757,1116,1605,1798,1355,2075
"FYN",8621,3530,6228,5012,4061,5400,7016,5696,7206
"HIVEP2",29533,9545,18945,13512,11045,14450,10108,12651,24838
"FMO1",8,3,6,8,2,2,18,3,8
"ELOA",2400,1150,1845,1431,1122,1388,1675,1455,2252
"LYPLA2",1182,366,480,527,466,497,536,472,1011
"CLCN6",7209,2785,4339,4367,3155,3667,3376,3684,7012
"MRC2",649,259,421,227,280,227,551,162,769
"NME1-NME2",0,0,0,0,0,0,0,0,0
"SLC6A7",4190,1670,1865,2552,2251,2114,2347,1990,4100
"TSPAN9",1673,586,1124,718,798,1084,1093,746,1404
"BTBD7",3269,1871,2621,2377,1790,2521,2306,2143,3232
"APBA3",376,289,185,312,233,378,580,264,283
"MKS1",621,507,369,525,438,601,644,463,437
"ABHD5",1198,764,1109,850,899,911,1014,1054,1113
"ANOS1",3072,594,1615,1433,1134,1650,1524,1502,2617
"AKAP8L",2407,1447,1759,1866,1506,2297,2255,1467,1766
"MBTD1",1411,1146,1298,1293,1114,1208,1182,1302,1185
"UTP18",2579,909,1766,1308,948,1271,974,1371,2665
"RNF216",5152,2509,3574,3220,2634,3122,4138,2813,4426
"TTC19",5247,2317,4665,2864,2884,3128,2527,3564,6239
"PTBP1",1313,877,966,1059,756,1141,2437,824,1077
"DPF1",2549,878,1674,1263,1173,1126,1582,1145,2671
"SYT7",14697,5916,9527,10396,7455,8514,11730,7565,14123
"LARS2",3294,1109,1720,1845,1462,1813,2188,1827,3200
"PIK3C2A",8007,3424,5998,8156,5620,5422,8049,5091,7468
"PLAUR",111,86,70,123,76,188,355,112,99
"ANLN",2741,6205,2213,1417,2037,965,1396,1373,2751
"WIZ",3127,1198,1769,1912,1174,2067,3128,1238,2375
"RABGAP1",12232,5205,8293,6740,5901,7049,6180,7059,11473
"DCN",2368,807,1052,1205,1386,1194,1870,1117,2553
"QPCTL",377,145,246,202,185,220,278,180,461
"PPP5C",4208,1511,2605,1862,1691,1940,1829,1922,4590
"CEP68",5369,2430,4253,3060,3011,2966,2507,3553,6049
"MAP4K3",4741,2353,3388,2801,2632,2622,2508,3152,4589
"ZBTB32",134,146,97,215,152,170,280,119,67
"TYROBP",156,45,163,43,126,86,125,105,117
"TMEM159",218,67,211,136,126,99,92,160,417
"GABRA3",3498,971,1922,1346,1471,1247,550,1970,3909
"BRCA1",528,378,398,375,342,368,597,494,519
"ERCC1",2584,891,1211,1051,1005,1256,1214,1060,2108
"CD22",402,1902,797,383,464,235,620,384,522
"SEMA3B",1690,2149,2972,840,961,924,1101,806,1597
"MBTPS2",2235,755,1813,1091,962,964,668,1092,2059
"PRICKLE3",51,42,34,31,35,43,128,25,40
"LTF",39,9,163,48,19,65,89,8,85
"EXTL3",9872,3386,6697,4912,3964,5165,4961,4552,10579
"NR1H4",8,3,4,4,2,1,0,1,14
"ELOVL5",3913,1937,2220,2803,1790,2477,3769,1829,3429
"ALOX5",231,138,454,100,165,301,301,222,188
"KDM5D",5047,3927,2745,1,0,4272,1,1,3903
"CALCOCO1",7161,4297,4531,5079,4540,5432,4923,4571,5723
"UBR7",2858,1060,2024,1186,1364,1281,1009,1713,2741
"MAP4K5",2965,3803,2768,2875,2466,2482,3091,2720,2745
"EHD3",14080,4580,7258,6244,6242,5749,4394,6222,14072
"PSMC4",4402,1512,2925,1607,1788,1732,1121,2022,4493
"MAN2B2",4659,1856,2696,2105,1940,2441,2848,2244,3702
"SLC7A14",9653,3862,6648,4803,5313,3591,1967,6598,11671
"CLDN11",875,1723,1975,290,543,179,380,704,1313
"SLC25A39",1639,758,597,1044,1015,1006,1434,859,1512
"MVP",901,1086,1537,623,677,1214,1961,1061,906
"NUB1",2690,1181,1774,1355,1273,1275,1436,1535,2622
"PGM3",1697,1004,1303,1351,1127,1361,1250,1578,1553
"RWDD2A",1475,637,1172,713,757,744,511,880,1584
"CLK1",3159,4618,2412,4211,2630,3776,5626,3261,3110
"POLR3B",1684,644,640,738,840,720,568,946,1548
"ANGEL1",2381,1512,1542,1654,1542,1552,2110,1615,1889
"RNF14",5734,1941,3637,2323,2626,2422,1497,2734,5984
"DNASE1L1",268,129,277,181,173,249,155,137,373
"DDX11",430,424,100,134,270,449,199,318,134
"HEBP1",488,273,496,305,217,306,339,279,406
"GPRC5A",3,5,7,8,8,114,61,13,15
"MAMLD1",996,564,755,682,486,691,1187,496,713
"CD6",162,52,142,104,54,113,139,79,124
"TACC3",199,160,130,256,221,337,389,171,153
"UFL1",2613,1134,2342,1324,912,1358,1387,1758,2773
"POLA2",107,84,103,94,84,75,152,79,100
"ZC3H3",805,371,615,477,402,529,909,328,628
"CAPN1",5433,1641,2805,1990,2084,2271,2518,2197,4827
"ACP3",15,12,28,12,17,31,23,47,66
"MDH1",39643,9835,18737,9951,13039,11314,3613,15104,39132
"SLC30A9",12121,3283,7596,4468,5044,5150,2937,5442,13307
"MTMR11",315,317,161,454,309,394,624,301,226
"COX15",1964,797,1089,1128,1045,761,964,1453,1967
"CCDC88C",999,212,355,374,327,653,469,204,706
"YAF2",2699,1302,2152,1881,1540,1649,1583,1824,2410
"ZMYND11",12694,4867,9213,6382,5281,6666,5055,6170,12165
"WAS",138,95,196,119,83,128,266,122,105
"DPEP1",10,2,4,4,4,4,13,1,4
"BID",2755,919,1736,1411,1226,1425,1107,1359,2465
"NPC1L1",5,14,3,13,10,27,62,5,2
"XYLT2",1717,660,1056,956,748,1000,1387,820,1397
"RGPD5",24,11,12,14,9,23,25,14,17
"STMN4",7084,3456,5972,3638,3044,4219,2600,4070,7700
"NUDCD3",22875,6905,12695,9438,9088,9943,7909,11150,21196
"ISL1",0,0,1,0,0,0,0,0,0
"CHDH",1797,1083,1406,1300,1144,1351,2576,1149,1297
"IL20RA",163,41,227,51,82,112,183,112,183
"CLCA1",0,2,7,5,4,7,1,5,1
"CLCA4",163,167,105,66,133,42,117,90,119
"GLT8D1",1781,803,1147,979,901,1019,836,1196,1844
"ATP2C1",10665,4275,6166,5376,5074,5216,4811,5982,10879
"IGF1",115,30,51,56,34,48,29,39,95
"SLC38A5",682,279,492,496,390,70,547,258,1026
"RALBP1",7148,2653,4937,3559,3252,3806,2932,3590,7454
"RUFY3",29351,11284,18730,12373,13423,12469,7639,16297,30713
"CNTN1",46385,13092,27580,20156,20498,17539,11503,28880,53542
"SLC11A1",83,181,1199,64,221,461,447,553,79
"WWTR1",783,510,608,545,542,1060,1855,652,759
"AGPS",4224,1557,2611,1973,2023,2072,1460,2663,4465
"CXorf56",1677,680,952,719,693,852,504,948,1552
"ATP1A2",69217,21346,37023,47557,26450,45482,97166,30613,54423
"TTC27",655,422,522,451,376,468,469,523,701
"ZNF582",320,135,177,161,174,195,204,173,306
"VSIG2",221,155,600,155,349,134,207,355,147
"PHLDB1",4134,6477,7362,3184,3890,3046,6548,3329,4565
"MARCO",55,3,2,14,51,2,1,1,148
"CYP24A1",123,27,35,20,32,52,6,30,223
"PRDM11",3279,1390,1977,1855,1378,1954,2063,1424,2556
"SYT13",23950,5185,12717,6618,8107,7441,3252,7556,21737
"SNAI2",54,38,47,46,26,31,52,50,94
"CD74",4587,1861,3774,577,3267,1447,11596,2228,2922
"HGF",905,474,240,994,435,1294,3501,704,462
"ZRANB1",3132,1333,2112,1440,1456,1551,1258,1649,3093
"NCDN",54881,17962,29945,18354,23771,19575,15754,26359,45119
"ADGRA2",849,368,506,600,509,584,1116,356,775
"ZFP64",963,440,741,711,445,564,757,518,1109
"MNAT1",1533,974,1250,1497,961,1322,916,1407,1391
"SAMD4A",4008,2407,2903,3458,1765,4820,9168,2946,4548
"RUNX3",14,14,19,7,16,16,116,5,17
"MRE11",1641,970,1192,1185,1068,1100,1045,1124,1268
"PLEKHB1",12095,7773,9602,6664,5144,6680,10411,6059,10635
"SERPINB1",459,372,652,245,303,388,651,597,565
"CYP3A43",41,43,46,63,71,72,84,52,21
"SLC7A9",26,45,18,64,22,77,99,53,20
"SPAST",3574,1439,2793,1861,1561,1666,1498,1851,3853
"NRXN3",21713,8463,14694,11190,8584,12535,7640,8820,18437
"OSBPL5",1938,897,1225,1012,853,1117,1463,801,1353
"AQR",6443,2521,3789,3594,3206,3452,2851,3997,5922
"CPS1",377,311,217,341,435,362,457,538,355
"C8B",0,0,1,0,2,0,0,0,0
"FHL1",8383,3465,5687,4636,4376,5057,3189,5788,7534
"RTF2",4645,1423,2783,1649,1586,1886,1548,2015,4330
"GABRA1",34596,6346,16099,9931,10173,9421,3480,12298,34333
"NLRP2",867,422,407,473,256,46,148,821,567
"SLC45A4",7852,2374,2598,4295,2975,4174,5155,2961,5359
"RNF10",7346,2810,5366,3632,2993,3892,4148,3566,7057
"ZNF839",689,356,559,471,331,444,483,404,725
"ZDHHC6",1777,789,923,930,833,975,892,1078,1430
"GRAMD1B",19816,6652,10105,10958,9194,10992,9148,9731,17137
"RNH1",3349,1813,2371,1712,1563,1959,2538,1612,3555
"NDUFS1",26533,8507,13608,11165,10629,11823,7223,11946,23774
"RB1CC1",17533,8451,12879,12608,9846,10232,10770,8872,17993
"ERP44",2696,1161,1718,1547,1385,1531,1577,1922,2316
"ALAS1",3557,1184,1904,1353,1530,1284,1212,1661,3814
"BIRC3",152,193,201,189,169,184,671,360,381
"AKAP11",44541,17035,33479,20962,18643,21260,12189,22419,44843
"GLRX2",2647,973,2226,1324,1395,1085,929,1502,3058
"SNAPC1",226,113,168,134,107,188,207,162,263
"DERA",469,216,366,319,262,311,302,389,457
"STRAP",6944,2171,4472,2824,2879,2861,1689,3222,7365
"ABCC2",34,37,34,47,37,37,101,28,26
"DEF6",135,76,169,63,100,124,180,103,133
"PLEKHO1",2907,984,1485,1610,1428,1704,1775,1071,2290
"GCLM",1735,671,1240,1053,968,1022,838,1277,1614
"UBR2",7187,4183,4449,4958,4275,4929,5894,5125,6002
"EHD2",723,324,290,385,329,802,1420,304,566
"DEPDC1",59,24,49,53,38,31,24,62,53
"CCDC28A",1643,665,923,768,766,842,538,1033,1785
"RRAGD",5966,1983,4176,2881,2406,2705,2437,3197,5317
"HSF2",1959,792,1407,967,1021,883,597,1320,2036
"PHF20",6683,2622,4341,3086,2691,3362,2603,3600,6198
"HSD17B6",906,128,368,385,251,352,288,234,621
"NR1H3",478,213,241,272,217,357,622,306,372
"TYMP",145,114,213,157,99,264,475,215,117
"NCAPH2",2608,1278,1756,1455,1230,1566,1656,1528,2885
"TOMM34",3143,752,1033,959,1426,1152,695,1390,2490
"SEC63",5470,2175,4698,2843,2616,2727,2073,3270,5001
"KPNA6",9945,3726,6187,4650,4452,4255,4046,5220,10118
"VIM",3368,1039,2835,2435,1578,2188,4466,1282,3256
"RTEL1-TNFRSF6B",214,210,145,245,221,253,387,144,104
"FAS",355,155,353,357,316,279,430,325,237
"RNASET2",1224,992,1463,1233,973,1308,1375,1025,1016
"CD44",202,375,262,172,166,1058,1931,1314,157
"KCNG1",512,66,120,235,123,202,136,113,530
"AGPAT4",5228,4316,4023,3982,3789,3732,3226,4124,5507
"SLAMF7",5,1,0,6,1,1,48,0,5
"BTN3A1",689,334,248,412,518,333,3346,401,531
"MIPEP",766,337,510,444,438,471,335,492,710
"PRKCH",400,274,413,410,338,324,932,355,436
"INSRR",6,19,6,14,14,9,13,7,89
"IFNGR1",2269,1173,2675,1161,1391,1055,1097,1560,2439
"B4GALT7",1026,423,700,585,486,637,874,476,1032
"SH2D2A",8,5,8,13,11,11,81,18,10
"VRK2",384,475,580,303,228,238,755,242,333
"TNFRSF1B",370,206,427,155,390,268,1051,324,320
"VEZT",6588,2989,4121,4503,3554,4375,3571,4198,7611
"POU2F2",368,257,396,328,328,351,576,276,249
"BRD9",2562,1286,2256,1568,1272,1657,1833,1320,2367
"SNX1",5569,3352,5157,3315,3024,3331,3550,3199,5005
