"","GTEX-Y8DK-0011-R10A-SM-HAKY1","GTEX-UTHO-0011-R10A-SM-HAKY2","GTEX-P44H-0011-R10A-SM-HAKXX","GTEX-RU72-0011-R10A-SM-HAKXS","GTEX-QVJO-0011-R10A-SM-HAKXV","GTEX-R55F-0011-R10A-SM-HAKXY","GTEX-RN5K-0011-R10A-SM-HAKXU","GTEX-NPJ7-0011-R10A-SM-HAKXW","GTEX-WVLH-0011-R10A-SM-HAKXZ"
"IRF5",299,128,223,110,162,191,164,126,219
"LRRC17",189,61,67,94,108,106,98,86,161
"KLHDC10",7120,2658,5029,3667,3600,3621,3206,4191,7344
"NDUFA5",12655,2930,7852,4675,4576,4964,2057,5697,12864
"FEZF1",3,2,5,15,4,6,39,4,7
"OPN1SW",6,12,8,11,6,12,16,6,3
"MRPS12",716,160,276,226,185,240,186,222,601
"MYO1B",4990,1416,2006,2115,1942,2341,1937,1702,3447
"HOXD1",5,3,3,2,4,1,1,0,7
"HOXD3",0,0,7,1,2,0,1,2,0
"MTX2",2919,916,1319,1021,1066,997,534,1340,2724
"CHN1",104859,24339,50376,30752,35598,33614,12499,42553,104403
"GAD1",17031,3262,8620,5165,5083,6896,2003,5101,17603
"OSGEPL1",518,346,376,443,372,387,381,460,428
"ORMDL1",1960,1046,1330,1230,1202,1147,844,1358,1617
"HAT1",1328,733,993,964,721,972,895,919,1077
"HOXD9",0,0,0,0,0,1,0,0,0
"HOXD10",0,0,0,0,0,0,0,0,0
"HOXD11",0,0,0,0,0,0,0,0,0
"HOXD13",0,0,1,0,0,0,0,0,0
"HERC2",23063,10442,15028,12523,11966,11756,10519,12292,20369
"SNRPN",3268,1563,1851,1877,1534,2048,1225,2332,3132
"PSMG2",1475,539,931,615,692,731,597,772,1381
"TWSG1",1046,521,1086,664,592,552,895,593,975
"ARHGAP22",710,641,620,569,491,540,647,385,836
"WDFY4",459,313,409,165,339,412,372,352,456
"EIF2AK4",5367,2214,2958,2637,2535,2827,2784,2865,4758
"MYO5C",1228,764,967,1000,845,996,1088,895,629
"CGNL1",3335,995,2020,2226,2072,2465,5166,2714,2521
"TMOD2",76661,23468,45852,36080,34530,39806,25644,37793,78697
"TTBK2",19718,6393,12112,8243,8292,8482,6115,9365,16033
"ELL3",1,0,1,0,1,0,1,2,0
"CCDC32",556,528,654,707,482,640,419,337,529
"INO80",2782,1515,2091,2007,1550,1969,1884,1696,2561
"ICE2",1838,1443,1710,1657,1443,1579,1765,1854,1658
"DLL4",161,262,256,266,262,353,869,206,236
"ALDH1A2",148,91,165,124,122,102,95,164,319
"MINDY2",6303,2532,3995,4122,3448,4213,4337,4313,5959
"IVD",3397,1999,2283,2255,2181,2867,2812,2455,3060
"KNSTRN",1177,319,614,355,347,412,250,434,1184
"DUT",1799,731,1184,778,750,863,749,1072,1663
"CHAC1",398,144,272,188,136,134,124,144,432
"CLN6",480,426,419,523,345,443,495,366,484
"ARPP19",48788,10967,23373,16381,12645,21764,9541,15145,53551
"VPS13C",19122,14526,14748,14405,14002,14579,15615,15185,18725
"CALML4",7,7,6,8,8,12,3,6,7
"ISLR",605,332,454,469,645,206,261,767,824
"THAP10",583,192,379,214,216,243,150,284,420
"LOXL1",26,24,25,18,17,20,100,33,60
"ACKR4",36,62,55,72,76,64,71,76,29
"ANAPC13",2082,646,1519,913,768,849,565,914,2278
"MBD4",1813,801,1123,892,911,945,894,1136,1691
"COPB1",4150,1777,2521,1997,2051,1938,1950,2466,3998
"PSMA1",713,244,498,316,289,367,278,391,688
"SUMF2",2364,1006,1407,1385,1046,1403,1398,1202,2374
"PALLD",2228,1179,1500,1911,1562,2823,4595,2086,1774
"SPCS3",7638,2497,5015,3200,3400,3018,2502,3997,7957
"BBOX1",712,92,398,512,448,693,591,818,497
"MYOD1",5,2,2,1,2,5,10,3,2
"SERGEF",2529,994,1243,1277,1007,1547,991,1179,2183
"KCNC1",8697,3297,4874,4907,3790,4655,5360,3860,5589
"TPH1",48,51,51,69,55,59,17,70,24
"CSRP3",9,17,10,17,21,16,27,8,5
"E2F8",11,13,8,23,25,21,37,27,9
"DCTD",2518,678,1955,1035,986,1197,1212,1191,2387
"SOX15",170,59,99,70,79,96,158,99,131
"PIMREG",26,27,22,40,32,50,58,23,23
"RPAIN",1273,1136,1025,1230,944,1053,1062,1084,1154
"USP6",102,127,113,139,115,132,138,113,88
"SHBG",55,22,22,26,20,16,48,19,33
"PLD2",1003,416,582,656,559,1026,1659,804,763
"AIPL1",8,1,9,5,7,6,9,2,2
"CD68",2,2,1,3,5,3,12,2,1
"TXNDC17",716,211,378,280,205,328,249,301,664
"ATP1B2",11858,3584,4789,6280,3429,11537,25796,4341,8814
"FXR2",6029,1887,3670,2398,2234,2089,2015,2602,5891
"KIF1C",6733,6808,7012,5521,3314,5083,11852,4095,6042
"MPDU1",1012,390,567,559,448,446,525,469,1087
"PHF20L1",5051,3011,3702,3839,3625,4132,3292,4222,4391
"LRRC6",2396,975,1355,1629,1238,1858,1346,1476,1976
"CCNT1",3646,1464,2544,2105,1846,2007,2035,2476,3661
"PUS7L",2176,1502,2276,2094,1892,2533,1840,2446,1958
"KRI1",740,417,427,364,226,485,530,413,648
"ILF3",9209,4405,6916,5215,4409,5222,6126,4788,7817
"SLC44A2",4045,1553,4013,3117,2518,2688,5585,4035,4120
"AP1M2",18,5,7,6,9,18,8,9,18
"CDKN2D",3230,697,1987,1053,814,1373,890,1062,3435
"MTUS1",4266,4109,5370,3300,3120,3333,5770,3504,4130
"KLK14",20,20,8,33,5,27,42,8,7
"SIGLEC9",11,23,98,24,51,76,116,106,22
"KLK10",16,10,7,16,5,8,12,11,56
"KLK8",0,2,1,0,0,0,2,0,2
"NGDN",1237,558,958,633,566,630,470,735,1255
"RIPK3",33,22,33,7,30,23,40,20,18
"ADCY4",151,103,136,129,227,184,394,119,187
"RAB2B",1706,808,786,915,825,756,803,997,1659
"BCL2L2",13577,4248,7693,6133,4900,5728,5267,5988,13208
"AJUBA",88,51,51,72,46,38,98,21,56
"DTD2",264,96,178,141,124,108,92,146,257
"PARP2",2222,979,1339,1119,989,1166,630,1228,1846
"HEATR5A",1152,786,661,889,743,830,1265,615,930
"FOXA1",1,2,3,2,4,5,3,5,0
"SNX6",2490,1155,2154,1204,1018,1151,1357,1278,2605
"EAPP",1808,559,1402,756,637,767,475,931,2050
"EGLN3",1652,697,1224,1968,925,1201,1621,946,1491
"MIS18BP1",1270,524,950,727,745,789,634,809,1146
"NRL",148,50,118,107,48,101,151,62,139
"RNASE1",2177,1138,3180,665,809,344,819,686,2359
"NEDD8",2263,465,1164,672,715,782,528,961,2378
"DAD1",1766,524,999,801,797,776,1025,961,1843
"TEP1",1210,1008,640,833,1002,1122,2463,859,951
"EPB41L4A",357,300,283,481,359,324,457,312,322
"CDO1",2620,759,1320,950,976,1054,743,1307,2407
"REEP5",27814,8626,15829,9030,10894,10399,4480,12816,29438
"ITFG1",10984,2893,6531,3548,4231,3497,1639,5003,14281
"QRICH2",941,822,377,1110,700,1127,1767,682,544
"FOXJ1",137,33,18,51,31,24,258,50,38
"SEC14L1",9940,3895,5440,4681,4070,8027,8847,5333,7045
"RHBDF2",344,272,726,203,334,349,661,414,425
"AANAT",33,20,40,24,16,32,45,20,40
"ARHGEF6",2788,1315,1782,2246,1711,1909,3338,2358,2269
"MAP7D3",179,97,156,123,133,111,140,138,180
"FGF13",10078,3029,4751,5424,3387,5981,2243,3711,8492
"ASH2L",2694,1157,1984,1379,1108,1355,1070,1464,2512
"TTI2",360,192,222,191,206,213,204,224,338
"ART1",12,3,8,6,15,12,9,9,7
"CHRNA10",29,29,20,39,39,41,66,37,32
"CDKN1C",267,551,456,137,141,139,152,98,464
"SGO1",10,62,18,23,34,27,135,20,5
"RPS4Y1",3553,1136,2172,0,0,1812,0,0,3571
"VCY1B",0,0,0,0,0,0,0,0,0
"VCY",0,0,0,0,0,0,0,0,0
"CDY2B",0,0,0,0,0,0,0,0,0
"CDH15",29,2,3,6,0,4,7,1,5
"KLF16",1334,346,994,554,248,701,989,391,1237
"PGAP6",1160,433,521,605,477,651,970,332,795
"DOHH",1057,501,624,315,302,412,522,392,1053
"MAU2",2577,2240,2339,2312,1780,2270,3232,1815,2358
"SHC2",2764,1563,1526,1751,1358,2420,2486,1029,2100
"PLPPR3",738,187,561,387,204,585,324,191,1243
"INS-IGF2",0,0,0,0,0,0,0,0,0
"ABHD17A",2899,1176,2055,1595,1168,1785,2652,1076,2753
"LBP",3,1,4,4,1,6,14,1,3
"SYT5",5033,1247,3033,2103,1492,2243,1743,1917,5154
"TNNI3",5,1,4,2,2,2,2,0,7
"CBFA2T3",286,203,219,300,126,268,603,150,198
"GAMT",1130,458,832,408,418,597,610,443,1284
"PUDP",406,223,256,364,346,287,323,395,376
"ERMARD",901,585,753,688,667,672,743,746,876
"PHF10",4422,2469,4247,2827,2052,1865,3783,2724,4120
"PRRG3",1587,725,1032,1323,792,1088,1402,1105,1517
"GALNT8",1392,501,661,661,655,781,479,615,1519
"KCNA5",313,128,283,192,157,199,119,176,359
"CRACR2A",172,133,149,135,131,181,159,98,163
"NXNL2",17,10,29,30,12,17,23,12,16
"STARD8",403,295,530,317,276,430,1112,471,438
"FAM155B",314,96,171,139,113,119,199,134,195
"GDPD2",246,84,112,176,140,195,517,217,197
"SAT1",3668,2047,2457,3467,2495,2875,4039,2409,3215
"GNL3L",3723,1553,1716,1932,1512,2163,1822,2082,2382
"SH3BP4",953,848,1063,494,568,569,1229,538,948
"MOSPD2",1351,1094,1172,717,674,626,601,733,1339
"DOCK6",564,574,469,529,487,779,1777,426,526
"ECSIT",2384,784,1013,940,951,1125,1002,1019,2151
"LDLR",1192,1103,325,1105,614,1476,3307,856,1905
"ELOF1",1274,387,747,609,527,616,614,604,1306
"TSPAN16",16,11,15,18,10,16,24,12,7
"ANGPTL8",19,15,20,19,18,23,26,17,13
"PRKCSH",4189,2082,3414,2576,1970,2628,3706,2253,3752
"CNN1",207,45,127,76,320,74,54,53,398
"CDC16",2570,1647,1635,1802,1400,2064,2291,1771,2306
"ZSCAN10",1,1,3,1,3,0,6,3,2
"THEM6",1276,508,791,681,633,749,794,632,1099
"NECTIN2",655,209,476,340,306,389,877,293,658
"APOE",10082,1929,9202,5916,2542,6311,11065,2536,9466
"TOMM40",2618,820,1704,961,811,1025,872,986,2480
"APOC1",107,24,56,63,55,64,62,40,109
"GADD45G",137,56,290,41,51,167,221,156,211
"LRCH2",1253,554,705,882,678,895,859,835,1054
"DPP6",23659,5613,10551,7522,6975,8564,4998,6921,19702
"XPO7",7449,3049,4207,3907,3348,3862,3429,4182,6532
"ACE2",5,4,0,18,7,4,19,14,9
"FAM98C",1192,554,634,694,504,776,960,535,1034
"SAFB2",3477,2601,2274,2985,1993,3140,5866,2172,2477
"RPL36",5344,1517,3355,2598,2010,2691,2777,2948,4968
"ATP8B3",22,10,13,23,29,34,26,25,11
"GDF1",0,0,0,0,0,0,0,0,0
"NCAN",18530,6194,6315,7955,7486,8339,18707,3365,16045
"KIF1A",142695,54131,91486,68722,53375,67061,88094,61744,132797
"GTPBP3",556,270,411,354,217,348,575,248,500
"PLVAP",90,35,93,23,23,53,33,55,76
"BST2",550,174,241,238,248,269,1251,272,408
"SLC27A1",1811,1229,1174,1178,896,1306,2999,888,1527
"NSUN5",673,279,551,275,288,341,284,302,674
"USHBP1",127,85,100,108,91,88,191,71,126
"COLGALT1",1433,887,884,828,716,1079,1567,812,1295
"DDA1",2425,690,1566,1106,796,1198,1353,984,2405
"MRPL34",1124,265,693,390,393,504,481,426,1005
"PGLS",531,230,400,284,242,301,401,257,511
"LSM7",513,191,352,240,197,314,344,243,612
"TULP4",33536,13394,24516,18350,13128,17374,13455,14733,30672
"SNX9",2486,1622,1794,1386,1415,1553,1485,1619,2290
"RTN4IP1",643,327,477,327,347,352,228,379,658
"QRSL1",1240,645,959,744,693,667,658,700,1381
"MTRES1",911,324,491,454,410,435,351,527,836
"RSPH3",2787,922,1710,1600,1320,1562,1172,1523,2449
"MAS1",3248,652,1192,685,844,651,346,843,1984
"ACSBG2",33,27,42,45,33,31,50,26,24
"MLLT1",6946,1629,2877,3014,1924,3596,5262,2228,4621
"FUT5",1,0,2,0,0,3,3,0,1
"BMP15",0,0,0,0,0,0,0,0,0
"AFDN",8193,5550,6351,7250,5572,6572,8399,6999,7628
"ACTN4",10842,4505,4745,4335,4140,5888,5552,3569,8274
"STK33",448,170,303,522,370,390,721,570,395
"NDUFA10",8213,5004,5873,6073,5254,5786,5128,5732,6768
"EPO",5,1,1,3,4,5,5,1,5
"ARPC1B",21,47,21,40,36,31,70,21,18
"CACNG6",38,8,45,14,7,13,21,20,13
"ZSWIM6",2567,1953,2028,1681,1340,1491,1889,1317,2214
"FCHO1",1836,1640,1206,1188,1039,1292,1537,735,1900
"UNC13A",45064,12477,20029,19711,15374,23312,15672,16910,40378
"MAP1S",3532,1260,2654,1552,1221,1651,2282,1493,3084
"KLHDC7B",8,3,4,0,1,2,23,5,1
"PXDN",611,455,392,602,439,682,1076,469,368
"SSBP4",2318,645,1215,1056,683,1428,2025,696,2403
"GDF15",4,16,2,13,3,6,12,6,9
"PGPEP1",2089,1283,1620,1686,1017,1377,2453,1150,1851
"IQCN",194,149,174,211,142,276,266,125,162
"LSM4",3054,731,1799,1096,942,1340,1046,1303,3470
"JUND",4071,1411,3151,1890,965,2114,3198,1231,4633
"HRC",123,32,50,38,50,31,116,52,122
"TRPM4",621,277,616,378,328,381,861,332,564
"OR11H1",0,0,0,0,0,0,0,0,0
"SULT4A1",15693,4345,8970,5376,6859,5715,2671,7323,19532
"ZNF557",1346,788,1090,786,756,814,631,826,1450
"CRB3",5,1,7,4,9,3,9,10,6
"OLFM1",45745,9101,16963,15563,13952,17894,11139,12415,43049
"CAMSAP1",11509,4409,7850,5400,4806,5840,4936,5159,11383
"UBAC1",2679,1004,1584,1246,1101,1458,1434,1172,2358
"SAG",7,5,6,8,8,10,15,8,8
"ZBTB46",1265,562,846,732,605,880,1142,464,1203
"HELZ2",386,332,278,191,196,417,1256,197,293
"SAMD10",387,116,254,215,111,217,287,149,305
"LSP1",42,18,115,26,63,52,174,29,53
"TNNT3",9,9,5,17,18,20,29,16,16
"TNNI2",3,0,0,0,2,2,5,0,2
"COL5A1",874,341,295,394,402,822,580,174,371
"ATXN10",11303,3938,6841,5023,4244,5653,3905,5084,11274
"TUBGCP2",5124,1802,2304,2220,2043,2508,2136,1996,4464
"CALY",4512,1461,2754,1730,1606,2177,1778,1963,4219
"CYP2E1",879,387,632,415,476,568,426,405,712
"PNPLA7",1790,1306,952,1535,1244,1774,2730,1043,1344
"HBZ",6,2,9,2,2,6,14,6,18
"PAK4",553,290,408,291,241,423,673,244,537
"MNX1",0,0,1,2,0,5,3,0,2
"ZNF337",319,297,181,359,309,341,362,324,201
"CEP85",1362,1029,1401,960,858,883,1131,987,1293
"TAF4",895,567,549,605,439,685,1054,394,675
"GATA5",0,0,0,0,0,1,1,0,0
"RBBP8NL",26,0,100,15,6,16,13,5,47
"LAMA5",2721,2028,1491,2152,1744,3620,6818,1475,1521
"OSBPL2",5311,2141,2893,2829,2497,2767,2744,2540,4588
"ADRM1",1191,470,821,478,414,539,455,475,1128
"ASS1",3192,507,1404,1011,809,1033,694,897,3383
"PRDM12",25,11,44,17,16,14,22,8,45
"EXOSC2",1636,869,1044,1034,874,1126,865,1104,1556
"POMT1",2301,1438,1464,1853,1518,1842,2121,1494,2087
"UCK1",2069,764,1360,1230,946,1034,1252,964,1894
"FIBCD1",30,21,55,34,20,10,111,25,84
"PRRC2B",34005,12329,20260,17820,13781,18950,24242,17571,29314
"CHMP2A",2800,884,1763,1045,954,1199,973,1096,2704
"UBE2M",3492,962,2429,1581,1163,1465,1803,1467,3337
"TRIM28",5759,2458,4147,2649,2525,2904,2973,2931,5240
"METTL26",1826,555,1091,614,578,842,583,747,1901
"YIPF2",676,224,300,304,284,309,338,287,690
"ATG4D",817,322,492,358,307,374,417,320,737
"EIF2S3",6083,2192,3965,3361,3339,2896,2615,4777,5945
"TMEM160",767,204,490,217,143,412,357,153,743
"ZC3H4",2826,1266,1817,1431,1027,1635,2329,1390,2411
"NPAS1",387,143,172,276,160,288,407,107,391
"GMFG",166,54,164,53,78,95,113,93,159
"MAP3K10",7961,2101,3980,3663,2297,4323,5129,2285,6777
"ARHGEF16",109,44,56,89,41,82,148,30,71
"LRRC47",3796,1379,2685,1466,1651,1620,1371,1854,4067
"SESN2",1051,409,726,487,343,501,615,437,850
"SMPDL3B",4,20,22,17,22,4,36,21,21
"ATP5IF1",4216,1108,2513,1502,1419,1825,1159,1808,4330
"MED18",446,190,227,195,198,188,199,217,451
"THEMIS2",254,392,386,303,372,220,397,380,404
"CLIP1",10342,5027,7416,7174,5876,7629,8848,7172,8783
"CCDC62",472,270,285,286,183,421,397,220,469
"HIP1R",6577,5067,4464,4086,3952,4309,5590,2734,5883
"ZNF317",2408,1112,1594,1335,1219,1460,1277,1346,2160
"PPAN",298,99,222,133,126,159,205,141,238
"EIF3G",2489,907,1557,1060,995,1052,1106,1263,2455
"ANGPTL6",31,17,27,24,26,29,28,21,43
"SHFL",988,339,693,484,434,592,726,442,897
"DNMT1",3699,2210,2015,2112,1667,2284,2728,1732,2880
"ZNF426",1929,856,1267,1336,1044,1320,1223,1342,1897
"SLC6A8",4892,2553,4120,2686,2073,2872,4250,2275,4042
"PNCK",4321,1444,2586,1738,1800,2319,1713,1961,3483
"DKC1",1401,485,987,630,585,696,631,733,1428
"PLXNA3",993,945,738,1275,821,1340,2329,766,1447
"DUSP9",58,39,90,41,45,135,170,52,76
"MPP1",4303,1432,1907,1513,1941,1478,903,2058,3796
"ZNF331",2815,1576,1991,1712,1469,1864,1537,1915,3079
"ZNF236",4273,2083,2718,2795,2000,3278,2875,2294,3620
"SLC7A10",501,85,126,206,136,390,446,72,472
"LRP3",5664,1302,2662,2548,1632,3179,4083,1783,4631
"C12orf65",984,436,812,649,407,532,635,503,956
"NOL11",1515,747,829,755,751,796,669,946,1459
"UBE4B",6303,3953,4257,4190,3609,3948,4197,4376,5754
"CASZ1",57,50,97,55,42,77,153,66,73
"PKDREJ",59,93,141,61,88,51,64,101,73
"HSD17B3",2,7,4,0,10,0,2,0,4
"NUTM2F",1,0,2,1,5,7,13,0,4
"HABP4",6923,2362,4332,3051,2567,3382,2386,3233,6616
"FBP2",0,6,8,5,2,3,6,3,2
"SLC35D2",84,175,130,67,77,51,129,91,75
"PRRG1",1476,1285,1707,774,758,698,733,840,1572
"UBA1",14531,5717,7871,7313,7024,6288,8332,7663,13828
"RGN",1221,452,850,561,699,639,753,897,1158
"POLN",170,192,82,305,176,331,408,147,87
"PPIL4",3753,1542,2702,1823,1706,2189,1584,2479,3288
"ULBP2",106,33,62,82,30,38,53,53,108
"AKAP12",32949,12095,18318,18139,14929,19979,13474,16906,33169
"SYNE1",93903,36091,48968,52426,47240,62397,60547,48149,73424
"ULBP3",130,96,105,96,59,117,137,102,127
"LATS1",3501,1951,2850,2623,1856,2528,3132,2438,3190
"EPS8L1",19,25,10,26,22,29,45,13,13
"LILRB2",27,14,59,18,29,21,80,11,33
"AAR2",917,416,753,524,449,495,551,524,872
"TTLL9",154,148,194,142,159,174,299,183,148
"BPIFA2",0,0,2,0,0,0,1,0,0
"RBM39",11546,7602,7358,8882,7343,9271,8934,9551,9882
"COX4I2",32,9,20,19,14,11,36,5,27
"BPIFA3",0,2,2,5,2,8,1,0,1
"ZNF341",433,307,193,341,218,343,493,250,350
"GGT7",3548,1708,2080,2128,1909,2229,1811,1817,2881
"DEFB118",0,0,0,0,0,0,0,0,0
"ACSS2",1733,1438,962,1132,1088,1193,1229,997,1700
"EDA2R",49,72,17,30,66,41,74,37,26
"ARHGEF9",24800,7698,15530,11145,10485,12053,6716,13440,25131
"C1QL1",289,87,228,144,124,277,254,159,382
"GFAP",98530,84266,34864,114571,108069,139701,269094,222814,63598
"PYY",12,5,12,8,6,6,10,5,2
