"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"TNRC6B",10379,10663,14685,11867,6923,11028,10034,11203
"SGSM3",49,25,27,44,36,49,31,29
"IFT27",824,959,1383,1082,755,961,1093,1348
"PVALB",227,57,139,50,457,98,15,94
"KIAA0930",5236,8341,10689,10621,8378,9147,15885,8774
"NCF4",192,180,209,391,175,53,186,39
"CSF2RB",187,205,334,506,280,80,264,85
"SLC25A17",590,470,555,497,302,438,588,563
"UPK3A",24,4,6,11,1,4,7,8
"FAM118A",886,527,787,988,518,1292,523,650
"KCTD17",700,964,1706,2010,1047,1487,590,1889
"ST13",5486,6267,8938,8486,4671,6191,10099,6755
"IL2RB",43,17,77,82,0,6,12,9
"RBX1",1105,950,1307,1503,915,1076,1572,1264
"EP300",7380,5990,6731,4485,2429,4080,5373,3974
"L3MBTL2",1244,1714,1774,1671,1183,1585,2696,1770
"CHADL",609,2301,1019,1168,425,679,3818,470
"RANGAP1",3991,4673,5186,5908,4315,5743,4901,6549
"ZC3H7B",6059,6278,7891,6428,7027,6666,6897,6754
"PHF5A",486,408,424,567,317,419,780,495
"ACO2",3520,5087,6834,5641,4989,6145,4368,6076
"POLR3H",636,793,1260,570,626,785,779,895
"TRMU",1747,1074,1326,1375,1185,1184,1379,1330
"PMM1",583,479,682,693,522,629,376,715
"DESI1",2111,2204,3151,2436,1925,2392,2634,2728
"CERK",2380,1863,5437,3107,2928,2665,1580,2861
"BRD1",2242,1381,1834,1662,965,1331,1582,1464
"ZBED4",1490,1141,1363,1124,678,931,1245,979
"MLC1",3319,6553,14239,10074,5800,4971,3722,7027
"HDAC10",51,14,25,47,19,25,30,22
"KCNK10",597,1335,1445,1050,1023,1306,846,1418
"ABHD4",698,1026,949,692,276,331,772,406
"KHNYN",1888,1419,1794,1860,856,1032,2321,995
"FKBP3",863,957,1260,1340,1280,1388,1161,1554
"SDR39U1",132,117,135,179,108,125,189,113
"CTSG",3,4,3,0,3,2,3,1
"GZMH",23,4,30,21,5,3,9,2
"GZMB",18,4,38,79,7,4,12,3
"RBM23",2121,1818,2898,3221,1762,2223,2068,2678
"PRMT5",468,376,474,485,318,454,417,492
"COCH",93,103,99,199,107,183,33,227
"AP4S1",1459,1091,1414,1574,1369,1529,1166,1866
"POLE2",242,98,115,109,110,93,129,129
"VCPKMT",282,211,301,304,220,339,268,383
"SOS2",2511,3049,3733,3609,2073,2659,5225,2910
"CDKL1",698,765,1029,829,799,939,749,1329
"NIN",4263,6662,9742,9881,6294,7496,7063,9673
"PYGL",978,669,756,1334,607,391,693,390
"TRIM9",4384,8121,10157,8908,8517,8734,5927,11702
"PSMC6",2103,1835,2512,2961,1861,2347,2505,2934
"GNPNAT1",350,239,324,358,171,313,232,347
"DDHD1",2987,3791,5032,4561,3021,3945,4169,5295
"CDKN3",97,40,59,74,75,68,22,130
"CNIH1",1168,1318,1908,1750,1044,1502,1790,1673
"CGRRF1",421,442,784,803,474,493,643,681
"ATP6V1D",2164,2664,4175,4496,2663,3933,2329,5553
"CCDC198",78,59,34,27,24,36,109,59
"PLEK2",37,17,47,115,22,18,31,21
"PIGH",425,511,523,651,388,501,726,582
"LRRC74A",23,42,90,64,8,27,52,19
"PSMA3",1514,1177,1576,1727,923,1223,1594,1330
"VTI1B",1268,1705,2333,2515,1270,1971,1590,2205
"TIMM9",241,254,284,325,170,226,249,263
"GSTZ1",1027,885,802,857,474,895,1344,593
"KIAA0586",1421,1525,1967,2005,1239,1535,2171,1968
"TMED8",2299,2875,4537,3797,2958,3863,2676,4214
"SAMD15",119,136,273,252,133,204,73,281
"AHSA1",1897,2011,2731,3210,1978,2573,2897,2741
"DAAM1",2610,2021,3564,3158,2014,2367,1452,2860
"ISM2",15,17,19,14,17,17,17,19
"SPTLC2",6068,9318,6241,5767,2649,5541,16214,5707
"RIN3",547,650,864,734,245,257,567,274
"LGMN",5216,1619,2478,4411,976,1358,1303,1668
"ALKBH1",358,288,376,441,225,319,379,385
"SNW1",1408,1279,1540,1792,1020,1222,1946,1404
"CHGA",5443,2608,7777,3849,7116,5275,533,4704
"ITPK1",4941,7677,9930,6950,5385,6734,6850,6472
"DHRS7",1112,1055,1309,1709,860,987,1265,1056
"PPM1A",3905,4118,5978,5208,4061,5570,5245,5619
"SIX4",320,50,135,105,161,115,32,104
"GALNT16",690,1349,2068,1807,1044,1573,312,1855
"ASB2",43,92,208,183,261,171,37,217
"CEP128",678,595,669,600,480,493,911,687
"ERH",667,643,843,1045,520,791,837,803
"HIF1A",3548,3027,4105,5791,2396,2998,2742,3129
"SUSD6",1933,2591,2955,2805,1036,1700,2623,1645
"SRSF5",6096,7919,9802,10160,7719,8695,15178,10145
"SLC10A1",138,85,163,175,137,170,135,75
"EIF5",8695,8063,13638,12203,6972,10802,10777,11653
"SERPINA4",0,0,2,0,0,0,0,0
"SLC8A3",502,963,1336,1038,1329,1519,322,1747
"DICER1",6478,10342,10228,9624,5259,7672,18724,8499
"ZFYVE21",1276,1347,2206,2152,1688,1848,1397,1925
"MTHFD1",2693,2103,2850,2607,1674,2185,2040,2584
"TCL1A",1,1,0,6,6,2,0,0
"ZC3H14",3070,2854,3977,4082,2746,3305,3164,4045
"TELO2",815,589,714,749,440,535,640,565
"PCNX1",5738,7215,9648,8941,5667,8362,7600,9661
"BDKRB1",34,9,14,5,1,3,0,8
"GSKIP",473,482,669,709,369,690,493,903
"VRK1",488,390,596,638,665,614,543,864
"PSMC1",755,693,984,1086,645,893,739,945
"PAPLN",1043,975,2115,1305,921,1142,684,1308
"RPS6KA5",1900,2751,3443,2680,1785,2533,4403,2819
"PPP4R3A",3216,2146,2934,2714,1684,2160,2762,2342
"C14orf93",317,178,264,238,137,162,262,149
"PSMB5",1650,1900,2527,2977,1712,2412,2756,2653
"YY1",3423,3291,4299,3946,2010,3184,3748,3687
"ACIN1",5383,4881,5977,5322,3004,3792,5675,4105
"CCNB1IP1",956,500,825,713,746,783,699,934
"TRIP11",4163,3235,4819,4381,3116,3324,5059,3854
"APEX1",1874,1415,1901,2236,1054,1519,1667,1550
"PABPN1",479,539,771,925,588,603,694,733
"EFS",431,1673,966,1162,498,895,3139,675
"ARHGAP5",8554,10910,19252,13694,11017,13289,14218,14105
"CINP",971,1283,1569,1458,942,1412,1769,1515
"DHRS2",17,28,22,32,26,16,14,26
"SRP54",2545,1585,1950,1832,1334,1673,2488,1926
"CPNE6",678,1792,3323,4337,939,2358,531,3399
"CHD8",7550,7181,8702,7956,5003,6981,7324,7525
"PCK2",730,348,346,438,183,265,237,252
"PRORP",467,317,417,402,280,281,350,365
"DCAF11",2112,2089,3063,2981,2242,2862,1847,3493
"PSMA6",446,236,251,319,193,272,252,243
"NFKBIA",2971,2121,3159,1942,2704,1818,2894,2250
"EMC9",149,127,216,284,170,228,95,205
"PSME2",1027,553,916,1337,530,617,682,756
"BRMS1L",375,387,497,543,307,525,402,601
"REC8",411,558,525,524,313,388,553,350
"TM9SF1",115,46,89,94,40,49,66,49
"SEC23A",3514,2006,3365,3289,2188,2797,1506,3405
"GMPR2",1530,1688,2183,2345,1433,1853,1895,2164
"PNN",2747,2303,2913,3563,2319,2478,4253,2920
"RABGGTA",690,499,760,783,494,498,531,576
"NFATC4",627,355,1178,1106,577,641,336,504
"PLTP",3222,2108,4014,3988,963,1096,1040,973
"PCIF1",1412,1287,1194,743,542,788,1093,673
"GSS",1243,1105,1459,1351,828,1191,1139,1476
"MMP9",32,67,26,125,528,40,47,31
"VSX1",52,104,77,74,63,80,131,146
"TRPC4AP",4408,4919,4851,4614,2425,3668,6903,4090
"PYGB",15140,9978,11851,9446,7309,10055,7347,11586
"ABHD12",2263,2841,3319,3365,1869,2456,3966,3079
"PROCR",153,82,156,150,31,63,108,48
"GINS1",391,103,156,163,107,149,79,197
"NINL",1333,511,1062,945,588,569,739,710
"CD40",390,172,253,398,132,87,150,102
"UQCC1",2445,1894,2567,2533,1963,2187,1949,2760
"ZMYND8",7543,4273,6561,4604,3864,4877,4613,5010
"SGK2",375,1639,625,621,274,581,2641,523
"IFT52",489,559,790,694,375,599,720,680
"MYBL2",1386,22,9,24,35,9,5,5
"R3HDML",1,1,1,0,0,0,0,0
"HNF4A",322,20,20,23,33,39,7,41
"NDRG3",2862,3886,6816,5363,4444,5949,3268,6891
"SLA2",97,53,73,80,72,63,84,43
"RAB5IF",130,44,33,66,36,40,40,25
"NFATC2",648,801,968,761,113,293,731,209
