"","C3N-03446","C3N-03450","C3N-03452","C3N-03026","C3N-01197","C3N-02684","C3N-01191","C3N-01365"
"TSPAN6",812,449,790,621,278,351,491,389
"TNMD",10,13,17,9,5,7,8,8
"DPM1",689,478,528,708,474,616,613,638
"SCYL3",853,755,958,923,537,775,1038,799
"C1orf112",481,386,404,446,230,217,682,250
"FGR",197,161,494,540,518,198,246,250
"CFH",3998,669,2144,5435,612,452,724,699
"FUCA2",835,647,805,891,342,493,933,467
"GCLC",1695,3334,2169,2141,1243,1904,4789,2069
"NFYA",1078,1335,1714,1283,836,1152,1842,1350
"STPG1",361,574,733,559,449,598,664,543
"NIPAL3",4816,11117,9306,7029,4314,8239,19219,7077
"LAS1L",1518,1884,2236,2022,1644,1776,2523,2198
"ENPP4",1308,2280,2197,2518,1302,2024,4817,2009
"SEMA3F",336,167,202,119,125,87,59,87
"CFTR",207,799,449,340,252,406,1281,473
"ANKIB1",4215,6934,7778,6493,4453,5934,12801,6339
"CYP51A1",359,261,258,241,184,296,328,253
"KRIT1",303,260,325,381,285,328,465,292
"RAD52",852,800,950,1044,752,776,1457,851
"BAD",333,254,369,434,220,303,209,324
"LAP3",1920,2457,2770,3258,1335,1736,2473,1630
"HS3ST1",332,226,420,554,286,275,374,243
"AOC1",34,10,15,18,0,9,11,3
"WNT16",19,42,27,75,41,85,37,107
"HECW1",3076,2865,4362,3117,5403,5712,694,6345
"MAD1L1",174,104,126,102,98,78,120,67
"LASP1",7762,2936,5136,4674,2017,2871,1894,3093
"SNX11",643,681,916,990,543,666,968,785
"TMEM176A",218,395,375,441,139,205,238,184
"M6PR",1760,1876,2750,3099,1233,1954,1990,2060
"KLHL13",137,296,446,714,138,316,232,375
"CYP26B1",595,692,907,1009,653,1275,161,1565
"ICA1",2767,1065,1978,1649,2291,1878,580,2638
"DBNDD1",517,608,935,878,720,889,286,1082
"ALS2",2715,3112,4510,4257,3766,4230,2753,4836
"CASP10",1240,426,725,783,291,250,462,230
"CFLAR",8214,4449,6126,5495,2823,3389,5136,2697
"TFPI",5454,277,529,580,108,102,156,115
"NDUFAF7",793,674,1027,1075,879,981,787,1180
"RBM5",3522,4421,5022,5534,3640,4017,7570,5315
"MTMR7",1011,1948,2168,2286,1289,2221,2482,2739
"SLC7A2",2275,1263,4025,3499,1086,1207,1076,1416
"ARF5",1113,1122,1685,1795,1157,1470,862,1876
"SARM1",620,601,740,667,421,584,412,593
"POLDIP2",2086,1829,2465,2286,1573,2111,1574,2344
"PLXND1",8813,4967,5292,4215,1125,2241,3880,2318
"AK2",2998,2503,2957,2883,1810,2019,3865,2189
"CD38",362,716,823,629,168,234,1022,342
"FKBP4",2082,2185,3255,2814,2379,2631,2395,3085
"KDM1A",2355,2744,3886,3886,2714,3474,2362,4228
"RBM6",4148,3333,5447,6065,3637,3858,4829,4552
"CAMKK1",3901,3109,5675,5945,3807,4937,508,6557
"RECQL",894,642,868,1123,445,525,1054,566
"VPS50",1845,1944,2597,2713,2054,2572,2116,3303
"HSPB6",44,39,39,20,17,18,21,11
"ARHGAP33",611,909,816,659,443,742,986,780
"NDUFAB1",875,842,1399,1541,1035,1343,790,1585
"PDK4",2828,7665,2484,1537,1502,2415,12593,3620
"SLC22A16",5,12,13,8,3,6,35,7
"ZMYND10",69,29,86,69,32,28,39,54
"ABCB5",12,9,26,37,10,5,8,11
"ARX",97,122,288,202,145,177,36,197
"SLC25A13",1453,1818,1446,1377,536,845,3222,769
"ST7",1126,572,1024,854,822,851,437,980
"CDC27",2641,2956,4369,4061,2632,3801,2903,4688
"SLC4A1",4,4,30,17,34,3,18,13
"CALCR",1,6,12,41,1,13,5,19
"HCCS",296,339,484,483,295,419,236,495
"DVL2",824,996,1087,1022,859,757,1348,806
"PRSS22",1097,1,2,3,1,0,1,1
"UPF1",3595,3617,4237,3710,1952,2987,3755,2621
"SKAP2",1052,1061,1307,1822,643,1444,1048,1411
"SLC25A5",2639,1705,3038,3066,2206,2194,1925,2449
"MCUB",281,248,398,476,64,201,241,193
"HOXA11",1,3,0,0,0,0,0,1
"POLR2J",448,383,531,496,284,310,394,387
"DHX33",947,969,1449,1211,738,1231,768,1179
"MEOX1",16,10,13,7,11,15,10,20
"THSD7A",1512,1709,3651,2994,1879,1774,935,3107
"LIG3",2505,2162,2525,1899,1428,1958,2246,2058
"RPAP3",860,937,1495,1257,736,1065,902,1245
"ACSM3",190,78,77,58,34,58,93,45
"REXO5",298,165,221,259,142,179,88,250
"CIAPIN1",1182,910,1288,1216,986,1198,826,1413
"SPPL2B",963,693,901,1035,800,852,995,1002
"FAM214B",1080,1617,1526,1593,816,1073,1652,1152
"COPZ2",318,154,397,443,110,182,245,138
"PRKAR2B",948,1413,2139,1944,1406,2406,403,3134
"MSL3",771,979,1461,1371,874,1054,1024,1235
"CREBBP",6254,5547,6863,4147,2458,4133,3966,3507
"TSPOAP1",3378,4382,7475,8735,6361,9945,1321,11783
"MPO",30,47,98,88,74,70,38,68
"PON1",244,77,80,62,56,59,77,61
"GCFC2",609,842,969,936,562,840,1044,911
"WDR54",332,570,541,478,368,521,653,655
"CROT",374,500,850,936,376,438,489,716
"ABCB4",97,239,171,320,90,80,132,124
"KMT2E",6466,6441,7750,5868,4569,6438,8011,6681
"RHBDD2",2442,3591,5608,5697,2343,5069,1761,5950
"SOX8",1259,4771,2087,2568,1189,2220,9872,1913
"IBTK",4321,3370,4141,4407,2802,3633,4950,4098
"ZNF195",1767,1593,1639,1426,1157,1440,1897,1685
"MYCBP2",15161,18281,26757,27613,18722,28173,12181,34660
"FBXL3",1707,1380,1777,1914,1057,1552,2033,1724
"ITGAL",206,331,482,951,135,97,531,80
"PDK2",783,1258,1637,1641,960,1273,972,1703
"ITGA3",3952,994,1942,1798,1084,1295,276,1505
"ZFX",1728,3135,3154,2894,2960,2185,4609,2410
"LAMP2",7088,18342,13798,14035,7035,10655,37470,9775
"ITGA2B",99,83,117,105,223,131,101,123
"ASB4",125,102,113,123,83,87,249,147
"GDE1",5450,3020,3120,3591,1641,2615,3539,2993
"REX1BD",611,612,897,1097,707,770,630,779
"CRLF1",1099,304,956,694,548,391,110,594
"OSBPL7",1553,719,774,706,600,587,770,622
"TMEM98",1157,3474,1944,1485,758,1259,6817,1138
"YBX2",17,25,50,40,50,38,18,48
"KRT33A",0,0,1,0,0,1,2,0
"MAP3K14",620,363,530,590,168,243,271,261
"ABCC8",1263,1201,2253,1274,1757,2180,585,2733
"CACNG3",257,650,989,940,463,1137,69,1443
"TMEM132A",2290,3165,5663,5931,2322,3097,897,4043
"AP2B1",10399,14835,24053,13824,7396,16272,8379,16077
"TAC1",139,104,682,204,218,303,20,436
"ZNF263",1270,1117,1422,1526,1059,1292,1522,1633
"CX3CL1",1241,1643,3258,2459,2663,2061,420,2602
"SPATA20",2217,1028,2379,2388,1559,1593,856,1541
"CACNA1G",1165,602,2133,869,749,1060,88,1062
"TNFRSF12A",927,78,142,219,31,39,86,46
"DLX6",53,25,112,48,50,50,6,65
"MAP3K9",4413,2150,4241,2549,3762,5145,420,4891
"RALA",854,1040,1507,1314,570,1040,1151,968
"BAIAP2L1",2283,123,158,146,69,105,140,74
"KDM7A",3032,1457,2826,2281,1589,1781,1896,1864
"ETV1",1137,984,1116,1502,1183,1769,914,2067
"AGK",1598,1651,2173,2262,1409,2057,2031,2346
"ALDH3B1",3496,341,413,687,151,154,417,144
"TTC22",122,20,26,41,8,12,0,19
"PHTF2",1584,1350,1430,1540,832,1117,1735,1366
"CCL26",25,4,2,3,0,3,2,4
"FARP2",2199,2485,2400,1867,1354,1911,3170,2110
"USH1C",409,874,842,341,69,438,2651,434
"GGCT",240,170,280,359,188,316,134,403
"DBF4",405,157,192,234,171,201,134,301
"TBXA2R",36,28,40,34,7,16,12,16
"IFRD1",550,509,561,515,299,388,607,433
"LGALS14",0,0,0,1,1,2,0,0
"COX10",562,416,725,519,473,448,377,604
"GTF2IRD1",962,571,909,732,512,558,824,691
"PAF1",2238,1471,1815,1853,1131,1529,2626,1508
"VPS41",4475,4735,7016,7082,4793,6813,5104,7729
"ARHGAP44",2022,1184,2493,1810,1990,2127,430,2457
"ELAC2",1692,2119,2742,2386,1508,2034,1788,2643
"SCIN",999,1517,1314,3109,62,303,1487,196
"ARSD",1103,564,972,1019,420,510,555,474
"PNPLA4",295,420,537,518,323,378,287,495
"MYH13",8,1,4,4,8,12,0,10
"ADIPOR2",3682,6968,4941,3629,2211,4966,16597,4566
"CDKL3",61,77,96,73,70,101,95,86
"UPP2",94,207,331,389,156,231,87,323
"PRSS21",3,2,13,10,4,4,4,1
"MARK4",1477,1090,1602,1228,796,1199,717,1282
"PROM1",1892,489,575,418,346,406,447,386
"CCDC124",394,479,579,740,398,471,451,573
"CEACAM21",701,71,69,77,21,22,80,24
"PAFAH1B1",8907,12219,19088,16438,10090,17154,12296,19274
"NOS2",114,134,269,105,201,218,92,315
"DNAH9",630,558,1157,905,446,701,266,820
"KIAA0100",7511,5953,9061,8159,4693,7168,5859,7083
"SLC13A2",9,1,1,2,1,0,0,2
"GAS7",14934,31588,32891,22035,16024,29661,32380,28821
"TRAPPC6A",783,222,250,297,195,278,468,262
"MATK",467,409,894,895,1271,950,199,1279
"CEACAM7",92,0,0,0,0,0,0,0
"CD79B",9,11,12,14,5,6,3,4
"SCN4A",37,16,49,30,15,14,10,17
"ST7L",628,704,950,1062,749,867,1037,940
"TKTL1",5,8,7,18,1,4,7,7
"PAX6",384,767,1599,922,619,680,559,788
"RPUSD1",439,316,484,490,322,382,328,488
"RHBDF1",1357,375,520,539,243,278,296,354
"LUC7L",2925,1947,2442,2727,2109,2333,2491,2537
"CACNA2D2",452,247,621,365,462,447,102,469
"BAIAP3",784,2571,4635,4672,2067,3846,763,6768
"TSR3",658,652,754,728,430,602,685,567
"PIGQ",1034,901,1418,1203,799,1031,639,1089
"CRAMP1",839,596,904,592,329,586,482,529
"TEAD3",289,95,207,141,74,59,60,77
"SELE",66,28,51,34,312,29,43,36
"DNAJC11",1176,1314,1647,1387,1042,1398,1125,1509
"FMO3",61,50,87,87,65,66,68,54
"MYLIP",1502,1219,1582,1387,658,1031,2738,892
"NOX1",84,10,21,20,10,9,6,16
"E2F2",151,35,4,24,15,2,4,3
"PSMB1",2333,2011,2742,3119,2050,2424,3171,2979
"SYN1",1170,1300,2117,1510,726,1456,114,1434
"JARID2",1651,1667,2514,1814,1432,1453,1787,1605
"CDKL5",5591,7426,13039,8835,7307,11972,4446,14703
"CAMK1G",527,1187,1960,1001,1500,2092,133,2303
"CDK11A",59,42,65,49,46,55,69,63
"NADK",1857,951,1368,1653,740,927,1005,1067
"TFAP2B",0,0,0,0,0,0,0,0
"TFAP2D",0,0,6,6,0,1,2,5
"DLEC1",416,175,592,211,128,150,188,141
"CYTH3",1777,1445,3426,2497,1357,1833,1437,1933
"ADAM22",5398,6694,9406,7512,5951,8739,3819,10133
"SYPL1",1151,961,1136,984,426,667,2412,522
"CYB561",1191,862,1405,1382,1117,1900,239,1844
"SPAG9",17363,17585,18771,18607,12624,15942,29359,17654
"CELSR3",2025,1964,3407,2611,2259,3150,590,3365
"AASS",2024,3594,3033,2971,1708,2459,6648,2486
"PLEKHG6",268,28,86,66,18,36,29,8
"SS18L2",220,279,360,456,234,344,380,372
"MPND",143,149,211,235,183,233,176,216
"MGST1",1869,990,1207,808,503,446,426,752
"CRY1",621,500,707,738,448,561,942,601
"PGLYRP1",69,72,84,65,131,97,45,132
"NFIX",3552,6898,8098,2968,2420,3326,5786,2582
"ST3GAL1",3610,1727,2839,2934,1065,1433,950,1819
"MMP25",46,40,61,61,331,39,32,64
"IL32",52,31,194,111,111,21,22,20
"PKD1",8829,5112,8179,7870,9686,8047,3467,7694
"MAPK8IP2",3165,3935,5917,5675,4345,6255,1112,6386
"MED24",1967,1894,2600,2218,1288,1857,1405,1977
"RHOBTB2",1638,1610,2813,2541,1925,2385,809,2408
"HEATR5B",3087,3722,4989,4748,3146,4361,3960,5367
"SEC62",4039,5390,7474,7457,5079,6261,7741,6949
"RPS20",5025,6436,9281,11222,5303,6830,8897,8150
"CSDE1",10823,15598,22262,23176,12608,16642,21417,19107
"UBE3C",4316,3454,5054,4796,2778,4076,3565,4701
"REV3L",5233,5172,6726,5577,4094,4571,4919,5818
"TENM1",635,1485,1858,1794,1343,2123,538,2943
"PAX7",23,82,148,81,118,104,11,178
"MASP2",341,362,498,331,302,384,403,343
"IYD",80,0,5,3,1,3,1,6
"FAM76A",446,621,675,806,456,555,776,723
"TRAF3IP3",185,314,358,485,155,177,388,238
"POMT2",982,1900,2004,1291,1025,1324,2734,1244
"VTA1",1144,1184,1712,1633,1094,1499,1376,1786
"MLXIPL",313,287,445,495,563,466,310,518
"BAZ1B",5881,5517,7673,6863,4104,5567,7147,5780
"RANBP9",1944,1975,2828,2512,1858,2468,1676,2917
"ETV7",78,24,48,53,39,30,17,22
"SPRTN",570,521,642,603,362,529,806,479
"EEF1AKNMT",1196,943,1420,1272,810,1054,1103,1109
"DYRK4",318,531,710,1260,393,513,847,572
"ZNF207",6433,4801,5706,6002,3963,4754,6806,5402
"UQCRC1",2542,3045,4561,4332,3444,4041,2930,4690
"STARD3NL",780,927,1284,1409,801,1161,1232,1266
"CD9",2970,3689,2958,3824,1257,1830,6669,1629
"HHATL",987,3189,4329,2344,1222,1988,6659,1286
"NCAPD2",3272,2092,1807,1454,805,1280,2705,1075
"IFFO1",922,1374,2034,1910,1263,1300,1302,1328
"GIPR",496,66,153,129,40,92,249,29
"PHF7",263,288,283,278,224,247,313,303
"SEMA3G",287,182,736,644,404,408,324,463
"NISCH",5860,8238,11092,9576,7247,9539,4779,10545
"STAB1",6207,10794,3077,5393,690,569,2763,769
"FUZ",294,442,488,511,357,463,776,468
"SLC6A13",208,267,797,1177,241,391,199,232
"IDS",2272,2962,5161,4603,2508,4650,1153,5573
"PRSS3",98,153,259,276,187,290,27,364
"ZNF200",431,307,482,537,351,405,438,467
"CD4",920,1553,1205,2613,283,589,1163,440
"LRRC23",354,337,581,422,419,422,650,532
"BTK",204,347,561,1163,73,149,609,141
"HFE",572,272,310,430,95,118,260,107
"SCMH1",1021,943,1577,1338,1217,1209,755,1578
"FYN",3457,7163,8925,8432,3677,5308,7817,6252
"HIVEP2",6539,6879,11219,8171,8312,9881,3784,10963
"FMO1",23,1,9,17,3,1,2,4
"ELOA",2112,1588,1987,1932,1167,1370,1904,1590
"LYPLA2",754,501,732,815,470,521,398,646
"CLCN6",2479,3361,4109,2753,2232,3452,2570,3241
"MRC2",1392,1087,1327,2563,198,417,966,360
"NME1-NME2",0,0,0,0,0,0,0,0
"SLC6A7",676,964,1520,1220,1924,1905,116,2120
"TSPAN9",730,482,1022,773,747,545,247,519
"BTBD7",2048,1719,2819,2562,1675,1791,2387,2293
"APBA3",296,260,317,392,285,261,545,254
"MKS1",763,487,523,584,451,482,642,528
"ABHD5",893,1001,1138,1309,837,836,2263,962
"ANOS1",553,1518,2127,2589,572,894,1127,1513
"AKAP8L",1279,1234,1722,1727,1262,1509,1652,1759
"MBTD1",1605,1448,1565,1474,1073,1334,2067,1349
"UTP18",1122,960,1262,1459,1104,1086,1088,1361
"RNF216",3881,3506,4275,3821,2370,2920,3587,3144
"TTC19",1880,2247,3707,3472,2209,3249,1864,3807
"PTBP1",2874,1302,1680,1729,722,772,1458,746
"DPF1",720,660,1198,940,918,1143,292,1197
"SYT7",4270,3862,10133,5154,3286,5697,325,5882
"LARS2",1190,1541,2024,2395,1564,2048,1399,2375
"PIK3C2A",7508,5482,12214,8570,5328,6201,6000,6975
"PLAUR",605,171,351,577,127,62,177,110
"ANLN",3667,10448,5390,6275,2627,7026,34498,5427
"WIZ",1092,1148,1498,1070,760,1008,601,984
"RABGAP1",4897,5907,7841,6163,5341,6333,6103,7809
"DCN",5946,1281,5332,9346,1040,1326,1289,1810
"QPCTL",395,114,181,222,190,222,123,232
"PPP5C",1390,1522,2139,1740,1404,2010,1367,2118
"CEP68",2362,2675,4068,3285,2027,3130,2433,3527
"MAP4K3",2515,1893,2684,2659,1798,2304,2346,3104
"ZBTB32",155,66,137,184,139,94,70,191
"TYROBP",423,685,801,2139,211,206,946,194
"TMEM159",216,140,173,430,38,144,64,227
"GABRA3",403,1162,1586,1593,596,1519,192,2331
"BRCA1",936,694,713,586,439,441,1475,478
"ERCC1",2010,1075,1664,1623,930,1122,1392,1281
"CD22",562,2450,1344,1046,534,1070,5874,991
"SEMA3B",2394,7137,3670,3156,1462,2566,12154,2101
"MBTPS2",1001,999,1335,769,505,1034,884,895
"PRICKLE3",117,54,89,86,25,32,56,22
"LTF",203,55,977,2624,157,22,61,21
"EXTL3",2226,3839,4610,4273,3146,4601,2716,4569
"NR1H4",0,3,7,9,1,4,4,3
"ELOVL5",3148,3148,3995,3631,2255,2611,6545,2361
"ALOX5",487,883,868,1425,338,436,1139,283
"KDM5D",3666,2,5493,4783,0,4230,2,5152
"CALCOCO1",3571,4678,6113,4961,4248,4363,5576,4831
"UBR7",1153,1266,1742,1553,802,1449,1205,1579
"MAP4K5",2429,4021,3412,3575,2161,2864,8940,3531
"EHD3",3555,4611,7412,6091,4046,6709,1990,8320
"PSMC4",4524,2114,2979,2981,1594,2310,2339,2544
"MAN2B2",1960,2165,3056,2671,1234,2329,1691,2103
"SLC7A14",2836,6671,9381,10909,2689,6409,5772,8446
"CLDN11",1343,5839,2568,2798,955,2307,11670,1714
"SLC25A39",1728,1169,1514,1614,809,985,1391,1061
"MVP",13000,2960,2575,2931,901,876,2772,825
"NUB1",1582,1394,1771,2010,1208,1533,2299,1627
"PGM3",2189,1427,2156,2167,1332,1347,1923,1640
"RWDD2A",546,571,869,743,549,800,337,992
"CLK1",2813,3275,3917,4580,2861,3019,8761,4284
"POLR3B",914,764,1087,1072,701,858,744,1048
"ANGEL1",1856,2406,2690,2513,1348,1887,3108,1843
"RNF14",1343,1946,2644,2866,1775,2396,2280,2922
"DNASE1L1",219,162,315,365,145,249,98,223
"DDX11",928,669,114,419,349,301,160,353
"HEBP1",514,505,574,500,179,338,584,328
"GPRC5A",12853,33,110,166,12,8,13,19
"MAMLD1",426,625,927,578,302,618,207,671
"CD6",120,51,145,148,35,53,30,45
"TACC3",783,220,321,295,151,107,129,129
"UFL1",1887,1922,2165,2444,1308,1710,3511,2112
"POLA2",274,203,129,129,111,114,300,118
"ZC3H3",464,493,554,457,271,347,405,385
"CAPN1",4720,1836,3194,2786,1590,2046,1065,1953
"ACP3",503,100,52,127,24,31,73,26
"MDH1",5160,6691,11223,9090,9273,11734,3563,15499
"SLC30A9",2992,3239,4947,4758,3295,4738,3549,5081
"MTMR11",338,295,521,504,301,314,341,307
"COX15",895,970,1416,1379,849,1170,1280,1300
"CCDC88C",1960,367,861,524,266,395,266,445
"YAF2",1160,1102,1427,1392,1105,1500,1085,1509
"ZMYND11",3543,5037,7404,7096,4307,5537,6292,6831
"WAS",171,295,255,355,134,124,314,128
"DPEP1",69,20,2,6,1,1,4,2
"BID",910,1016,1356,1399,919,1239,724,1484
"NPC1L1",26,2,4,6,0,2,4,1
"XYLT2",1195,772,1175,1042,768,831,846,888
"RGPD5",17,16,18,16,13,16,11,28
"STMN4",2258,8126,4188,4404,2882,3368,15264,5825
"NUDCD3",5675,8050,10164,9350,7034,9487,5457,11321
"ISL1",4,2,0,0,20,0,0,0
"CHDH",984,1029,2500,1756,981,1204,1140,1183
"IL20RA",150,67,224,110,84,50,75,121
"CLCA1",3,3,6,5,3,2,4,7
"CLCA4",148,645,700,421,168,345,1980,351
"GLT8D1",923,1026,1568,1685,997,1209,1357,1401
"ATP2C1",7014,5137,6969,7746,3682,5588,6046,6727
"IGF1",37,68,90,111,37,51,41,63
"SLC38A5",498,806,1320,1015,593,574,544,511
"RALBP1",1696,2660,4011,3894,2652,3429,3006,3662
"RUFY3",6232,11387,14235,15078,8438,13039,15741,16442
"CNTN1",6113,14831,21674,18957,14343,21973,6679,28248
"SLC11A1",1197,2293,1596,1552,434,435,1644,383
"WWTR1",2765,1582,2334,1567,301,562,1298,511
"AGPS",1915,2308,2824,2719,1376,2020,3460,2525
"CXorf56",618,616,897,1012,678,873,793,1058
"ATP1A2",19301,35515,68540,59147,38549,42581,17563,32024
"TTC27",600,640,653,695,428,483,985,580
"ZNF582",160,193,322,244,154,225,258,247
"VSIG2",292,106,224,86,168,93,33,89
"PHLDB1",7942,19045,11083,7010,4062,7127,29070,7094
"MARCO",33,13,57,132,1,1,4,18
"CYP24A1",32,28,20,25,9,20,14,38
"PRDM11",1593,1267,1735,1189,1057,1485,785,1455
"SYT13",2690,3894,7791,6420,4470,7132,414,8248
"SNAI2",87,107,140,203,26,51,41,59
"CD74",10980,13223,22192,44589,1989,4655,13644,4129
"HGF",262,269,935,1164,448,271,219,289
"ZRANB1",1029,1346,1878,1677,1196,1563,1479,1868
"NCDN",12739,17779,28246,22006,14298,19639,3197,22122
"ADGRA2",639,497,1283,996,439,453,323,515
"ZFP64",811,584,903,674,446,782,536,775
"MNAT1",756,693,1043,1034,1007,993,789,1269
"SAMD4A",2574,3050,6691,5349,1858,2851,4399,2568
"RUNX3",91,61,120,92,12,11,25,9
"MRE11",1449,1307,1546,1354,748,1101,1913,1255
"PLEKHB1",7476,20787,23568,16946,8160,12595,32267,10688
"SERPINB1",2460,858,1282,1461,507,529,1339,421
"CYP3A43",75,45,40,36,61,49,41,52
"SLC7A9",91,21,38,28,26,35,33,28
"SPAST",1123,1517,1739,1807,1124,1625,2307,1825
"NRXN3",3863,6268,11006,6492,6234,8894,3735,11437
"OSBPL5",824,922,1116,947,707,710,923,733
"AQR",3714,3064,4551,4224,2913,3342,3603,4171
"CPS1",335,855,962,713,334,492,737,411
"C8B",0,0,1,2,3,0,0,3
"FHL1",2410,3462,6335,5434,2850,4077,1622,5017
"RTF2",1616,2356,2791,3117,1736,2204,3665,2449
"GABRA1",2685,3754,7026,4178,6235,7459,446,9324
"NLRP2",83,63,418,234,402,146,74,349
"SLC45A4",3284,883,2082,1492,2313,1927,541,1739
"RNF10",3196,4081,4938,3532,2004,3405,3550,3355
"ZNF839",464,438,612,561,408,507,544,506
"ZDHHC6",1036,955,1239,1358,778,898,1146,1072
"GRAMD1B",4745,4740,9261,6073,6427,7531,1966,7847
"RNH1",3530,4287,4152,4419,1871,2890,7180,2669
"NDUFS1",6206,7659,11890,10093,8560,10269,8222,11890
"RB1CC1",4605,5059,8697,7889,8583,9265,5043,10786
"ERP44",1867,1335,1920,1881,1127,1360,1546,1683
"ALAS1",1722,1033,1888,2229,1156,1533,1348,1736
"BIRC3",648,213,430,402,342,305,294,329
"AKAP11",8939,13702,20441,15233,10517,19438,11153,18916
"GLRX2",644,681,993,1024,765,953,649,997
"SNAPC1",142,127,168,180,98,169,208,120
"DERA",922,549,568,678,309,383,836,384
"STRAP",2164,2071,3498,3305,1807,3056,1903,3458
"ABCC2",300,76,114,58,48,139,150,52
"DEF6",281,390,423,754,141,156,507,130
"PLEKHO1",1125,1647,2330,2371,1367,1320,1120,1582
"GCLM",695,647,942,740,455,644,374,621
"UBR2",4407,4797,6070,5509,4202,4732,5938,5404
"EHD2",1496,609,1011,443,171,291,206,170
"DEPDC1",195,23,19,37,42,32,12,35
"CCDC28A",535,535,866,999,575,820,431,956
"RRAGD",2134,1989,3061,2945,1615,2423,1691,3078
"HSF2",685,699,982,1002,798,882,824,1184
"PHF20",2379,2551,3470,3221,1779,2763,2726,3128
"HSD17B6",157,124,547,358,321,258,222,559
"NR1H3",493,226,481,967,304,248,324,280
"TYMP",880,263,359,677,204,220,484,150
"NCAPH2",2371,1382,1662,1551,1131,1470,1595,1778
"TOMM34",1090,974,1592,1522,777,1259,429,1588
"SEC63",3239,2846,3638,2735,1403,2760,2660,2867
"KPNA6",3404,4599,6257,5425,3125,5166,4286,6010
"VIM",5069,3913,8135,8393,1530,1733,1964,2127
"RTEL1-TNFRSF6B",880,114,237,183,170,113,110,115
"FAS",582,433,565,689,251,100,260,138
"RNASET2",1085,1978,2111,2769,864,1621,2935,1323
"CD44",12023,3789,5405,3810,227,432,2417,282
"KCNG1",34,66,98,157,61,155,14,266
"AGPAT4",3695,8929,7589,6866,3444,7493,16687,7061
"SLAMF7",947,4,63,134,18,2,11,3
"BTN3A1",696,790,1130,1560,534,630,1167,527
"MIPEP",649,632,617,662,394,472,734,609
"PRKCH",875,745,1470,998,399,499,927,523
"INSRR",18,27,43,151,5,10,2,21
"IFNGR1",2765,3688,3567,4556,2171,2770,6451,3003
"B4GALT7",1010,649,793,841,479,604,554,697
"SH2D2A",44,34,42,30,10,17,18,21
"VRK2",569,1128,690,797,412,640,3386,590
"TNFRSF1B",821,810,1096,1861,365,364,1015,320
"VEZT",3673,2955,4578,4483,2876,3620,2945,5194
"POU2F2",491,588,547,379,188,279,276,261
"BRD9",3247,1745,1863,1782,1158,1542,1912,1737
"SNX1",3595,6278,6839,5326,2722,5074,9855,4786
"TBPL1",358,376,578,693,500,601,378,817
"ARNTL2",761,605,1055,1353,995,1211,145,1561
"BCLAF1",5439,4880,7147,6421,4314,5966,6481,6769
"SLC39A9",3653,2768,3892,3813,2280,3144,3479,3743
"ANK1",1362,651,2248,774,1578,892,253,850
"IBSP",12,14,7,76,1,5,12,17
"TFB1M",561,402,572,532,379,419,573,489
"RABEP1",3166,4978,7547,6984,3785,5589,6457,6716
"HMGB3",825,454,680,605,485,619,379,773
"NUP160",3086,1511,2129,1858,962,1291,2170,1366
"BAK1",329,227,299,306,214,232,287,231
"MUSK",160,487,281,177,72,160,571,210
"IKZF2",917,1741,1252,1297,749,1134,3228,1366
"GRN",5948,2798,4491,7788,1064,1349,2837,1267
"FAM13B",2604,3190,5693,4562,2881,3929,3834,4236
"ARHGAP31",6748,3126,5190,4109,1870,2372,2942,2268
"CENPQ",155,136,132,140,83,118,368,127
"SARS1",4204,5034,6683,7376,5220,6860,5468,8278
"RANBP3",1496,1660,2344,2061,1214,1623,1938,1762
"ARID4A",2215,2308,2896,3026,1731,2479,2619,2767
"EIPR1",923,1055,1546,1513,957,1248,761,1668
"PNPLA6",1810,2779,3749,3224,1560,2624,2260,2107
"IFT88",872,981,1243,1045,697,975,1820,1067
"ALG1",606,498,611,546,308,425,431,415
"ZCCHC8",1153,673,843,930,584,665,1039,729
"ABCF2",392,540,621,565,465,653,479,653
"CHPF2",2382,1622,2057,2158,1413,1752,1244,1804
"LRRC7",6691,10507,15363,15180,9932,16722,7449,23406
"FUT8",5165,5451,4951,4228,2805,3546,9431,4097
"UBA6",1954,2699,3490,3697,2254,2523,4350,3613
"GAB2",4289,7701,6404,5807,2832,5296,12185,4655
"ATP6V0A1",8931,10005,16608,11310,7569,13154,6311,12637
"PIAS1",2046,2081,2902,2834,1711,2362,2210,2948
"SLC4A7",3233,3040,5520,6341,4827,4568,1901,6003
"APBA2",5188,6182,11420,7470,6501,8565,6132,9498
"MAP2K3",986,455,651,541,247,234,225,272
"EFCAB1",82,67,253,101,31,221,24,103
"TMSB10",7214,7436,10803,17001,5388,12295,3513,13766
"ASTE1",574,475,527,576,470,509,744,522
"RNF19A",2648,2997,5577,4789,3110,3470,3835,4243
"PEX3",446,526,754,712,513,584,684,776
"GABARAPL2",2228,3021,4421,4781,2793,3581,4678,4022
"MYOC",4,2,4,5,2,1,2,1
"SH3YL1",1788,1805,2274,2100,1424,1759,2644,2177
"FAM136A",724,376,564,715,432,516,243,618
"VCL",5863,2103,5314,3453,1951,1839,1696,2313
"DEPDC1B",467,54,66,46,24,42,88,72
"DAPK2",1835,1214,621,507,499,629,2563,591
"NSMAF",1275,1390,2356,2277,1450,1462,1349,1891
"ADSS2",1580,1728,1724,1992,1309,1873,2851,2162
