"","11BR020","20BR007","11BR047","11BR030","11BR024","05BR029","11BR073","21BR010","11BR074","20BR008","01BR027","18BR003","11BR025","11BR028","11BR017","11BR015","11BR023","11BR006"
"A1BG",-0.321405112568558,-0.65509180881217,1.38913882537546,0.0331370630263056,0.519529676164969,1.18690666497575,-0.00921696836304905,-1.24994642962693,0.119734088929452,-2.09207643618956,0.271084919616581,-0.785881601003899,-2.29803490803146,0.560339522824154,0.181842756493928,0.00921696836304905,-1.31886908360845,-0.13302783349647
"A2M",-0.829553907194209,-0.323682379953634,-1.98475674990926,0.107307469249446,1.1148472429984,0.831220439821465,-0.0304850707748036,-1.61914283911265,0.0304850707748026,-1.58209778724817,1.04583292262055,0.16271252826566,-1.62696182747902,0.666058085236382,0.142409805120629,0.0716817761790732,-1.48211685210956,-0.978396137684609
"A2ML1",0.907781884286682,-1.09341072438535,0.95450545611928,-0.67046471674416,0.565634647293116,-0.801416235585335,-1.4264510950819,-1.29088813806794,-1.02940912889431,0.61481291981416,-0.565634647293116,-0.914082744898028,1.16330748832683,0.876567377902936,-1.07400195950987,0.968458293502464,1.02497008514071,1.06255095668985
"AAAS",-0.464482479587791,-0.0310254856946106,0.0341563953100304,-0.58655444510255,2.15371352359772,-0.635493188934843,-0.337904288711342,-1.06069187981637,0.611387415257751,-0.67103760902669,0.812415674788304,-1.6483966770982,0.031025485694611,1.70369882798527,0.414497903429198,1.71769377546048,-0.209321582303198,0.404889374613801
"AACS",-0.700946877296805,2.56163460907065,0.542143847353817,0.0670272000181269,-0.129684749353428,1.46548706394332,-0.820337608147295,0.455388014634666,-0.0210208017428122,0.194089756505984,0.0210208017428122,-0.863001636423597,-0.833112660032677,-1.18356718346052,0.737881687621633,0.836717408738836,-1.36371981254534,-0.78910919163784
"AADAT",0.923382878557005,-0.826715639640744,1.03820773764923,-0.841743395149462,0.882938013718768,-0.84378763642823,-0.816694046779341,-0.85362464528959,-0.796812316321574,0.804405158261325,-0.817583436809821,-0.825679982844474,1.61493458768515,1.12509257614762,-0.823569212256596,1.12034605542036,1.41546453134555,0.796812316321574
"AAGAB",0.0750070987941506,0.582607432531643,0.514903629330419,-1.56128373261426,-0.0232036733134417,-0.723307185987488,0.255738459991267,0.822324748509869,1.36663922655554,-1.40540306202377,1.45933893688653,-1.37345076252382,-0.0720395588147832,0.267967986768501,0.0232036733134417,-0.361722900589061,-0.608510162629884,-2.17441551185671
"AAK1",-2.21266718721955,0.683046652080671,-0.278435545166295,-0.0662514119753584,0.903482288085231,0.413683489029886,-0.750351788105186,-0.604500221204631,0.873032100196124,-0.338711643311082,0.602000260005532,1.0221763828146,-1.13775017102717,0.0662514119753584,-1.15906488382188,-1.00044371740415,0.0746854946169847,1.93887237216443
"AAMDC",-0.280655828208655,-0.204212720287642,-0.976639143386244,-0.367401344320764,-1.29716298375882,-0.218885025681849,1.64424511064818,0.85921823567148,0.398682932429225,-1.29176789881184,-0.52462952747298,1.45063114638499,0.204212720287642,1.49677215606602,1.45568817988318,0.595206767395717,0.525268815156031,-1.28273307709541
"AAMP",-0.203807147940637,1.86552148616335,0.0240564130672732,0.0578568848477959,0.190673446677812,0.14775100925321,0.802526161495228,0.77807906594262,2.5493705707082,-0.852740584175675,-1.65883733850175,-0.119635239542569,-0.0240564130672732,-1.2248020029692,1.06261586368849,-0.172112366126274,-0.0253704751258285,-0.161389662086855
"AAR2",0.090993291035764,-1.09941833724978,-0.0909932910357639,-1.09937604797434,0.940958083265747,-0.423778955770908,-0.567104764027634,0.317647881553211,-3.02627860467149,0.098033764932126,-0.541475750235155,-0.902963048831952,0.967484776008993,0.778107698791541,-0.9040230556593,0.50878308781814,0.700122199954296,0.645949356128425
"AARS",-0.141731452147174,1.71851461807749,-0.14243953942588,-1.08608934480082,2.33505732205753,0.141731452147174,0.781020853387585,-1.03298963357706,1.99685669057565,0.725837248688273,-0.442560222564586,0.25739825440854,-0.387638503863331,0.160292533857056,-0.268236674822427,-1.11453764860111,-0.204112729930663,0.28666069198966
"AARS2",1.9501147843664,-0.598843257908166,-1.02838268947663,1.10804307679789,1.39537048810889,1.17089419506163,0.0436035582258106,-0.114239808955475,-0.489578659636054,-0.521891961650446,-1.3665095520056,-1.01112063747318,-0.0436035582258102,1.04731689488868,-0.487001327463474,1.58672436491611,0.569909634605017,0.699571330528904
"AARSD1",-0.358959604386686,1.34221745528196,0.0563357185727349,0.0633062235249061,2.14602630816289,-0.214970618612315,0.378191658578263,-0.36809554817953,2.7964349491971,-0.0563357185727346,1.16645745205079,-0.577519211610603,-0.909793604297709,0.543615229262555,-0.381614733721135,-0.417659896567183,-0.575746136422739,0.601273926602694
"AASDHPPT",-0.1381628559146,1.14887151588923,-0.91294123647353,-1.12888182611672,1.55848752818455,-2.01770723372969,0.834728760094688,-1.20463944740478,0.980259167356439,0.236778125747489,1.59449622754811,-0.704840406590653,0.1381628559146,-0.19318788990342,-0.668779513926994,-0.277444777002711,0.297999685227243,0.423827216045669
"AASS",-0.2661864423977,1.53654317124792,-0.886574160883279,-0.887864663336288,3.20397846307604,0.619861885663426,-0.32410633290802,-0.330070551458233,0.0334071070441256,-0.454456149012397,-0.811869783631259,-0.416901259601603,0.28647704866075,0.984594927125733,0.116456509140265,0.757739745143816,-0.0334071070441256,0.34552520209339
"AATF",-0.658515850727126,0.310008954621663,-1.08983564280015,0.661428710307616,-0.122611234452065,0.312455037875036,0.860690664823749,-0.768294462683371,1.43472040311687,-1.46072504472756,1.02785550855594,0.834833101556402,-1.82477440694471,-1.27288647492409,0.129363988770006,0.122611234452065,-1.60991757108676,-0.875212898491898
"ABAT",0.173868918130432,0.702453087029628,2.00317442587801,-0.218057768882659,1.9513273616811,0.00513561009912304,-0.111892581765594,1.81085919575203,-0.00513561009912304,0.579282911812157,-0.106810107761964,-1.35947287534792,-0.826519381541032,-0.131979310087838,-1.02497357216931,0.339708840602113,-1.16605794989193,0.715039388745209
"ABCA1",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
"ABCA12",1.85901598073323,-0.0198625214210192,2.03028627153019,-0.0348150445197146,1.9715313099475,-0.0368490518551643,-0.00989109896482347,-0.0466368143813927,0.00989109896482347,1.98037814649525,-0.0107760365036849,-0.0188320493615314,1.60556455868035,1.94735209407623,-0.0167318457780367,-0.0930206606840549,1.80616016943446,2.13670385423717
"ABCA2",-1.40429234888332,0.878850909788957,-1.21667001561402,0.589901812298147,-0.361452759938946,0.550595764750951,1.07154303943153,0.361452759938952,1.45382288614547,-1.51190522687099,1.05444211930574,0.898764202656865,-1.00245238161329,-0.641831401718919,0.939349455459499,-0.534888977093777,-0.868002942828635,-1.04462785673429
