,C3N-03452,C3N-01197,C3N-02684,C3N-01365,C3N-01191,C3N-03446,C3N-03450,C3N-03026
ABCC10,-0.41,0.28,-0.34,0.29,-0.53,0.22,NA,-0.65
ABCC3,0.17,-0.66,-0.71,-1.07,-1.15,0.26,-0.15,0.04
ABCC4,-0.2,-0.47,-0.11,-0.51,0.66,-0.05,-0.11,-0.56
ABCC5,0.78,NA,1.17,0.6,NA,0.23,0.34,0.9
ABCC8,0.41,2.05,1.41,1.87,0.59,0.81,NA,0.48
ABCC9,1.01,NA,NA,NA,NA,NA,NA,0.33
ABCD1,0.03,-0.58,-0.29,-0.88,0.11,0.18,-0.18,-0.28
ABCD2,0.73,1.19,0.6,0.81,-0.17,0.16,0.3,0.83
ABCD3,-0.46,-0.89,-0.36,-0.79,-0.05,-0.13,-0.09,-0.61
ABCD4,0.11,0.03,-0.36,-0.83,-0.13,-0.49,-0.2,0.18
ABCE1,-0.56,-0.71,-0.32,-0.63,-0.29,-0.31,-0.33,-0.31
ABCF1,-0.53,-0.46,-0.34,-0.49,-0.35,-0.12,-0.29,-0.63
